"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"Crabby","Point 100",100,"30/06/2015","8:29:11 AM",153.09461976,-25.60023995,"Upslope",0.01,1,1,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 5",5,"30/06/2015","8:41:29 AM",153.09452915,-25.60052966,"Upslope",0,0,1,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 0",0,"30/06/2015","8:44:20 AM",153.09454714,-25.6005456,"Upslope",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 10",10,"30/06/2015","8:45:30 AM",153.09441153,-25.60054124,"Crest",0.01,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 15",15,"30/06/2015","8:47:05 AM",153.09441346,-25.60053807,"Trough",0.05,0,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 20",20,"30/06/2015","8:48:33 AM",153.09438108,-25.60049679,"Upslope",0,0,8,2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 25",25,"30/06/2015","8:50:59 AM",153.09432153,-25.60051571,"Upslope",0,0,5,1,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 30",30,"30/06/2015","8:54:03 AM",153.09426536,-25.60049481,"Upslope",0.01,3,3,2,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 35",35,"30/06/2015","8:56:22 AM",153.09421867,-25.60049797,"Crest",0.9,1,4,2,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Crabby","Point 40",40,"30/06/2015","8:58:53 AM",153.09417814,-25.60050217,"Downslope",0.05,1,2,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 45",45,"30/06/2015","9:01:01 AM",153.09411425,-25.60050715,"Downslope",0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 50",50,"30/06/2015","9:02:52 AM",153.09407314,-25.6004742,"Upslope",0.15,2,3,1,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 55",55,"30/06/2015","9:05:43 AM",153.09402628,-25.60048998,"Crest",0.2,1,0,1,0,0,0,0.25,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crabby","Point 60",60,"30/06/2015","9:09:01 AM",153.09396944,-25.60046718,"Downslope",0.2,0,4,2,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,1,0,0,0,0,0,0,0,0,0
"Crabby","Point 65",65,"30/06/2015","9:11:58 AM",153.09391168,-25.60050102,"Trough",0.7,1,3,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.02,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0
