"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"glass","Point 100",100,"30/06/2015","8:29:46 AM",153.09460653,-25.60022507,"Upslope",0.01,1,1,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glass","Point 0",0,"30/06/2015","8:45:17 AM",153.09447296,-25.60080218,"Trough",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glass","Point 5",5,"30/06/2015","8:46:45 AM",153.09442384,-25.60076884,"Upslope",0.01,0,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glass","Point 10",10,"30/06/2015","8:48:17 AM",153.0943724,-25.6007755,"Trough",0.1,1,2,1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glass","Point 15",15,"30/06/2015","8:50:04 AM",153.09434172,-25.60074651,"Trough",0.15,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glass","Point 20",20,"30/06/2015","8:51:17 AM",153.09429644,-25.60074608,"Upslope",0.03,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glass","Point 25",25,"30/06/2015","8:52:18 AM",153.09425355,-25.60067238,"Upslope",0.12,0,0,0,0.1,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glass","Point 30",30,"30/06/2015","8:56:37 AM",153.09422483,-25.60069645,"Upslope",0.5,2,2,3,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0
"glass","Point 35",35,"30/06/2015","9:02:37 AM",153.09416092,-25.60068858,"Crest",1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"glass","Point 40",40,"30/06/2015","9:05:46 AM",153.09410763,-25.6006618,"Downslope",0.5,2,4,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0
"glass","Point 45",45,"30/06/2015","9:08:50 AM",153.09404953,-25.60065121,"Upslope",0.5,0,5,1,0.01,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"glass","Point 50",50,"30/06/2015","9:13:01 AM",153.09402224,-25.60062869,"Upslope",0.7,2,1,2,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,0,0,0
"glass","Point 55",55,"30/06/2015","9:16:05 AM",153.09396702,-25.60059551,"Crest",0.8,1,0,1,0.05,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"glass","Point 60",60,"30/06/2015","9:20:30 AM",153.09396803,-25.60056431,"Downslope",0.05,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0
"glass","Point 65",65,"30/06/2015","9:22:23 AM",153.09390521,-25.60056458,"Trough",0.05,0,4,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,1,0,0,0,0
"glass","Point 70",70,"30/06/2015","9:25:11 AM",NA,NA,"Trough",0.2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,1,0,0,0,0
"glass","Point 75",75,"30/06/2015","9:27:04 AM",153.09386854,-25.60056059,"Trough",0.9,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0
