"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"hannahkat","Point 0",0,"27/06/2015","9:02:54 AM",153.09594386,-25.5961482,"Upslope",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 5",5,"27/06/2015","9:09:35 AM",153.09588688,-25.5961286,"Upslope",0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 10",10,"27/06/2015","9:15:07 AM",153.0958444,-25.59614104,"Crest",0.005,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 15",15,"27/06/2015","9:20:17 AM",153.09578431,-25.59612971,"Trough",0.02,3,1,1,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 20",20,"27/06/2015","9:24:22 AM",153.09575025,-25.59610614,"Upslope",0.02,0,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 25",25,"27/06/2015","9:29:45 AM",153.09571894,-25.59608085,"Upslope",0.03,0,0,0,0.03,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 30",30,"27/06/2015","9:33:29 AM",153.09564908,-25.59611508,"Crest",0.35,1,1,1,0,0,0.01,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 35",35,"27/06/2015","9:37:08 AM",153.09560336,-25.59608924,"Downslope",0.18,0,1,0,0.15,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 40",40,"27/06/2015","9:45:21 AM",153.09555246,-25.59611114,"Upslope",0.87,1,1,1,0.02,0,0,0,0,0.16,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 45",45,"27/06/2015","9:50:55 AM",153.09550245,-25.59611307,"Crest",0.58,0,1,0,0,0,0,0,0,0.27,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 50",50,"27/06/2015","9:54:52 AM",153.09546727,-25.59607642,"Downslope",0.55,0,2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 55",55,"27/06/2015","10:01:24 AM",153.09541887,-25.59610871,"Downslope",0.19,0,0,0,0,0,0,0,0,0.96,0,0.03,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 60",60,"27/06/2015","10:05:27 AM",153.09537578,-25.59606648,"Trough",0.21,0,0,0,0,0,0,0,0,0.4,0,0.03,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hannahkat","Point 65",65,"27/06/2015","10:13:17 AM",153.09532422,-25.59603303,"Trough",0.56,1,0,1,0,0,0,0,0,0.09,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hannahkat","Point 70",70,"27/06/2015","10:17:12 AM",153.09528772,-25.59603121,"Upslope",0.16,1,0,1,0.08,0,0,0,0,0,0,0.11,0,0,0,0,0.15,0,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0
