"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"Red barron","Point 5",5,"28/06/2015","8:57:56 AM",153.0952146,-25.59827456,"Trough",0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red barron","Point 0",0,"28/06/2015","9:04:28 AM",153.0952136,-25.59828498,"Trough",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red barron","Point 10",10,"28/06/2015","9:08:22 AM",153.0951793,-25.59827071,"Trough",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red barron","Point 15",15,"28/06/2015","9:09:19 AM",NA,NA,"Upslope",0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red barron","Point 20",20,"28/06/2015","9:11:20 AM",NA,NA,"Upslope",0.35,0,0,0,0,0,0.01,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red barron","Point 25",25,"28/06/2015","9:13:37 AM",153.0950629,-25.59818336,"Crest",0.2,0,9,2,0,0,0.01,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red barron","Point 30",30,"28/06/2015","9:16:15 AM",NA,NA,"Trough",0.98,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red barron","Point 35",35,"28/06/2015","9:23:31 AM",153.0949171,-25.59812728,"Upslope",1,0,0,0,0,0,0,0,0,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red barron","Point 40",40,"28/06/2015","9:27:08 AM",153.094875,-25.59814067,"Crest",0.98,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Red barron","Point 45",45,"28/06/2015","9:29:04 AM",153.0948466,-25.59813311,"Upslope",0.95,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Red barron","Point 50",50,"28/06/2015","9:31:44 AM",NA,NA,"Crest",0.95,0,1,1,0.15,0,0.02,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red barron","Point 55",55,"28/06/2015","9:37:23 AM",153.0947305,-25.59811196,"Downslope",0.2,0,1,1,0.4,0,0,0,0,0.15,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Red barron","Point 60",60,"28/06/2015","9:40:21 AM",153.0946962,-25.59812494,"Downslope",0.8,0,3,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Red barron","Point 65",65,"28/06/2015","9:42:15 AM",153.0946514,-25.5980981,"Trough",0.4,0,2,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Red barron","Point 70",70,"28/06/2015","9:44:33 AM",153.0946002,-25.59806408,"Trough",0.5,0,0,0,0,0.04,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Red barron","Point 75",75,"28/06/2015","9:54:10 AM",153.09454,-25.59806051,"Trough",0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Red barron","Point 80",80,"28/06/2015","9:57:37 AM",NA,NA,"Upslope",0.2,0,1,1,0,0,0,0,0,0,0,0.25,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
