"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"crabpeople","Point 0",0,"28/06/2015","9:06:27 AM",153.095299,-25.598107,"Upslope",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crabpeople","Point 5",5,"28/06/2015","9:08:27 AM",153.0952788,-25.59805546,"Upslope",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crabpeople","Point 10",10,"28/06/2015","9:10:05 AM",153.0952497,-25.5980573,"Upslope",0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crabpeople","Point 15",15,"28/06/2015","9:11:10 AM",153.095181,-25.59802863,"Upslope",0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crabpeople","Point 20",20,"28/06/2015","9:12:10 AM",153.0951388,-25.59803039,"Upslope",0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crabpeople","Point 25",25,"28/06/2015","9:13:47 AM",153.0950636,-25.59800055,"Crest",0.7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"crabpeople","Point 30",30,"28/06/2015","9:16:23 AM",153.0950353,-25.59800425,"Downslope",0.05,3,5,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crabpeople","Point 35",35,"28/06/2015","9:19:53 AM",153.0949666,-25.59799196,"Upslope",0.95,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crabpeople","Point 40",40,"28/06/2015","9:25:35 AM",153.0949502,-25.59795791,"Crest",0.55,0,2,1,0,0,0,0,0,0,0.08,0.05,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0
"crabpeople","Point 45",45,"28/06/2015","9:30:27 AM",153.0948534,-25.59799078,"Crest",0.5,1,3,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crabpeople","Point 50",50,"28/06/2015","9:33:06 AM",153.0948458,-25.59799406,"Crest",0.55,1,2,0,0.1,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"crabpeople","Point 55",55,"28/06/2015","9:37:47 AM",153.0947489,-25.59798008,"Downslope",0.2,0,4,0,0,0,0,0,0,0.15,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crabpeople","Point 60",60,"28/06/2015","9:44:59 AM",153.0947236,-25.59797298,"Trough",0.05,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"crabpeople","Point 65",65,"28/06/2015","9:56:51 AM",153.0946855,-25.59798903,"Trough",0.2,0,1,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"crabpeople","Point 70",70,"28/06/2015","9:59:02 AM",153.0946145,-25.59797158,"Trough",0,0,0,0,0,0,0,0,0,0.1,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0
"crabpeople","Point 75",75,"28/06/2015","10:02:53 AM",153.0945798,-25.59795808,"Trough",0,1,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"crabpeople","Point 80",80,"28/06/2015","10:03:19 AM",153.0945222,-25.59799417,"Upslope",0.9,0,0,0,0.04,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
