"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"satoiB","Point 80",80,"28/06/2015","10:03:50 AM",153.0946088,-25.59754828,"Trough",0.5,0,1,1,0,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 0",0,"28/06/2015","8:53:04 AM",153.0954519,-25.59769828,"Trough",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 5",5,"28/06/2015","8:58:14 AM",153.0953427,-25.59768711,"Upslope",0,1,0,1,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 10",10,"28/06/2015","9:01:59 AM",153.0953201,-25.59768731,"Crest",0,1,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 15",15,"28/06/2015","9:07:00 AM",153.0952749,-25.59767096,"Upslope",0.01,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 20",20,"28/06/2015","9:08:56 AM",153.0951875,-25.5976797,"Upslope",0,2,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 25",25,"28/06/2015","9:10:34 AM",153.095173,-25.59763606,"Upslope",0,0,1,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 30",30,"28/06/2015","9:20:55 AM",153.0950673,-25.5977451,"Crest",0.02,1,7,0,0,0,0,0,0,0,0.2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 35",35,"28/06/2015","9:26:41 AM",153.0950708,-25.59761612,"Downslope",0.88,1,1,1,0,0,0,0,0,0,0.02,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 40",40,"28/06/2015","9:31:23 AM",153.0950405,-25.59765679,"Downslope",0.36,0,0,0,0.03,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 45",45,"28/06/2015","9:34:24 AM",153.0950162,-25.59760677,"Upslope",0.43,0,2,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 50",50,"28/06/2015","9:38:31 AM",153.0949342,-25.59760554,"Trough",0.4,0,3,1,0,0,0,0,0,0,0,0.05,0,0,0,0,0.03,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 55",55,"28/06/2015","9:43:28 AM",153.0948919,-25.59758343,"Upslope",0.6,1,4,1,0,0.01,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 60",60,"28/06/2015","9:57:43 AM",153.0948398,-25.59761239,"Crest",0.9,0,1,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 65",65,"28/06/2015","10:00:58 AM",153.0947974,-25.59757042,"Crest",0.7,0,1,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 70",70,"28/06/2015","10:04:45 AM",153.0947269,-25.59757272,"Crest",0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
"satoi","Point 75",75,"28/06/2015","10:06:44 AM",153.0947058,-25.5975742,"Downslope",0.1,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
