"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"kate","Point 0",0,"29/06/2015","8:32:05 AM",153.09596326,-25.59572333,"Trough",0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kate","Point 5",5,"29/06/2015","8:47:12 AM",153.09619203,-25.59524367,"Crest",0.01,1,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kate","Point 10",10,"29/06/2015","8:48:53 AM",153.09617085,-25.59527073,"Trough",0.1,1,3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kate","Point 15",15,"29/06/2015","8:52:14 AM",153.09611341,-25.59512943,"Upslope",0.15,1,5,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kate","Point 20",20,"29/06/2015","8:54:47 AM",153.09606667,-25.5951203,"Upslope",0.1,0,4,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kate","Point 25",25,"29/06/2015","8:56:40 AM",153.09603546,-25.59507559,"Upslope",0.1,0,3,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kate","Point 30",30,"29/06/2015","8:58:49 AM",153.09602922,-25.59507126,"Crest",0.05,1,2,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kate","Point 35",35,"29/06/2015","9:00:57 AM",153.09601129,-25.5950576,"Downslope",0.05,1,2,0,0,0,0.02,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
"kate","Point 40",40,"29/06/2015","9:06:16 AM",153.09588315,-25.59508521,"Trough",0.3,0,4,1,0,0,0.03,0,0,0.03,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0
"kate","Point 45",45,"29/06/2015","9:14:55 AM",153.0957876,-25.59505259,"Upslope",0.5,0,6,2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"kate","Point 50",50,"29/06/2015","9:17:51 AM",153.09576882,-25.59505389,"Crest",0.7,0,2,2,0.02,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0
"kate","Point 55",55,"29/06/2015","9:21:15 AM",153.09570342,-25.59500653,"Downslope",0.5,0,1,1,0,0,0,0,0,0.4,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"kate","Point 60",60,"29/06/2015","9:24:04 AM",153.09567467,-25.59503001,"Trough",0.4,0,2,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kate","Point 65",65,"29/06/2015","9:25:48 AM",153.09560971,-25.59502927,"Trough",0.25,0,2,2,0,0,0,0,0,0.4,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,1,0,0,0,0,1,0,0,0,0
"kate","Point 70",70,"29/06/2015","9:34:19 AM",153.09558241,-25.59503334,"Trough",0.5,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,1,0,0,0
"kate","Point 75",75,"29/06/2015","9:37:16 AM",153.09554957,-25.59504051,"Upslope",0.08,0,0,0,0.01,0,0,0,0,0.2,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0.05,0,1,0,0,0,0,0,1,0,0,0
"kate","Point 80",80,"29/06/2015","9:39:55 AM",153.09548576,-25.59503948,"Upslope",0.4,0,0,0,0,0,0,0,0,0,0,0.05,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,1,0,0,0
"kate","Point 85",85,"29/06/2015","9:41:57 AM",153.09546756,-25.59503704,"Upslope",0.7,0,2,2,0,0,0,0,0,0.05,0,0.05,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0,1,0,0,0,0,0,1,0,0,0
