"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"ratpat","Point 80",80,"29/06/2015","9:44:56 AM",153.0955487,-25.5948082,"Upslope",0.1,0,4,4,0,0,0.1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0
"ratpat","Point 75",75,"29/06/2015","9:51:01 AM",153.09556415,-25.59482506,"Trough",0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ratpat","Point 70",70,"29/06/2015","9:53:05 AM",153.09562216,-25.59480644,"Trough",0.7,0,0,0,0,0,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ratpat","Point 65",65,"29/06/2015","9:54:39 AM",153.09565677,-25.59481493,"Trough",0.1,0,1,1,0,0,0,0,0,0.5,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ratpat","Point 0",0,"29/06/2015","8:32:04 AM",153.09598214,-25.59568877,"",0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ratpat","Point 5",5,"29/06/2015","8:50:35 AM",153.09624716,-25.59497008,"Trough",0.01,2,0,1,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ratpat","Point 10",10,"29/06/2015","8:55:36 AM",153.09621109,-25.59495555,"Trough",0.02,0,1,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ratpat","Point 15",15,"29/06/2015","8:58:20 AM",153.09616975,-25.59492071,"Upslope",0.25,1,1,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ratpat","Point 20",20,"29/06/2015","9:08:56 AM",153.09609452,-25.59491366,"Upslope",0.15,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ratpat","Point 25",25,"29/06/2015","9:12:05 AM",153.09607527,-25.59489579,"Crest",0.3,0,0,0,0,0,0.1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ratpat","Point 30",30,"29/06/2015","9:17:09 AM",153.09601722,-25.59488898,"Downslope",0.2,3,3,2,0.3,0,0.1,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"ratpat","Point 35",35,"29/06/2015","9:22:23 AM",153.09598024,-25.59488919,"Trough",0.3,2,2,2,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0
"ratpat","Point 40",40,"29/06/2015","9:27:55 AM",153.09593334,-25.59488454,"Trough",0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0
"ratpat","Point 45",45,"29/06/2015","9:34:16 AM",153.09588541,-25.5949087,"Upslope",0.75,0,0,0,0,0,0,0,0,0,0.1,0,0.35,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
"ratpat","Point 50",50,"29/06/2015","9:43:31 AM",153.09582184,-25.59488748,"Upslope",0.35,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ratpat","Point 55",55,"29/06/2015","9:51:32 AM",153.09575931,-25.59487039,"Crest",0.45,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ratpat","Point 60",60,"29/06/2015","9:55:06 AM",153.09574621,-25.59486012,"Downslope",0.25,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
