"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"blueking","Point 80",80,"5/07/2015","9:43:20 AM",153.09190768,-25.6059724,"Upslope",0.75,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.3,0.15,0,0,0,0,0,0,0,0,0,0,0,0
"blueking","Point 75",75,"5/07/2015","9:48:15 AM",153.09214636,-25.60600517,"Trough",0.6,1,0,1,0,0,0,0,0,0.05,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0
"blueking","Point 100",100,"5/07/2015","8:29:02 AM",153.09284648,-25.60596359,"Upslope",0.01,2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"blueking","Point 0",0,"5/07/2015","8:47:52 AM",153.09277278,-25.6061458,"Upslope",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blueking","Point 5",5,"5/07/2015","8:49:05 AM",NA,NA,"Upslope",0,1,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blueking","Point 10",10,"5/07/2015","8:51:21 AM",153.09269588,-25.60614851,"Crest",0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blueking","Point 15",15,"5/07/2015","8:53:07 AM",153.09265932,-25.60618486,"Trough",0.03,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blueking","Point 20",20,"5/07/2015","8:54:55 AM",153.09261465,-25.60612904,"Upslope",0.01,2,1,1,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"blueking","Point 25",25,"5/07/2015","8:57:58 AM",NA,NA,"Downslope",0.24,3,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"blueking","Point 30",30,"5/07/2015","9:02:59 AM",NA,NA,"Trough",0.14,1,2,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0
"blueking","Point 35",35,"5/07/2015","9:09:24 AM",153.09246103,-25.60611057,"Upslope",0.6,0,5,3,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"blueking","Point 40",40,"5/07/2015","9:13:39 AM",153.09240991,-25.60609692,"Downslope",0.62,0,1,1,0,0,0,0,0,0.07,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,1,0,0,0
"blueking","Point 45",45,"5/07/2015","9:22:39 AM",153.09236559,-25.60613876,"Upslope",0.15,0,7,1,0,0,0.05,0,0,0.01,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
"blueking","Point 50",50,"5/07/2015","9:30:44 AM",153.0923247,-25.60610001,"Crest",0.27,0,0,0,0,0,0.05,0,0,0.1,0.02,0,0.25,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
"blueking","Point 55",55,"5/07/2015","9:34:16 AM",153.09224132,-25.60609711,"Downslope",0.18,0,1,0,0.24,0,0,0,0,0.02,0,0,0.07,0,0.07,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0
"blueking","Point 60",60,"5/07/2015","9:38:59 AM",153.09223532,-25.60606031,"Downslope",0.06,0,2,0,0,0,0,0,0,0,0,0,0.12,0,0.03,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1,0,0,0
"blueking","Point 65",65,"5/07/2015","9:42:48 AM",153.09217497,-25.60606426,"Trough",0.1,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,1,0,0,0,0,1,0,0,0,0
"blueking","Point 70",70,"5/07/2015","9:50:48 AM",153.09216082,-25.6059895,"Trough",0.08,0,2,2,0,0,0,0,0,0,0,0,0.03,0,0.1,0,0,0,0,0,0,0,0,0.02,0,0,0,1,0,0,0,0,1,0,0,0,0
