"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"bluemoo","Point 100",100,"5/07/2015","8:28:18 AM",153.0928317,-25.60596932,"Upslope",0.01,2,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"bluemoo","Point 0",0,"5/07/2015","8:44:28 AM",153.0928298,-25.60600378,"Upslope",0.05,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluemoo","Point 5",5,"5/07/2015","8:45:46 AM",153.0927832,-25.60602251,"Crest",0,1,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluemoo","Point 10",10,"5/07/2015","8:49:20 AM",153.0927419,-25.60600323,"Trough",0.07,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluemoo","Point 15",15,"5/07/2015","8:51:24 AM",153.0927095,-25.60600514,"Upslope",0.01,1,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluemoo","Point 20",20,"5/07/2015","8:53:12 AM",153.0926303,-25.605959,"Upslope",0.03,1,2,1,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluemoo","Point 25",25,"5/07/2015","8:58:03 AM",153.0926006,-25.60598241,"Crest",0.2,1,1,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluemoo","Point 30",30,"5/07/2015","9:00:26 AM",153.0925489,-25.60598222,"Trough",0.9,0,1,1,0.05,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,1,0,0,0
"bluemoo","Point 35",35,"5/07/2015","9:03:14 AM",153.092508,-25.60598892,"Upslope",0.95,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"bluemoo","Point 40",40,"5/07/2015","9:04:44 AM",153.0924621,-25.60598416,"Downslope",0.8,2,1,1,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,1,0,0,0,0,0,0,0,0,0
"bluemoo","Point 45",45,"5/07/2015","9:07:14 AM",153.0924202,-25.60599176,"Upslope",0.7,3,3,3,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,1,0,0,0
"bluemoo","Point 50",50,"5/07/2015","9:10:38 AM",153.092382,-25.60596823,"Crest",0.17,2,2,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluemoo","Point 55",55,"5/07/2015","9:13:26 AM",153.0923235,-25.60597736,"Crest",0.95,3,1,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0
"bluemoo","Point 60",60,"5/07/2015","9:15:09 AM",153.0922333,-25.60595344,"Downslope",1,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluemoo","Point 65",65,"5/07/2015","9:32:30 AM",153.0922192,-25.60597186,"Trough",0.6,0,0,0,0,0,0.03,0,0,0.1,0,0,0,0,0.15,0,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluemoo","Point 70",70,"5/07/2015","9:37:55 AM",153.0921692,-25.60595837,"Trough",0.8,0,3,3,0,0,0.02,0,0,0.15,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0
"bluemoo","Point 75",75,"5/07/2015","9:40:34 AM",153.0921191,-25.60592683,"Upslope",0.9,1,0,1,0,0,0,0.2,0,0.05,0,0,0.15,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluemoo","Point 80",80,"5/07/2015","9:43:48 AM",153.0920765,-25.60589464,"Upslope",0.7,0,2,1,0,0,0,0,0,0.15,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
