"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"bluespidermonkeys","Point 100",100,"5/07/2015","8:29:14 AM",153.09284814,-25.60593965,"Upslope",0.01,2,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 0",0,"5/07/2015","8:44:44 AM",153.09274213,-25.60640055,"Trough",0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 5",5,"5/07/2015","8:46:08 AM",153.09270624,-25.60638819,"Trough",0.02,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 10",10,"5/07/2015","8:47:13 AM",153.09266519,-25.60637113,"Trough",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 15",15,"5/07/2015","8:48:22 AM",153.09257655,-25.60639278,"Trough",0,0,2,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 20",20,"5/07/2015","8:49:28 AM",153.09256475,-25.60636423,"Upslope",0.01,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 25",25,"5/07/2015","8:51:05 AM",153.09250856,-25.60633405,"Crest",0,1,6,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 30",30,"5/07/2015","8:57:04 AM",153.09250548,-25.60632613,"Crest",0.3,3,4,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 35",35,"5/07/2015","9:00:37 AM",153.09242166,-25.60629519,"Upslope",0.3,3,3,2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 40",40,"5/07/2015","9:08:36 AM",153.09239783,-25.60629158,"Crest",0.05,0,7,5,0,0,0,0,0,0.05,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 45",45,"5/07/2015","9:15:37 AM",153.09238819,-25.60629359,"Upslope",0.85,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 50",50,"5/07/2015","9:18:04 AM",153.09238778,-25.60625117,"Upslope",0.65,1,1,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 55",55,"5/07/2015","9:20:17 AM",153.09227548,-25.60620255,"Crest",0.7,4,0,0,0,0,0.15,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 60",60,"5/07/2015","9:24:41 AM",153.09220973,-25.60619104,"Downslope",0.5,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.01,0,0,0,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 65",65,"5/07/2015","9:27:51 AM",153.0921835,-25.60616844,"Trough",0.6,0,2,1,0,0,0,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluespidermonkeys","Point 70",70,"5/07/2015","9:31:58 AM",153.09210588,-25.60619171,"Trough",0.3,1,0,1,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0
"bluespidermonkeys","Point 75",75,"5/07/2015","9:34:09 AM",153.09208611,-25.6061912,"Trough",0.5,0,0,0,0,0,0,0,0,0.2,0,0,0.15,0,0.01,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
