"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"bluewhale","Point 100",100,"5/07/2015","8:29:08 AM",153.09282516,-25.60595003,"Upslope",0.01,2,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"bluewhale","Point 0",0,"5/07/2015","8:42:05 AM",153.09267126,-25.60661069,"Trough",0.05,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluewhale","Point 5",5,"5/07/2015","8:43:57 AM",153.09261564,-25.6066003,"Upslope",0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluewhale","Point 10",10,"5/07/2015","8:45:03 AM",153.09257107,-25.60659627,"Crest",0.01,2,2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluewhale","Point 15",15,"5/07/2015","8:47:10 AM",153.09254866,-25.60655691,"Trough",0.01,0,1,0,0,0,0.02,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluewhale","Point 20",20,"5/07/2015","8:50:11 AM",153.09252402,-25.60656583,"Upslope",0.01,0,5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluewhale","Point 25",25,"5/07/2015","8:54:15 AM",153.09245424,-25.60652157,"Crest",0.6,2,1,2,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"bluewhale","Point 30",30,"5/07/2015","8:58:55 AM",153.09239031,-25.60654002,"Upslope",0.9,0,4,2,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0
"bluewhale","Point 35",35,"5/07/2015","9:02:48 AM",153.0923574,-25.60648722,"Crest",0.9,0,1,1,0,0,0,0,0,0.05,0.15,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0
"bluewhale","Point 40",40,"5/07/2015","9:08:32 AM",153.09231008,-25.6065053,"Trough",0.5,3,3,2,0.01,0,0,0,0,0.1,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"bluewhale","Point 45",45,"5/07/2015","9:12:54 AM",153.09226201,-25.60647754,"Upslope",0.6,2,0,2,0.05,0,0,0,0,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,0,0,0
"bluewhale","Point 50",50,"5/07/2015","9:17:16 AM",153.092201,-25.60647338,"Crest",0.9,1,0,1,0,0,0,0,0,0,0.1,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"bluewhale","Point 55",55,"5/07/2015","9:20:40 AM",153.09216661,-25.60646547,"Downslope",0.9,2,0,2,0,0,0,0,0,0.01,0.05,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"bluewhale","Point 60",60,"5/07/2015","9:24:14 AM",153.09211576,-25.6064562,"Downslope",0.4,1,0,1,0,0,0.01,0,0,0.05,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.35,0,0,0,1,0,0,0,0,0,0,0,0,0
"bluewhale","Point 65",65,"5/07/2015","9:27:28 AM",153.09207003,-25.60643398,"Trough",0.55,1,0,1,0,0,0,0,0,0.2,0,0,0,0,0.15,0,0.01,0,0,0,0,0,0,0.05,0,0,0,1,0,0,0,0,0,1,0,0,0
"bluewhale","Point 70",70,"5/07/2015","9:32:55 AM",153.09200335,-25.60645353,"Trough",0.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0
"bluewhale","Point 75",75,"5/07/2015","9:35:56 AM",153.09195379,-25.60642106,"Upslope",0.3,2,0,0,0,0,0,0,0,0,0,0.05,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,1,0,0,0,0
"bluewhale","Point 80",80,"5/07/2015","9:46:05 AM",153.09192274,-25.60644066,"Upslope",0.9,1,0,1,0,0,0,0,0,0,0,0.5,0.05,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0.01,0,1,0,0,0,0,1,0,0,0,0
