"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"green crab mahyna sarah","Point 0",0,"2/07/2015","9:03:58 AM",NA,NA,"Trough",0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green crab mahyna sarah","Point 5",5,"2/07/2015","9:04:58 AM",NA,NA,"Trough",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green crab mahyna sarah","Point 10",10,"2/07/2015","9:07:29 AM",153.09591718,-25.5958962,"Trough",0.002,4,0,1,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green crab mahyna sarah","Point 15",15,"2/07/2015","9:11:35 AM",153.09583661,-25.59589124,"Trough",0.05,1,1,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"green crab mahyna sarah","Point 20",20,"2/07/2015","9:14:22 AM",153.09579563,-25.59586735,"Upslope",0.1,1,1,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"green crab mahyna sarah","Point 25",25,"2/07/2015","9:16:41 AM",153.09574962,-25.59586795,"Downslope",0.6,1,6,0,0,0,0,0,0,0.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,2,0,0,0
"green crab mahyna sarah","Point 30",30,"2/07/2015","9:27:52 AM",153.09570864,-25.59586375,"Trough",0.97,2,0,1,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0
"green crab mahyna sarah","Point 35",35,"2/07/2015","9:33:55 AM",153.09564742,-25.59587084,"Downslope",0.05,4,1,1,0,0,0,0,0,0.04,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0
"green crab mahyna sarah","Point 40",40,"2/07/2015","9:37:37 AM",153.09562537,-25.59586489,"Upslope",0.8,2,0,0,0,0,0.03,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"green crab mahyna sarah","Point 45",45,"2/07/2015","9:54:54 AM",153.09549865,-25.59583644,"Crest",0.95,3,0,1,0,0,0,0,0,0.3,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"green crab mahyna sarah","Point 50",50,"2/07/2015","9:58:23 AM",153.09548476,-25.59583899,"Downslope",0.98,1,0,1,0,0,0,0,0,0.5,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"green crab mahyna sarah","Point 55",55,"2/07/2015","10:00:43 AM",153.09544979,-25.59583232,"Trough",0.98,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"green crab mahyna sarah","Point 60",60,"2/07/2015","10:03:09 AM",153.09539539,-25.59579264,"Trough",0.95,2,0,1,0,0,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"green crab mahyna sarah","Point 65",65,"2/07/2015","10:05:56 AM",153.09536901,-25.59580661,"Trough",0.95,1,0,1,0,0,0,0.005,0,0.05,0,0,0.1,0,0.005,0,0,0,0,0,0,0,0,0,0,0.02,0,1,0,0,0,0,0,1,0,0,0
"green crab mahyna sarah","Point 70",70,"2/07/2015","10:13:11 AM",153.09532395,-25.59575778,"Trough",0.95,2,0,0,0,0,0,0.25,0,0.1,0,0.005,0,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0.02,0,1,0,0,0,0,0,1,0,0,0
"green crab mahyna sarah","Point 75",75,"2/07/2015","10:16:31 AM",153.09527261,-25.59577401,"Trough",1,0,0,0,0,0,0,0.1,0,0.05,0,0.08,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,1,0,0,0
