"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"green sophie","Point 100",100,"2/07/2015","8:41:18 AM",153.09587638,-25.5962487,"Upslope",0.0025,2,0,0,0,0,0,0,0,0,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green sophie","Point 0",0,"2/07/2015","8:57:58 AM",153.09610294,-25.59558008,"Trough",0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green sophie","Point 5",5,"2/07/2015","8:59:25 AM",153.09605641,-25.59561373,"Upslope",0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green sophie","Point 10",10,"2/07/2015","9:00:51 AM",153.09601696,-25.59557005,"Crest",0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green sophie","Point 15",15,"2/07/2015","9:02:03 AM",153.09597074,-25.5955598,"Crest",0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green sophie","Point 20",20,"2/07/2015","9:03:32 AM",153.09592664,-25.59554307,"Trough",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green sophie","Point 25",25,"2/07/2015","9:11:14 AM",153.09584886,-25.59554511,"Upslope",0.03,0,2,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green sophie","Point 30",30,"2/07/2015","9:15:28 AM",153.09583546,-25.59550297,"Downslope",0.015,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0
"green sophie","Point 35",35,"2/07/2015","9:23:52 AM",153.09577562,-25.59553828,"Downslope",0.68,1,0,1,0.15,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,1,0,0,0
"green sophie","Point 40",40,"2/07/2015","9:27:42 AM",153.09571972,-25.59547874,"Trough",0.15,0,1,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1,0,0,0
"green sophie","Point 45",45,"2/07/2015","9:31:05 AM",153.09567595,-25.59551711,"Trough",0.5,0,0,0,0,0,0,0,0,0.35,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"green sophie","Point 50",50,"2/07/2015","9:32:54 AM",153.09562917,-25.59549194,"Upslope",0.3,0,1,1,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"green sophie","Point 55",55,"2/07/2015","9:35:25 AM",153.09559751,-25.59548497,"Downslope",0.45,0,1,1,0.15,0,0,0,0,0.35,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"green sophie","Point 60",60,"2/07/2015","9:46:21 AM",153.09544005,-25.59543464,"Trough",0.2,0,0,0,0,0,0,0,0,0.6,0.02,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"green sophie","Point 65",65,"2/07/2015","9:47:58 AM",153.09544187,-25.59543489,"Trough",0.15,0,0,0,0,0,0,0,0,0.2,0.02,0.15,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"green sophie","Point 70",70,"2/07/2015","9:53:49 AM",153.09543234,-25.59541379,"Trough",0.15,0,3,3,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"green sophie","Point 75",75,"2/07/2015","9:54:37 AM",153.09540353,-25.59542308,"Trough",0.4,1,2,2,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0,0,0,1,0,0,0,0,0,0,0,0,0
"green sophie","Point 80",80,"2/07/2015","10:01:55 AM",153.09537821,-25.59540217,"Upslope",0.2,0,1,1,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
