"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"greenberna","Point 80",80,"2/07/2015","10:13:33 AM",153.09548894,-25.59509504,"Upslope",0.55,0,1,1,0,0,0.015,0,0,0,0,0.05,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"greenberna","Point 75",75,"2/07/2015","10:16:16 AM",153.09550663,-25.59513766,"Upslope",0.3,1,1,2,0,0,0.1,0,0,0.4,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"greenberna","Point 70",70,"2/07/2015","10:18:52 AM",153.0955428,-25.59515838,"Trough",0.9,1,0,0,0,0,0.005,0,0,0.05,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"greenberna","Point 65",65,"2/07/2015","10:21:23 AM",153.09560927,-25.59515935,"Trough",0.12,1,0,1,0,0,0,0,0,0.45,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"greenberna","Point 60",60,"2/07/2015","10:23:28 AM",153.09564911,-25.59517942,"Downslope",0.05,0,0,0,0,0,0,0,0,0.85,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"greenberna","Point 0",0,"2/07/2015","9:02:03 AM",153.0961849,-25.59538367,"Trough",0.0075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"greenberna","Point 5",5,"2/07/2015","9:02:55 AM",NA,NA,"Trough",0.05,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"greenberna","Point 10",10,"2/07/2015","9:16:21 AM",153.09607938,-25.59535946,"Downslope",5e-04,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"greenberna","Point 15",15,"2/07/2015","9:20:41 AM",153.09603059,-25.59538296,"Trough",5e-04,1,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"greenberna","Point 20",20,"2/07/2015","9:25:51 AM",153.09593716,-25.59530696,"Upslope",0.005,2,1,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"greenberna","Point 25",25,"2/07/2015","9:42:11 AM",153.0959432,-25.59533893,"Upslope",0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"greenberna","Point 30",30,"2/07/2015","9:45:29 AM",153.0958856,-25.59529202,"Crest",0.15,6,2,0,0,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,1,0,0,0
"greenberna","Point 35",35,"2/07/2015","9:54:13 AM",153.09583583,-25.59530963,"Trough",0.54,2,3,1,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"greenberna","Point 40",40,"2/07/2015","10:06:15 AM",153.09581169,-25.59526603,"Trough",0.02,0,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,1,0,0,0
"greenberna","Point 45",45,"2/07/2015","10:15:07 AM",153.09576361,-25.59526135,"Upslope",0.01,2,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"greenberna","Point 50",50,"2/07/2015","10:18:49 AM",153.09570946,-25.59523098,"Crest",0.03,1,1,0,0.1,0,0,0,0,0.8,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"greenberna","Point 55",55,"2/07/2015","10:23:52 AM",153.09566867,-25.59523762,"Downslope",0.05,0,0,0,0,0,0,0,0,0.9,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
