"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"namered","Point 100",100,"3/07/2015","8:26:18 AM",153.09409532,-25.60197339,"Upslope",0.01,1,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"namered","Point 0",0,"3/07/2015","8:43:31 AM",153.09373528,-25.60298247,"Upslope",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"namered","Point 5",5,"3/07/2015","8:46:23 AM",153.09371154,-25.60298941,"Upslope",0,1,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"namered","Point 10",10,"3/07/2015","8:48:57 AM",NA,NA,"Upslope",0.01,0,2,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"namered","Point 15",15,"3/07/2015","8:50:35 AM",153.09359459,-25.60296521,"Upslope",0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"namered","Point 20",20,"3/07/2015","8:52:02 AM",153.09354958,-25.60295033,"Upslope",0.03,0,0,0,0.02,0,0.06,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"namered","Point 25",25,"3/07/2015","8:54:51 AM",NA,NA,"Crest",0.1,1,3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"namered","Point 30",30,"3/07/2015","9:03:27 AM",153.09344326,-25.60294619,"Downslope",0.7,0,3,1,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"namered","Point 35",35,"3/07/2015","9:10:28 AM",NA,NA,"Upslope",0.1,0,5,1,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"namered","Point 40",40,"3/07/2015","9:14:19 AM",153.09336326,-25.60289583,"Upslope",0.5,0,4,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"namered","Point 45",45,"3/07/2015","9:17:46 AM",153.09326282,-25.60288407,"Trough",0.6,1,1,2,0,0,0.05,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0
"namered","Point 50",50,"3/07/2015","9:29:55 AM",153.09326248,-25.60289556,"Crest",0.1,2,2,3,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,1,0,0,0,0
"namered","Point 55",55,"3/07/2015","9:42:38 AM",153.09319551,-25.60288886,"Downslope",0.8,1,0,1,0,0,0,0,0,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"namered","Point 60",60,"3/07/2015","9:46:37 AM",153.09317828,-25.60288557,"Downslope",0.88,1,0,1,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,1,0,0,0,0
