"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"redholes","Point 100",100,"3/07/2015","8:27:04 AM",153.0941004,-25.60196431,"Upslope",0.01,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"redholes","Point 0",0,"3/07/2015","8:48:18 AM",153.09386581,-25.60257562,"Upslope",0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"redholes","Point 5",5,"3/07/2015","8:53:12 AM",153.09380913,-25.6026199,"Upslope",0,0,1,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"redholes","Point 10",10,"3/07/2015","8:56:55 AM",153.09377297,-25.60258033,"Downslope",0.05,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"redholes","Point 15",15,"3/07/2015","8:58:49 AM",153.09371971,-25.6025801,"Trough",0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"redholes","Point 20",20,"3/07/2015","9:00:38 AM",153.09367928,-25.60255038,"Upslope",0.1,0,1,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"redholes","Point 25",25,"3/07/2015","9:03:38 AM",153.0936195,-25.60254947,"Upslope",0.9,1,6,2,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"redholes","Point 30",30,"3/07/2015","9:11:33 AM",153.09356144,-25.60253474,"Downslope",0.15,0,4,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
"redholes","Point 35",35,"3/07/2015","9:15:19 AM",153.09354203,-25.60255068,"Trough",0.25,1,5,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
"redholes","Point 40",40,"3/07/2015","9:22:23 AM",153.09351463,-25.60248346,"Trough",0.85,0,1,1,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"redholes","Point 45",45,"3/07/2015","9:26:35 AM",153.09344807,-25.60249881,"Upslope",0.85,0,2,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0
"redholes","Point 50",50,"3/07/2015","9:33:42 AM",153.09342539,-25.6024956,"Crest",0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0.3,0,0,0,0,0,0,0,0,0,1,0,0,0
"redholes","Point 55",55,"3/07/2015","9:45:50 AM",153.09335135,-25.60244824,"Downslope",0.9,3,1,2,0.05,0,0,0,0,0.6,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0
"redholes","Point 60",60,"3/07/2015","9:51:03 AM",153.09333979,-25.60241477,"Trough",0.7,0,0,0,0,0,0,0,0,0.6,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"redholes","Point 65",65,"3/07/2015","9:55:57 AM",153.0933019,-25.60237719,"Trough",0.95,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.2,0,0,0,0,0,0,0,0,1,0,1,0,0
"redholes","Point 70",70,"3/07/2015","10:03:50 AM",153.09328046,-25.6023683,"Trough",0.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"redholes","Point 75",75,"3/07/2015","10:09:48 AM",153.09321875,-25.60232774,"Trough",0.85,0,1,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.05,0,0,1,0,0,0,0,0,0,0,0,0
"redholes","Point 80",80,"3/07/2015","10:14:19 AM",153.09319544,-25.60231541,"Upslope",0.7,0,1,1,0,0,0,0,0,0.2,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0
