"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"wittyred","Point 100",100,"3/07/2015","8:27:23 AM",153.09407189,-25.60198599,"Upslope",0.01,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wittyred","Point 0",0,"3/07/2015","8:42:11 AM",NA,NA,"Trough",0.05,1,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wittyred","Point 5",5,"3/07/2015","8:45:05 AM",153.09399088,-25.60205556,"Crest",0.01,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wittyred","Point 10",10,"3/07/2015","8:46:58 AM",153.09394662,-25.60206007,"Downslope",0.15,1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wittyred","Point 15",15,"3/07/2015","8:48:12 AM",153.09392455,-25.60205054,"Upslope",0.1,2,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wittyred","Point 20",20,"3/07/2015","8:52:44 AM",153.09386258,-25.60200643,"Crest",0.05,1,2,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wittyred","Point 25",25,"3/07/2015","8:55:10 AM",153.09381103,-25.60200074,"Upslope",0.6,8,0,1,0.05,0,0,0,0,0,0.3,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"wittyred","Point 30",30,"3/07/2015","9:02:15 AM",153.09376259,-25.60195519,"Trough",0.85,0,1,0,0.08,0,0,0,0,0.4,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"wittyred","Point 35",35,"3/07/2015","9:08:32 AM",153.09369953,-25.6019715,"Trough",0.8,0,0,0,0,0,0,0,0,0.6,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,1,0,0,0
"wittyred","Point 40",40,"3/07/2015","9:12:13 AM",153.09366144,-25.60194049,"Upslope",0.6,1,1,1,0.02,0,0,0,0,0.3,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0
"wittyred","Point 45",45,"3/07/2015","9:16:14 AM",153.09361488,-25.60194267,"Upslope",0.35,2,2,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"wittyred","Point 50",50,"3/07/2015","9:20:28 AM",153.09358469,-25.60191349,"Crest",0.95,2,1,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"wittyred","Point 55",55,"3/07/2015","9:23:35 AM",153.09353203,-25.60190847,"Downslope",0.7,3,1,2,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,1,0,0,0,0
"wittyred","Point 60",60,"3/07/2015","9:26:15 AM",153.0935233,-25.60186298,"Trough",0.95,2,1,2,0,0,0,0,0.01,0.3,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0
"wittyred","Point 65",65,"3/07/2015","9:33:38 AM",153.09347476,-25.60183079,"Upslope",1,1,1,1,0,0,0,0,0,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,1,0,0,0,0,1,0,0,0,0
"wittyred","Point 70",70,"3/07/2015","9:39:38 AM",153.09345497,-25.60177197,"Upslope",0.8,1,0,1,0.01,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"wittyred","Point 75",75,"3/07/2015","9:43:48 AM",153.09342748,-25.6017475,"Trough",0.8,1,0,1,0,0,0,0,0,0.2,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
