"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"yellow croissant","Point 100",100,"4/07/2015","8:39:30 AM",153.09648363,-25.59421612,"Upslope",0,0,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"yellow croissant","Point 0",0,"4/07/2015","9:01:41 AM",153.0965743,-25.59406069,"Upslope",0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow croissant","Point 5",5,"4/07/2015","9:07:11 AM",153.09653099,-25.5940765,"Upslope",0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow croissant","Point 10",10,"4/07/2015","9:11:01 AM",153.09650569,-25.59405381,"Crest",0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow croissant","Point 15",15,"4/07/2015","9:11:55 AM",153.09644342,-25.59405097,"Upslope",0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow croissant","Point 20",20,"4/07/2015","9:13:57 AM",153.09638093,-25.59400915,"Upslope",0.05,0,0,0,0,0,0.02,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow croissant","Point 25",25,"4/07/2015","9:18:19 AM",153.09633343,-25.59402226,"Crest",0.02,0,6,2,0,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow croissant","Point 30",30,"4/07/2015","9:21:27 AM",153.09627318,-25.59399158,"Downslope",0.1,1,5,4,0,0,0.05,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow croissant","Point 35",35,"4/07/2015","9:25:49 AM",153.09624692,-25.59399292,"Trough",0.8,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0
"yellow croissant","Point 40",40,"4/07/2015","9:31:17 AM",153.09616649,-25.59396289,"Upslope",0.95,1,6,1,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,1,0,0,0,0,0,0,0,0,0
