"Group","Distance along tape (factor)","Distance along tape","Date","Time","Longitude","Latitude","Dune position","Litter cover","Number active burrows","Number inactive burrows","Number burrows >2cm across","Angular Pigface","Coast Headland Pea","Beach Morning Glory","Beach Primrose","Beach Sawthistle","Beach Couch","Beach Spinifex","Blady Grass","Blue Flax Lily","Coastal Jack Bean","Coastal Lovegrass","Devils Twine","Dune Oxalis","Emilia","Everlasting Daisy","Hillside Burrgrass","Marine Couch","Mossman River Grass","Native Cobblers Pegs","Scented Fan Flower","Snake Vine","Tape Vine","Yellow Beach Bean","Coastal Banksia","Red Ash","Coastal Canthium","Native Cherry","Coastal Screw Pine","Coastal Wattle","Coastal She oak","Black Wattle","Twiggy Homoranthus","Mangrove Boobialla"
"yellow flower","Point 100",100,"4/07/2015","8:38:19 AM",153.09649803,-25.59422162,"Upslope",0,0,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"yellow flower","Point 0",0,"4/07/2015","8:53:57 AM",153.09674143,-25.59348152,"Upslope",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"yellow flower","Point 5",5,"4/07/2015","8:55:09 AM",153.09670531,-25.59344258,"Upslope",0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow flower","Point 10",10,"4/07/2015","8:56:14 AM",153.09666574,-25.5934327,"Crest",0,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow flower","Point 15",15,"4/07/2015","9:01:30 AM",153.09661396,-25.59340071,"Upslope",0.01,0,0,0,0,0,0,0,0,0,0.25,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow flower","Point 20",20,"4/07/2015","9:03:56 AM",153.09656108,-25.5934248,"Upslope",0.1,4,2,0,0,0,0.01,0,0,0,0.1,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow flower","Point 25",25,"4/07/2015","9:06:54 AM",153.09652622,-25.59337875,"Crest",0.02,3,1,1,0,0,0,0,0,0,0.4,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow flower","Point 30",30,"4/07/2015","9:12:20 AM",153.0964802,-25.59340141,"Trough",0.8,1,3,1,0,0,0.05,0,0,0,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,1,0,0,0
"yellow flower","Point 35",35,"4/07/2015","9:20:07 AM",153.09642302,-25.59337252,"Trough",0.2,3,2,5,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,1,0,0,0
"yellow flower","Point 40",40,"4/07/2015","9:30:34 AM",153.0963833,-25.59337182,"Upslope",0.9,2,1,2,0,0,0,0,0,0.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"yellow flower","Point 45",45,"4/07/2015","9:35:15 AM",153.09631083,-25.59335134,"Crest",0.5,0,1,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow flower","Point 50",50,"4/07/2015","9:42:53 AM",153.09628125,-25.5933594,"Downslope",0.3,3,1,3,0,0,0.01,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow flower","Point 55",55,"4/07/2015","9:47:25 AM",153.0962389,-25.5933403,"Trough",0.15,1,0,1,0,0,0,0,0,0.8,0,0,0.2,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"yellow flower","Point 60",60,"4/07/2015","9:52:57 AM",153.09619655,-25.59332119,"Trough",0.1,0,1,1,0,0,0,0,0,0.75,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
"yellow flower","Point 65",65,"4/07/2015","9:59:39 AM",153.09615309,-25.59328076,"Trough",0.25,0,1,1,0,0,0,0,0,0.1,0,0.02,0,0,0,0,0.15,0,0,0,0,0,0,0.15,0.01,0.03,0,1,0,0,0,0,0,0,0,0,0
"yellow flower","Point 70",70,"4/07/2015","10:04:22 AM",153.09610149,-25.59328844,"Trough",0.3,0,2,1,0.03,0,0,0,0,0.03,0,0.03,0,0,0,0,0.2,0,0,0,0,0,0,0.15,0.2,0,0,1,0,0,0,0,0,0,0,0,0
"yellow flower","Point 75",75,"4/07/2015","10:08:37 AM",153.09606804,-25.59326659,"Trough",0.95,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0
"yellow flower","Point 80",80,"4/07/2015","10:12:22 AM",153.0960233,-25.59324016,"Upslope",0.25,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.05,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
