"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"29/06/2015","10:05:07 AM","Cass","Landward-Creek","0-20m","Point 2",11,-25.4487648,152.98947142,"quarter 1","Avicennia marina",2.3,0.6,30,""
"29/06/2015","10:06:09 AM","Cass","Landward-Creek","0-20m","Point 2",11,-25.4487648,152.98947142,"quarter 2","Avicennia marina",1.8,0.4,13,""
"29/06/2015","10:07:15 AM","Cass","Landward-Creek","0-20m","Point 2",11,-25.4487648,152.98947142,"quarter 3","Avicennia marina",2.3,0.5,20,""
"29/06/2015","10:09:04 AM","Cass","Landward-Creek","0-20m","Point 2",11,-25.44880744,152.98939155,"quarter 4","Avicennia marina",1.6,0.7,36,""
"29/06/2015","10:11:28 AM","Cass","Landward-Creek","0-20m","Point 3",17.5,-25.44880744,152.98939155,"quarter 1","Ceriops australis",2.5,0.6,9,""
"29/06/2015","10:12:17 AM","Cass","Landward-Creek","0-20m","Point 3",17.5,-25.44880744,152.98939155,"quarter 2","Ceriops australis",1.3,1.4,11,""
"29/06/2015","10:12:48 AM","Cass","Landward-Creek","0-20m","Point 3",17.5,-25.44880744,152.98939155,"quarter 3","Ceriops australis",1.3,1.4,19,""
"29/06/2015","10:15:07 AM","Cass","Landward-Creek","0-20m","Point 3",17.5,-25.44869139,152.98935752,"quarter 4","Ceriops australis",1.5,1.7,17,""
"29/06/2015","10:16:27 AM","Cass","Landward-Creek","20-40m","Point 2",31,-25.44869139,152.98935752,"quarter 1","Osbornia octodonta",1,0.6,7,""
"29/06/2015","10:17:30 AM","Cass","Landward-Creek","20-40m","Point 2",31,-25.44869139,152.98935752,"quarter 2","Osbornia octodonta",1,0.4,NA,""
"29/06/2015","10:18:13 AM","Cass","Landward-Creek","20-40m","Point 2",31,-25.44869139,152.98935752,"quarter 3","Osbornia octodonta",1.3,0.5,8,""
"29/06/2015","10:18:32 AM","Cass","Landward-Creek","20-40m","Point 2",31,-25.44875636,152.98920375,"quarter 4","Osbornia octodonta",1.2,0.3,5,""
"29/06/2015","10:21:46 AM","Cass","Landward-Creek","20-40m","Point 3",38,-25.44869116,152.9892629,"quarter 1","Osbornia octodonta",1.2,0.3,3,""
"29/06/2015","10:22:25 AM","Cass","Landward-Creek","20-40m","Point 3",38,-25.44869116,152.9892629,"quarter 2","Osbornia octodonta",1.1,0.1,3,""
"29/06/2015","10:23:59 AM","Cass","Landward-Creek","20-40m","Point 3",38,-25.44869116,152.9892629,"quarter 3","Lumnitzera racemosa",2.7,0.6,9,""
"29/06/2015","10:24:53 AM","Cass","Landward-Creek","20-40m","Point 3",38,-25.44856724,152.98915965,"quarter 4","Ceriops australis",2.5,0.7,6,""
"29/06/2015","10:27:32 AM","Cass","Landward-Creek","40-60m","Point 2",55,-25.44856724,152.98915965,"quarter 1","Ceriops australis",2.9,0.8,13,""
"29/06/2015","10:28:45 AM","Cass","Landward-Creek","40-60m","Point 2",55,-25.44856724,152.98915965,"quarter 2","Ceriops australis",1.8,0.2,5,""
