"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"30/06/2015","10:11:04 AM","adidas","Landward-Creek","0-20m","Point 1",9.5,-25.44825878,152.9897254,"quarter 1","Aegialitis annulata",0.5,0.4,7,NA
"30/06/2015","10:12:16 AM","adidas","Landward-Creek","0-20m","Point 1",9.5,-25.44825878,152.9897254,"quarter 2","Osbornia octodonta",1,1.2,8,NA
"30/06/2015","10:12:48 AM","adidas","Landward-Creek","0-20m","Point 1",9.5,-25.44825878,152.9897254,"quarter 3","Aegialitis annulata",0.4,0.7,8,NA
"30/06/2015","10:13:30 AM","adidas","Landward-Creek","0-20m","Point 1",9.5,-25.44845692,152.9898022,"quarter 4","Ceriops australis",0.9,0.9,12,NA
"30/06/2015","10:15:35 AM","adidas","Landward-Creek","0-20m","Point 2",13,-25.44845692,152.9898022,"quarter 1","Ceriops australis",0.3,0.6,7,NA
"30/06/2015","10:16:28 AM","adidas","Landward-Creek","0-20m","Point 2",13,-25.44845692,152.9898022,"quarter 2","Ceriops australis",0.3,0.6,8.5,NA
"30/06/2015","10:17:03 AM","adidas","Landward-Creek","0-20m","Point 2",13,-25.44845692,152.9898022,"quarter 3","Osbornia octodonta",0.5,0.8,8,NA
"30/06/2015","10:18:03 AM","adidas","Landward-Creek","0-20m","Point 2",13,-25.4483252,152.9895874,"quarter 4","Osbornia octodonta",1.1,0.9,5,NA
"30/06/2015","10:25:21 AM","adidas","Landward-Creek","20-40m","Point 1",23,-25.4483252,152.9895874,"quarter 1","Osbornia octodonta",0.5,0.4,3.5,NA
"30/06/2015","10:26:07 AM","adidas","Landward-Creek","20-40m","Point 1",23,-25.4483252,152.9895874,"quarter 2","Ceriops australis",0.8,0.7,14,NA
"30/06/2015","10:31:07 AM","adidas","Landward-Creek","20-40m","Point 1",23,-25.4483252,152.9895874,"quarter 3","Ceriops australis",0.4,0.3,6,NA
"30/06/2015","10:31:51 AM","adidas","Landward-Creek","20-40m","Point 1",23,-25.44817665,152.9895337,"quarter 4","Ceriops australis",0.4,0.5,5,NA
"30/06/2015","10:41:35 AM","adidas","Landward-Creek","20-40m","Point 3",53,-25.44817665,152.9895337,"quarter 1","Avicennia marina",0.8,0.8,10,NA
"30/06/2015","10:43:12 AM","adidas","Landward-Creek","20-40m","Point 3",53,-25.44817665,152.9895337,"quarter 2","Avicennia marina",0.8,0.4,4.5,NA
"30/06/2015","10:44:03 AM","adidas","Landward-Creek","20-40m","Point 3",53,-25.44817665,152.9895337,"quarter 3","Osbornia octodonta",0.9,0.2,1,NA
"30/06/2015","10:45:48 AM","adidas","Landward-Creek","20-40m","Point 3",53,-25.44819877,152.9894591,"quarter 4","Avicennia marina",0.8,0.3,4.5,NA
"30/06/2015","10:47:49 AM","adidas","Landward-Creek","40-60m","Point 2",58.3,-25.44819877,152.9894591,"quarter 1","Ceriops australis",0.4,0.2,2.5,NA
"30/06/2015","10:48:24 AM","adidas","Landward-Creek","40-60m","Point 2",58.3,-25.44819877,152.9894591,"quarter 2","Ceriops australis",1.3,0.3,3,NA
"30/06/2015","10:48:55 AM","adidas","Landward-Creek","40-60m","Point 2",58.3,-25.44819877,152.9894591,"quarter 3","Osbornia octodonta",0.5,0.2,2,NA
"30/06/2015","10:49:18 AM","adidas","Landward-Creek","40-60m","Point 2",58.3,-25.4481936,152.9894559,"quarter 4","Osbornia octodonta",0.6,0.2,2,NA
"30/06/2015","10:56:21 AM","adidas","Landward-Creek","60-80m","Point 1",64.9,-25.44819546,152.989467,"quarter 1","Avicennia marina",1.5,0.8,9.5,NA
"30/06/2015","10:56:52 AM","adidas","Landward-Creek","60-80m","Point 1",64.9,-25.44819546,152.989467,"quarter 2","Avicennia marina",1.3,0.2,2.3,NA
"30/06/2015","10:57:46 AM","adidas","Landward-Creek","60-80m","Point 1",64.9,-25.44819546,152.989467,"quarter 3","Avicennia marina",1,0.6,11,NA
"30/06/2015","10:58:24 AM","adidas","Landward-Creek","60-80m","Point 1",64.9,-25.44793563,152.9892085,"quarter 4","Ceriops australis",0.9,0.4,4,NA
"30/06/2015","11:00:40 AM","adidas","Landward-Creek","80-100m","Point 1",92.1,-25.44793563,152.9892085,"quarter 1","Osbornia octodonta",0.5,0.2,1.5,NA
"30/06/2015","11:01:07 AM","adidas","Landward-Creek","80-100m","Point 1",92.1,-25.44793563,152.9892085,"quarter 2","Ceriops australis",0.6,0.2,3,NA
"30/06/2015","11:02:16 AM","adidas","Landward-Creek","80-100m","Point 1",92.1,-25.44793563,152.9892085,"quarter 3","Osbornia octodonta",0.6,0.7,6,NA
"30/06/2015","11:03:05 AM","adidas","Landward-Creek","80-100m","Point 1",92.1,-25.44801271,152.9891853,"quarter 4","Ceriops australis",0.8,0.4,4.5,NA
"30/06/2015","11:05:25 AM","adidas","Landward-Creek","80-100m","Point 2",88.5,-25.44801271,152.9891853,"quarter 1","Ceriops australis",1,1,22,NA
"30/06/2015","11:06:30 AM","adidas","Landward-Creek","80-100m","Point 2",88.5,-25.44801271,152.9891853,"quarter 2","Ceriops australis",2.1,1.1,20.5,NA
"30/06/2015","11:07:12 AM","adidas","Landward-Creek","80-100m","Point 2",88.5,-25.44801271,152.9891853,"quarter 3","Ceriops australis",0.9,0.7,5.5,NA
"30/06/2015","11:07:37 AM","adidas","Landward-Creek","80-100m","Point 2",88.5,-25.44801271,152.9891853,"quarter 4","Osbornia octodonta",0.9,0.4,3.5,NA
