"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"30/06/2015","12:08:49 PM","blob 2","Seaward","80-100m","Point 1",7,-25.44763244,152.9875986,"quarter 1","Rhizophora stylosa",1.3,1.4,6,NA
"30/06/2015","12:10:48 PM","blob 2","Seaward","80-100m","Point 1",7,-25.44763244,152.9875986,"quarter 2","Rhizophora stylosa",4.6,1.4,6,NA
"30/06/2015","12:14:13 PM","blob 2","Seaward","80-100m","Point 1",7,-25.44763244,152.9875986,"quarter 3","Avicennia marina",4.9,4.7,18.5,NA
"30/06/2015","12:15:08 PM","blob 2","Seaward","80-100m","Point 1",7,-25.44769965,152.9876546,"quarter 4","Rhizophora stylosa",3.7,2.1,8,NA
"30/06/2015","12:18:27 PM","blob 2","Seaward","0-20m","Point 1",17,-25.44769965,152.9876546,"quarter 1","Rhizophora stylosa",2.4,2.4,16,NA
"30/06/2015","12:19:20 PM","blob 2","Seaward","0-20m","Point 1",17,-25.44769965,152.9876546,"quarter 2","Rhizophora stylosa",3.4,2.1,10,NA
"30/06/2015","12:20:55 PM","blob 2","Seaward","0-20m","Point 1",17,-25.44769965,152.9876546,"quarter 3","Rhizophora stylosa",3.2,2.1,9,NA
"30/06/2015","12:21:32 PM","blob 2","Seaward","0-20m","Point 1",17,-25.44770291,152.9877235,"quarter 4","Rhizophora stylosa",3.6,2.1,9,NA
"30/06/2015","12:26:07 PM","blob 2","Seaward","20-40m","Point 3",27,-25.44770291,152.9877235,"quarter 1","Rhizophora stylosa",1.9,2.1,11,NA
"30/06/2015","12:27:03 PM","blob 2","Seaward","20-40m","Point 3",27,-25.44770291,152.9877235,"quarter 2","Rhizophora stylosa",2.5,1.4,5,NA
"30/06/2015","12:27:44 PM","blob 2","Seaward","20-40m","Point 3",27,-25.44770291,152.9877235,"quarter 3","Rhizophora stylosa",2,0.8,3,NA
"30/06/2015","12:28:26 PM","blob 2","Seaward","20-40m","Point 3",27,-25.44780509,152.9878605,"quarter 4","Rhizophora stylosa",1.9,3,23,NA
"30/06/2015","12:31:51 PM","blob 2","Seaward","40-60m","Point 2",44,-25.44780509,152.9878605,"quarter 1","Rhizophora stylosa",1.7,0.7,2,NA
"30/06/2015","12:32:30 PM","blob 2","Seaward","40-60m","Point 2",44,-25.44780509,152.9878605,"quarter 2","Rhizophora stylosa",0.9,0.7,2,NA
"30/06/2015","12:33:55 PM","blob 2","Seaward","40-60m","Point 2",44,-25.44780509,152.9878605,"quarter 3","Rhizophora stylosa",1.7,1.4,10,NA
"30/06/2015","12:34:40 PM","blob 2","Seaward","40-60m","Point 2",44,-25.44786447,152.9879449,"quarter 4","Lumnitzera racemosa",1.2,0.8,2,NA
"30/06/2015","12:36:11 PM","blob 2","Seaward","40-60m","Point 3",53,-25.44786447,152.9879449,"quarter 1","Ceriops australis",0.8,0.5,5,NA
"30/06/2015","12:38:01 PM","blob 2","Seaward","40-60m","Point 3",53,-25.44786447,152.9879449,"quarter 2","Rhizophora stylosa",2.7,0.7,5,NA
"30/06/2015","12:38:24 PM","blob 2","Seaward","40-60m","Point 3",53,-25.44786447,152.9879449,"quarter 3","Rhizophora stylosa",2.7,0.4,4,NA
"30/06/2015","12:39:12 PM","blob 2","Seaward","40-60m","Point 3",53,-25.44790145,152.9880215,"quarter 4","Avicennia marina",1.1,0.8,5,NA
"30/06/2015","12:43:15 PM","blob 2","Seaward","40-60m","Point 3",63,-25.44790145,152.9880215,"quarter 1","Avicennia marina",1.1,0.6,6,NA
"30/06/2015","12:44:03 PM","blob 2","Seaward","40-60m","Point 3",63,-25.44790145,152.9880215,"quarter 2","Avicennia marina",1.6,0.6,5,NA
"30/06/2015","12:44:42 PM","blob 2","Seaward","40-60m","Point 3",63,-25.44790145,152.9880215,"quarter 3","Avicennia marina",0.9,0.9,13,NA
"30/06/2015","12:45:08 PM","blob 2","Seaward","40-60m","Point 3",63,-25.44849482,152.9898811,"quarter 4","Rhizophora stylosa",0.8,0.6,4,NA
