"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"30/06/2015","12:15:32 PM","tues","Seaward","0-20m","Point 1",1.4,-25.44745362,152.9876836,"quarter 1","Rhizophora stylosa",2.4,3,21.5,NA
"30/06/2015","12:16:13 PM","tues","Seaward","0-20m","Point 1",1.4,-25.44745362,152.9876836,"quarter 2","Rhizophora stylosa",1.4,3,15.5,NA
"30/06/2015","12:17:35 PM","tues","Seaward","0-20m","Point 1",1.4,-25.44745362,152.9876836,"quarter 3","Rhizophora stylosa",2.6,2.3,23,NA
"30/06/2015","12:18:36 PM","tues","Seaward","0-20m","Point 1",1.4,-25.4477534,152.9875466,"quarter 4","Rhizophora stylosa",3.6,2.2,10,NA
"30/06/2015","12:20:06 PM","tues","Seaward","0-20m","Point 1",14,-25.44757021,152.9876481,"quarter 1","Rhizophora stylosa",2.4,3,21.5,NA
"30/06/2015","12:21:35 PM","tues","Seaward","0-20m","Point 1",14,-25.44757021,152.9876481,"quarter 1","Rhizophora stylosa",1.8,3,16,NA
"30/06/2015","12:22:01 PM","tues","Seaward","0-20m","Point 1",14,-25.44757021,152.9876481,"quarter 1","Rhizophora stylosa",1.8,3,18,NA
"30/06/2015","12:22:47 PM","tues","Seaward","0-20m","Point 1",14,-25.44757021,152.9876481,"quarter 2","Rhizophora stylosa",0.7,1.8,7.5,NA
"30/06/2015","12:23:39 PM","tues","Seaward","0-20m","Point 1",14,-25.44757021,152.9876481,"quarter 3","Rhizophora stylosa",2.2,4.5,23,NA
"30/06/2015","12:25:11 PM","tues","Seaward","0-20m","Point 1",14,-25.44756235,152.9879202,"quarter 4","Avicennia marina",1.2,5,68,NA
"30/06/2015","12:27:22 PM","tues","Seaward","20-40m","Point 1",29,-25.44756235,152.9879202,"quarter 1","Rhizophora stylosa",1.6,1.5,8,NA
"30/06/2015","12:28:18 PM","tues","Seaward","20-40m","Point 1",29,-25.44756235,152.9879202,"quarter 2","Rhizophora stylosa",1.4,2,10,NA
