"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"27/06/2015","9:49:52 AM","Toby practice","Seaward","0-20m","Point 1",4,-25.44693957,152.98785241,"quarter 1","Avicennia marina",0.7,1.8,28,""
"27/06/2015","10:39:52 AM","Toby practice","Seaward","0-20m","Point 1",5.2,-25.44692878,152.98783342,"quarter 1","Rhizophora stylosa",5.2,3,12,""
"27/06/2015","10:41:07 AM","Toby practice","Seaward","0-20m","Point 1",5.2,-25.44692878,152.98783342,"quarter 1","Rhizophora stylosa",2.6,1,4.2,""
"27/06/2015","10:41:31 AM","Toby practice","Seaward","0-20m","Point 1",5.2,-25.44692878,152.98783342,"quarter 2","Rhizophora stylosa",5.2,3,12,""
"27/06/2015","10:44:08 AM","Toby practice","Seaward","0-20m","Point 1",5.2,-25.44692878,152.98783342,"quarter 3","Rhizophora stylosa",2.1,2.9,6,""
"27/06/2015","10:45:05 AM","Toby practice","Seaward","0-20m","Point 1",5.2,-25.44697987,152.9878788,"quarter 4","Rhizophora stylosa",2.4,2.5,4.5,""
"27/06/2015","10:49:56 AM","Toby practice","Seaward","0-20m","Point 1",12,-25.44697987,152.9878788,"quarter 1","Rhizophora stylosa",3.8,2.5,10,""
"27/06/2015","10:51:37 AM","Toby practice","Seaward","0-20m","Point 1",12,-25.44697987,152.9878788,"quarter 2","Rhizophora stylosa",2.2,1.7,2,""
"27/06/2015","10:52:03 AM","Toby practice","Seaward","0-20m","Point 1",12,-25.44697987,152.9878788,"quarter 3","Rhizophora stylosa",3.3,3.4,28,""
"27/06/2015","10:53:11 AM","Toby practice","Seaward","0-20m","Point 1",12,-25.44699101,152.98793097,"quarter 4","Rhizophora stylosa",2.6,3.2,34,""
"27/06/2015","10:56:52 AM","Toby practice","Seaward","20-40m","Point 1",22,-25.44699101,152.98793097,"quarter 1","Rhizophora stylosa",1.4,3.3,27,""
"27/06/2015","10:57:20 AM","Toby practice","Seaward","20-40m","Point 1",22,-25.44699101,152.98793097,"quarter 2","Rhizophora stylosa",2.8,3.4,31,""
"27/06/2015","10:57:55 AM","Toby practice","Seaward","20-40m","Point 1",22,-25.44699101,152.98793097,"quarter 3","Rhizophora stylosa",2.4,4,32,""
"27/06/2015","10:58:49 AM","Toby practice","Seaward","20-40m","Point 1",22,-25.44705073,152.98800427,"quarter 4","Rhizophora stylosa",3.7,3,22,""
"27/06/2015","11:02:16 AM","Toby practice","Seaward","20-40m","Point 2",36,-25.44705073,152.98800427,"quarter 1","Rhizophora stylosa",1.1,2.3,7,""
"27/06/2015","11:02:44 AM","Toby practice","Seaward","20-40m","Point 2",36,-25.44705073,152.98800427,"quarter 2","Rhizophora stylosa",1.2,3.6,31,""
"27/06/2015","11:03:06 AM","Toby practice","Seaward","20-40m","Point 2",36,-25.44705073,152.98800427,"quarter 3","Rhizophora stylosa",2.1,2.5,11,""
"27/06/2015","11:03:55 AM","Toby practice","Seaward","20-40m","Point 2",36,-25.44710965,152.98817364,"quarter 4","Rhizophora stylosa",2,2.4,16,""
"27/06/2015","11:06:23 AM","Toby practice","Seaward","40-60m","Point 1",48,-25.44710965,152.98817364,"quarter 1","Rhizophora stylosa",2.1,2.5,17,""
"27/06/2015","11:07:17 AM","Toby practice","Seaward","40-60m","Point 1",48,-25.44710965,152.98817364,"quarter 2","Rhizophora stylosa",1.2,1,4,""
"27/06/2015","11:07:46 AM","Toby practice","Seaward","40-60m","Point 1",48,-25.44714835,152.98820818,"quarter 4","Rhizophora stylosa",2.1,3.1,22,""
"27/06/2015","11:08:53 AM","Toby practice","Seaward","40-60m","Point 2",53,-25.44714835,152.98820818,"quarter 1","Rhizophora stylosa",1.3,2.4,13,""
"27/06/2015","11:09:34 AM","Toby practice","Seaward","40-60m","Point 2",53,-25.44714835,152.98820818,"quarter 2","Rhizophora stylosa",1.6,2.4,18,""
"27/06/2015","11:09:48 AM","Toby practice","Seaward","40-60m","Point 2",53,-25.44714835,152.98820818,"quarter 3","Rhizophora stylosa",1.7,2.1,11,""
"27/06/2015","11:10:26 AM","Toby practice","Seaward","40-60m","Point 2",53,-25.44719047,152.98824518,"quarter 4","Rhizophora stylosa",1.8,2.5,14,""
"27/06/2015","11:12:45 AM","Toby practice","Seaward","60-80m","Point 1",63,-25.44719047,152.98824518,"quarter 1","Avicennia marina",2.2,4.1,81,""
"27/06/2015","11:13:15 AM","Toby practice","Seaward","60-80m","Point 1",63,-25.44719047,152.98824518,"quarter 2","Rhizophora stylosa",2.4,2.7,17,""
"27/06/2015","11:14:13 AM","Toby practice","Seaward","60-80m","Point 1",63,-25.44719047,152.98824518,"quarter 3","Rhizophora stylosa",2.6,0.9,6,""
"27/06/2015","11:15:03 AM","Toby practice","Seaward","60-80m","Point 1",63,-25.44728491,152.98833023,"quarter 4","Avicennia marina",1.2,3.4,26,""
"27/06/2015","11:16:40 AM","Toby practice","Seaward","60-80m","Point 1",71,-25.44728491,152.98833023,"quarter 1","Avicennia marina",2.6,3.4,47,""
"27/06/2015","11:17:36 AM","Toby practice","Seaward","60-80m","Point 1",71,-25.44728491,152.98833023,"quarter 2","Rhizophora stylosa",1.6,1,3,""
"27/06/2015","11:18:07 AM","Toby practice","Seaward","60-80m","Point 1",71,-25.44728491,152.98833023,"quarter 3","Rhizophora stylosa",1.1,1.1,9,""
"27/06/2015","11:18:55 AM","Toby practice","Seaward","60-80m","Point 1",71,-25.44690149,152.98783792,"quarter 4","Rhizophora stylosa",1.7,1.3,9,""
