"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"27/06/2015","10:31:14 AM","derek","Seaward","0-20m","Point 1",15,-25.44689762,152.98783657,"quarter 1","Rhizophora stylosa",5.2,0.7,4.5,""
"27/06/2015","10:33:42 AM","derek","Seaward","0-20m","Point 1",15,-25.44689762,152.98783657,"quarter 2","Rhizophora stylosa",3,3,15,""
"27/06/2015","10:35:00 AM","derek","Seaward","0-20m","Point 1",15,-25.44689762,152.98783657,"quarter 3","Rhizophora stylosa",3.5,2.4,24,""
"27/06/2015","10:38:01 AM","derek","Seaward","0-20m","Point 1",15,-25.44694012,152.98792501,"quarter 4","Avicennia marina",13.5,7.5,200,""
"27/06/2015","10:45:24 AM","derek","Seaward","20-40m","Point 1",28,-25.44694012,152.98792501,"quarter 1","Rhizophora stylosa",2,2.7,11,""
"27/06/2015","10:45:58 AM","derek","Seaward","20-40m","Point 1",28,-25.44694012,152.98792501,"quarter 2","Rhizophora stylosa",2.5,3.5,34,""
"27/06/2015","10:46:54 AM","derek","Seaward","20-40m","Point 1",28,-25.44694012,152.98792501,"quarter 3","Rhizophora stylosa",3,0.8,4.5,""
"27/06/2015","10:47:13 AM","derek","Seaward","20-40m","Point 1",28,-25.44694299,152.98797585,"quarter 4","Rhizophora stylosa",1.5,2.3,12,""
"27/06/2015","10:49:35 AM","derek","Seaward","20-40m","Point 3",36,-25.44694299,152.98797585,"quarter 1","Avicennia marina",2.1,5.5,90,""
"27/06/2015","10:50:07 AM","derek","Seaward","20-40m","Point 3",36,-25.44694299,152.98797585,"quarter 2","Rhizophora stylosa",2.8,4.1,15,""
"27/06/2015","10:50:55 AM","derek","Seaward","20-40m","Point 3",36,-25.44694299,152.98797585,"quarter 3","Rhizophora stylosa",7.2,2.4,33,""
"27/06/2015","10:51:26 AM","derek","Seaward","20-40m","Point 3",36,-25.44699704,152.98808581,"quarter 4","Rhizophora stylosa",0.1,0.9,6.5,""
"27/06/2015","10:55:55 AM","derek","Seaward","40-60m","Point 1",50,-25.44699704,152.98808581,"quarter 1","Avicennia marina",3.4,4.7,110,""
"27/06/2015","10:56:36 AM","derek","Seaward","40-60m","Point 1",50,-25.44699704,152.98808581,"quarter 2","Rhizophora stylosa",1.8,1.9,9.5,""
"27/06/2015","10:57:07 AM","derek","Seaward","40-60m","Point 1",50,-25.44699704,152.98808581,"quarter 3","Rhizophora stylosa",2.2,3.4,17,""
"27/06/2015","10:57:34 AM","derek","Seaward","40-60m","Point 1",50,-25.44703502,152.98811125,"quarter 4","Rhizophora stylosa",2.2,3.6,24,""
"27/06/2015","11:02:23 AM","derek","Seaward","60-80m","Point 1",64,-25.44703502,152.98811125,"quarter 1","Rhizophora stylosa",1,2.4,15,""
"27/06/2015","11:02:48 AM","derek","Seaward","60-80m","Point 1",64,-25.44703502,152.98811125,"quarter 2","Rhizophora stylosa",0.5,2.3,11,""
"27/06/2015","11:03:22 AM","derek","Seaward","60-80m","Point 1",64,-25.44703502,152.98811125,"quarter 3","Rhizophora stylosa",1.3,1.7,7,""
"27/06/2015","11:03:58 AM","derek","Seaward","60-80m","Point 1",64,-25.44712791,152.98830357,"quarter 4","Rhizophora stylosa",1.4,3,21,""
"27/06/2015","11:05:57 AM","derek","Seaward","60-80m","Point 3",77,-25.44712791,152.98830357,"quarter 1","Rhizophora stylosa",0.7,2.3,17,""
"27/06/2015","11:06:28 AM","derek","Seaward","60-80m","Point 3",77,-25.44712791,152.98830357,"quarter 2","Rhizophora stylosa",0.4,0.4,8,""
"27/06/2015","11:07:11 AM","derek","Seaward","60-80m","Point 3",77,-25.44712791,152.98830357,"quarter 3","Rhizophora stylosa",0.5,1.1,3,""
"27/06/2015","11:07:39 AM","derek","Seaward","60-80m","Point 3",77,-25.44721145,152.98841755,"quarter 4","Lumnitzera racemosa",0.4,2.4,12,""
"27/06/2015","11:13:18 AM","derek","Seaward","80-100m","Point 3",91,-25.44721145,152.98841755,"quarter 1","Rhizophora stylosa",0.2,0.3,7,""
"27/06/2015","11:13:56 AM","derek","Seaward","80-100m","Point 3",91,-25.44721145,152.98841755,"quarter 2","Rhizophora stylosa",1.2,0.9,4.5,""
"27/06/2015","11:14:30 AM","derek","Seaward","80-100m","Point 3",91,-25.44721145,152.98841755,"quarter 3","Avicennia marina",1,1.2,14,""
"27/06/2015","11:15:17 AM","derek","Seaward","80-100m","Point 3",91,-25.44720932,152.98844157,"quarter 4","Rhizophora stylosa",0.8,0.2,6,""
"27/06/2015","11:26:30 AM","derek","Seaward","80-100m","Point 2",97,-25.44717438,152.98849711,"quarter 1","Avicennia marina",0.5,1.8,12,""
"27/06/2015","11:26:56 AM","derek","Seaward","80-100m","Point 2",97,-25.44717438,152.98849711,"quarter 2","Avicennia marina",0.8,0.5,11,""
"27/06/2015","11:27:14 AM","derek","Seaward","80-100m","Point 2",97,-25.44717438,152.98849711,"quarter 3","Avicennia marina",0.8,3.2,22,""
