"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"27/06/2015","1:23:03 PM","red baron","Landward-Creek","0-20m","Point 1",0.9,-25.4488064,152.98962124,"quarter 1","Rhizophora stylosa",0.8,0.8,8,""
"27/06/2015","1:27:04 PM","red baron","Landward-Creek","0-20m","Point 1",8,-25.4488064,152.98962124,"quarter 2","Avicennia marina",1.2,1.2,13,""
"27/06/2015","1:28:22 PM","red baron","Landward-Creek","0-20m","Point 1",8,-25.4488064,152.98962124,"quarter 1","Ceriops australis",0.9,0.9,8,""
"27/06/2015","1:28:53 PM","red baron","Landward-Creek","0-20m","Point 1",8,-25.4488064,152.98962124,"quarter 2","Avicennia marina",1.2,1.2,13,""
"27/06/2015","1:29:18 PM","red baron","Landward-Creek","0-20m","Point 1",8,-25.4488064,152.98962124,"quarter 3","Ceriops australis",0.6,0.6,8,""
"27/06/2015","1:30:03 PM","red baron","Landward-Creek","0-20m","Point 1",8,-25.44871082,152.98957845,"quarter 4","Ceriops australis",1,0.8,8,""
"27/06/2015","1:32:02 PM","red baron","Landward-Creek","0-20m","Point 2",14,-25.44871082,152.98957845,"quarter 1","Avicennia marina",1.5,0.4,5,""
"27/06/2015","1:32:53 PM","red baron","Landward-Creek","0-20m","Point 2",14,-25.44871082,152.98957845,"quarter 2","Avicennia marina",1.2,0.9,13,""
"27/06/2015","1:33:25 PM","red baron","Landward-Creek","0-20m","Point 2",14,-25.44871082,152.98957845,"quarter 3","Avicennia marina",1.3,0.4,11,""
"27/06/2015","1:34:30 PM","red baron","Landward-Creek","0-20m","Point 2",14,-25.44870981,152.98958593,"quarter 4","Avicennia marina",2.6,0.4,13,""
"27/06/2015","1:35:42 PM","red baron","Landward-Creek","0-20m","Point 3",11,-25.44870981,152.98958593,"quarter 1","Ceriops australis",0.6,0.6,6,""
"27/06/2015","1:36:33 PM","red baron","Landward-Creek","0-20m","Point 3",11,-25.44870981,152.98958593,"quarter 2","Avicennia marina",0.5,0.5,11,""
"27/06/2015","1:36:54 PM","red baron","Landward-Creek","0-20m","Point 3",11,-25.44870981,152.98958593,"quarter 3","Ceriops australis",1,1.1,5,""
"27/06/2015","1:41:15 PM","red baron","Landward-Creek","0-20m","Point 3",11,-25.44862891,152.98950245,"quarter 4","Avicennia marina",0.9,0.5,8,""
"27/06/2015","1:43:03 PM","red baron","Landward-Creek","20-40m","Point 1",28,-25.44862891,152.98950245,"quarter 1","Ceriops australis",1.3,0.8,12,""
"27/06/2015","1:43:38 PM","red baron","Landward-Creek","20-40m","Point 1",28,-25.44862891,152.98950245,"quarter 2","Avicennia marina",1.3,0.4,6,""
"27/06/2015","1:44:19 PM","red baron","Landward-Creek","20-40m","Point 1",28,-25.44862891,152.98950245,"quarter 3","Ceriops australis",1.2,0.8,8,""
"27/06/2015","1:44:56 PM","red baron","Landward-Creek","20-40m","Point 1",28,-25.4485768,152.98944404,"quarter 4","Ceriops australis",1.7,0.9,10,""
"27/06/2015","1:46:04 PM","red baron","Landward-Creek","20-40m","Point 2",38,-25.4485768,152.98944404,"quarter 1","Ceriops australis",1,0.5,4,""
"27/06/2015","1:46:33 PM","red baron","Landward-Creek","20-40m","Point 2",38,-25.4485768,152.98944404,"quarter 2","Ceriops australis",0.9,0.4,4,""
"27/06/2015","1:47:11 PM","red baron","Landward-Creek","20-40m","Point 2",38,-25.4485768,152.98944404,"quarter 3","Osbornia octodonta",0.5,0.4,4,""
"27/06/2015","1:48:18 PM","red baron","Landward-Creek","20-40m","Point 2",38,-25.44859991,152.98941824,"quarter 4","Ceriops australis",0.9,0.4,7,""
"27/06/2015","1:49:11 PM","red baron","Landward-Creek","20-40m","Point 3",34,-25.44859991,152.98941824,"quarter 1","Osbornia octodonta",0.5,0.5,5,""
"27/06/2015","1:49:26 PM","red baron","Landward-Creek","20-40m","Point 3",34,-25.44859991,152.98941824,"quarter 2","Osbornia octodonta",0.5,0.4,3,""
"27/06/2015","1:49:40 PM","red baron","Landward-Creek","20-40m","Point 3",34,-25.44859991,152.98941824,"quarter 3","Ceriops australis",0.2,0.3,3,""
"27/06/2015","1:50:03 PM","red baron","Landward-Creek","20-40m","Point 3",34,-25.44851697,152.98936447,"quarter 4","Ceriops australis",0.8,1.1,9,""
"27/06/2015","1:50:52 PM","red baron","Landward-Creek","40-60m","Point 1",46,-25.44851697,152.98936447,"quarter 1","Ceriops australis",0.8,0.9,9,""
"27/06/2015","1:51:11 PM","red baron","Landward-Creek","40-60m","Point 1",46,-25.44851697,152.98936447,"quarter 2","Ceriops australis",1.2,1.1,8,""
"27/06/2015","1:51:32 PM","red baron","Landward-Creek","40-60m","Point 1",46,-25.44851697,152.98936447,"quarter 3","Ceriops australis",2.7,1,15,""
"27/06/2015","1:51:58 PM","red baron","Landward-Creek","40-60m","Point 1",46,-25.44844134,152.98927709,"quarter 4","Ceriops australis",0.5,0.6,13,""
"27/06/2015","1:53:02 PM","red baron","Landward-Creek","40-60m","Point 2",58,-25.44844134,152.98927709,"quarter 1","Ceriops australis",2.1,0.7,16,""
"27/06/2015","1:53:20 PM","red baron","Landward-Creek","40-60m","Point 2",58,-25.44844134,152.98927709,"quarter 2","Ceriops australis",1.9,0.4,6,""
"27/06/2015","1:54:43 PM","red baron","Landward-Creek","40-60m","Point 2",58,-25.44844134,152.98927709,"quarter 3","Osbornia octodonta",2.4,1.2,37,""
"27/06/2015","1:55:03 PM","red baron","Landward-Creek","40-60m","Point 2",58,-25.44849354,152.989365,"quarter 4","Ceriops australis",3,1.3,23,""
"27/06/2015","1:56:18 PM","red baron","Landward-Creek","40-60m","Point 3",46,-25.44849354,152.989365,"quarter 1","Ceriops australis",0.9,0.8,8,""
"27/06/2015","1:56:57 PM","red baron","Landward-Creek","40-60m","Point 3",46,-25.44849354,152.989365,"quarter 2","Osbornia octodonta",1.1,0.3,4,""
"27/06/2015","1:57:12 PM","red baron","Landward-Creek","40-60m","Point 3",46,-25.44849354,152.989365,"quarter 3","Osbornia octodonta",0.6,0.3,4,""
"27/06/2015","1:57:36 PM","red baron","Landward-Creek","40-60m","Point 3",46,-25.44840326,152.98924739,"quarter 4","Ceriops australis",0.8,0.3,6,""
"27/06/2015","1:58:49 PM","red baron","Landward-Creek","60-80m","Point 1",65,-25.44840326,152.98924739,"quarter 1","Ceriops australis",1,1,12,""
"27/06/2015","1:59:05 PM","red baron","Landward-Creek","60-80m","Point 1",65,-25.44840326,152.98924739,"quarter 2","Ceriops australis",0.6,0.5,4,""
"27/06/2015","1:59:41 PM","red baron","Landward-Creek","60-80m","Point 1",65,-25.44840326,152.98924739,"quarter 3","Ceriops australis",1.9,1.3,25,""
"27/06/2015","2:00:00 PM","red baron","Landward-Creek","60-80m","Point 1",65,-25.44834415,152.989168,"quarter 4","Ceriops australis",1.2,0.6,4,""
"27/06/2015","2:00:44 PM","red baron","Landward-Creek","60-80m","Point 2",73,-25.44834415,152.989168,"quarter 1","Ceriops australis",1.1,1,18,""
"27/06/2015","2:01:04 PM","red baron","Landward-Creek","60-80m","Point 2",73,-25.44834415,152.989168,"quarter 2","Avicennia marina",1.1,0.6,5,""
"27/06/2015","2:01:27 PM","red baron","Landward-Creek","60-80m","Point 2",73,-25.44834415,152.989168,"quarter 3","Avicennia marina",1,1,9,""
