"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"28/06/2015","10:04:57 AM","gary","Landward-Creek","0-20m","Point 1",4.3,-25.44871864,152.98966681,"quarter 1","Ceriops australis",1.3,1,8,""
"28/06/2015","10:06:10 AM","gary","Landward-Creek","0-20m","Point 1",4.3,-25.44871864,152.98966681,"quarter 2","Aegialitis annulata",0.9,0.6,8,""
"28/06/2015","10:07:41 AM","gary","Landward-Creek","0-20m","Point 1",4.3,-25.44871864,152.98966681,"quarter 3","Ceriops australis",1,1.2,11,""
"28/06/2015","10:08:28 AM","gary","Landward-Creek","0-20m","Point 1",4.3,-25.44870224,152.98962627,"quarter 4","Ceriops australis",0.7,1,9,""
"28/06/2015","10:14:45 AM","gary","Landward-Creek","0-20m","Point 2",9.8,-25.44870224,152.98962627,"quarter 1","Avicennia marina",0.4,0.5,5,""
"28/06/2015","10:15:52 AM","gary","Landward-Creek","0-20m","Point 2",9.8,-25.44868776,152.98964863,"quarter 2","Avicennia marina",0.7,0.8,17,""
"28/06/2015","10:17:20 AM","gary","Landward-Creek","0-20m","Point 2",9.8,-25.44868776,152.98964863,"quarter 3","Aegialitis annulata",0.7,0.5,10,""
"28/06/2015","10:18:02 AM","gary","Landward-Creek","0-20m","Point 2",9.8,-25.44860191,152.98954416,"quarter 4","Avicennia marina",0.6,0.8,15,""
"28/06/2015","10:19:36 AM","gary","Landward-Creek","20-40m","Point 1",24.1,-25.44860191,152.98954416,"quarter 1","Ceriops australis",0.8,0.4,6,""
"28/06/2015","10:20:00 AM","gary","Landward-Creek","20-40m","Point 1",24.1,-25.44860191,152.98954416,"quarter 2","Ceriops australis",0.4,0.6,8,""
"28/06/2015","10:22:01 AM","gary","Landward-Creek","20-40m","Point 1",24.1,-25.44860191,152.98954416,"quarter 3","Avicennia marina",0.7,0.7,14,""
"28/06/2015","10:22:28 AM","gary","Landward-Creek","20-40m","Point 1",24.1,-25.4484506,152.98939168,"quarter 4","Ceriops australis",1.1,1,10,""
"28/06/2015","10:24:17 AM","gary","Landward-Creek","40-60m","Point 1",46.9,-25.4484506,152.98939168,"quarter 1","Ceriops australis",1,0.8,8,""
"28/06/2015","10:25:32 AM","gary","Landward-Creek","40-60m","Point 1",46.9,-25.4484506,152.98939168,"quarter 2","Osbornia octodonta",0.6,0.2,4,""
"28/06/2015","10:25:58 AM","gary","Landward-Creek","40-60m","Point 1",46.9,-25.4484506,152.98939168,"quarter 3","Ceriops australis",0.5,0.4,3,""
"28/06/2015","10:26:27 AM","gary","Landward-Creek","40-60m","Point 1",46.9,-25.44843255,152.98939222,"quarter 4","Ceriops australis",1.1,0.9,12,""
"28/06/2015","10:27:34 AM","gary","Landward-Creek","40-60m","Point 2",53.1,-25.44840685,152.98935004,"quarter 1","Ceriops australis",0.9,0.9,12,""
"28/06/2015","10:28:13 AM","gary","Landward-Creek","40-60m","Point 2",53.1,-25.44840685,152.98935004,"quarter 2","Osbornia octodonta",1.6,0.3,3,""
"28/06/2015","10:28:41 AM","gary","Landward-Creek","40-60m","Point 2",53.1,-25.44840685,152.98935004,"quarter 3","Ceriops australis",0.7,0.8,10,""
"28/06/2015","10:29:18 AM","gary","Landward-Creek","40-60m","Point 2",53.1,-25.44832963,152.98922295,"quarter 4","Ceriops australis",1.3,1.1,24,""
"28/06/2015","10:30:46 AM","gary","Landward-Creek","60-80m","Point 1",68.6,-25.44832963,152.98922295,"quarter 1","Osbornia octodonta",0.7,0.5,4,""
"28/06/2015","10:31:33 AM","gary","Landward-Creek","60-80m","Point 1",68.6,-25.44832963,152.98922295,"quarter 2","Osbornia octodonta",1.1,0.4,5,""
"28/06/2015","10:32:08 AM","gary","Landward-Creek","60-80m","Point 1",68.6,-25.44832963,152.98922295,"quarter 3","Avicennia marina",0.7,0.2,9,""
"28/06/2015","10:32:34 AM","gary","Landward-Creek","60-80m","Point 1",68.6,-25.44823925,152.98912474,"quarter 4","Osbornia octodonta",0.7,0.4,6,""
"28/06/2015","10:34:03 AM","gary","Landward-Creek","80-100m","Point 1",82.9,-25.44823925,152.98912474,"quarter 1","Avicennia marina",1.4,0.3,7,""
"28/06/2015","10:34:53 AM","gary","Landward-Creek","80-100m","Point 1",82.9,-25.44823925,152.98912474,"quarter 2","Avicennia marina",1.5,0.4,4,""
"28/06/2015","10:35:19 AM","gary","Landward-Creek","80-100m","Point 1",82.9,-25.44823925,152.98912474,"quarter 3","Avicennia marina",1.2,0.5,7,""
"28/06/2015","10:35:50 AM","gary","Landward-Creek","80-100m","Point 1",82.9,-25.44817337,152.98905533,"quarter 4","Avicennia marina",0.8,0.5,12,""
"28/06/2015","10:37:23 AM","gary","Landward-Creek","80-100m","Point 2",92.6,-25.44817337,152.98905533,"quarter 1","Osbornia octodonta",0.8,0.3,5,""
"28/06/2015","10:37:54 AM","gary","Landward-Creek","80-100m","Point 2",92.6,-25.44817337,152.98905533,"quarter 2","Aegialitis annulata",1.4,0.4,7,""
"28/06/2015","10:38:37 AM","gary","Landward-Creek","80-100m","Point 2",92.6,-25.44817337,152.98905533,"quarter 3","Avicennia marina",0.8,0.6,6,""
"28/06/2015","10:39:04 AM","gary","Landward-Creek","80-100m","Point 2",92.6,-25.44817337,152.98905533,"quarter 4","Ceriops australis",1.5,0.6,9,""
"28/06/2015","10:07:07 AM","gary","Landward-Creek","0-20m","Point 1",6,-25.44872526,152.98965909,"quarter 1","Avicennia marina",0.7,0.8,16,""
"28/06/2015","10:07:43 AM","gary","Landward-Creek","0-20m","Point 1",6,-25.44872526,152.98965909,"quarter 2","Ceriops australis",0.5,0.9,7,""
"28/06/2015","10:08:24 AM","gary","Landward-Creek","0-20m","Point 1",6,-25.44872526,152.98965909,"quarter 3","Ceriops australis",0.8,0.6,10,""
"28/06/2015","10:10:47 AM","gary","Landward-Creek","0-20m","Point 1",6,-25.44853886,152.9894646,"quarter 4","Ceriops australis",0.4,0.9,8,""
"28/06/2015","10:15:45 AM","gary","Landward-Creek","20-40m","Point 1",34.7,-25.44853886,152.9894646,"quarter 1","Ceriops australis",1,0.4,8,""
"28/06/2015","10:17:30 AM","gary","Landward-Creek","20-40m","Point 1",34.7,-25.44853886,152.9894646,"quarter 2","Ceriops australis",1.5,0.5,16,""
"28/06/2015","10:18:39 AM","gary","Landward-Creek","20-40m","Point 1",34.7,-25.44853886,152.9894646,"quarter 3","Osbornia octodonta",1.4,0.3,4,""
"28/06/2015","10:19:36 AM","gary","Landward-Creek","20-40m","Point 1",34.7,-25.44850849,152.98939991,"quarter 4","Osbornia octodonta",0.7,0.2,4,""
"28/06/2015","10:21:10 AM","gary","Landward-Creek","20-40m","Point 2",37.6,-25.44850849,152.98939991,"quarter 1","Ceriops australis",1,0.6,15,""
"28/06/2015","10:22:43 AM","gary","Landward-Creek","20-40m","Point 2",37.6,-25.44850849,152.98939991,"quarter 2","Osbornia octodonta",0.1,0.2,4,""
"28/06/2015","10:23:09 AM","gary","Landward-Creek","20-40m","Point 2",37.6,-25.44850849,152.98939991,"quarter 2","Osbornia octodonta",0.5,0.2,2,""
"28/06/2015","10:23:52 AM","gary","Landward-Creek","20-40m","Point 2",37.6,-25.44845045,152.98933169,"quarter 4","Ceriops australis",1.3,0.2,3,""
"28/06/2015","10:25:08 AM","gary","Landward-Creek","40-60m","Point 1",49,-25.44845045,152.98933169,"quarter 1","Avicennia marina",0.5,0.6,11,""
"28/06/2015","10:25:27 AM","gary","Landward-Creek","40-60m","Point 1",49,-25.44845045,152.98933169,"quarter 2","Ceriops australis",0.5,0.8,9,""
"28/06/2015","10:26:12 AM","gary","Landward-Creek","40-60m","Point 1",49,-25.44845045,152.98933169,"quarter 3","Ceriops australis",0.9,0.2,5,""
"28/06/2015","10:26:49 AM","gary","Landward-Creek","40-60m","Point 1",49,-25.44831249,152.98918723,"quarter 4","Osbornia octodonta",1.1,0.4,4,""
"28/06/2015","10:29:34 AM","gary","Landward-Creek","60-80m","Point 1",69.5,-25.44831249,152.98918723,"quarter 1","Avicennia marina",1.1,0.5,8,""
"28/06/2015","10:30:11 AM","gary","Landward-Creek","60-80m","Point 1",69.5,-25.44831249,152.98918723,"quarter 2","Ceriops australis",0.3,0.2,6,""
"28/06/2015","10:30:27 AM","gary","Landward-Creek","60-80m","Point 1",69.5,-25.44831249,152.98918723,"quarter 3","Osbornia octodonta",1,0.2,2,""
"28/06/2015","10:30:54 AM","gary","Landward-Creek","60-80m","Point 1",69.5,-25.44828948,152.98916405,"quarter 4","Avicennia marina",0.9,0.5,8,""
"28/06/2015","10:32:15 AM","gary","Landward-Creek","60-80m","Point 2",75,-25.44828948,152.98916405,"quarter 1","Ceriops australis",0.9,0.9,16,""
"28/06/2015","10:32:27 AM","gary","Landward-Creek","60-80m","Point 2",75,-25.44828948,152.98916405,"quarter 2","Ceriops australis",1.4,0.4,6,""
"28/06/2015","10:33:29 AM","gary","Landward-Creek","60-80m","Point 2",75,-25.44828948,152.98916405,"quarter 3","Osbornia octodonta",1.3,0.3,2,""
"28/06/2015","10:34:03 AM","gary","Landward-Creek","60-80m","Point 2",75,-25.44822693,152.98904527,"quarter 4","Ceriops australis",2.2,0.4,3,""
"28/06/2015","10:36:37 AM","gary","Landward-Creek","80-100m","Point 1",87,-25.44822693,152.98904527,"quarter 1","Avicennia marina",0.9,0.5,0.2,""
"28/06/2015","10:37:47 AM","gary","Landward-Creek","80-100m","Point 1",87,-25.44822693,152.98904527,"quarter 2","Avicennia marina",1.7,0.5,8,""
