"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"28/06/2015","12:36:54 PM","three","Seaward","0-20m","Point 1",4,-25.44671237,152.98802359,"quarter 1","Rhizophora stylosa",2.3,2.5,17,""
"28/06/2015","12:39:31 PM","three","Seaward","0-20m","Point 1",4,-25.44671237,152.98802359,"quarter 2","Rhizophora stylosa",2.1,3.2,28,""
"28/06/2015","12:41:20 PM","three","Seaward","0-20m","Point 1",4,-25.44671237,152.98802359,"quarter 3","Rhizophora stylosa",3.1,2.3,16,""
"28/06/2015","12:42:46 PM","three","Seaward","0-20m","Point 1",4,-25.44679317,152.98815398,"quarter 4","Rhizophora stylosa",3.4,3.2,14,""
"28/06/2015","12:46:49 PM","three","Seaward","0-20m","Point 2",19,-25.44679317,152.98815398,"quarter 1","Rhizophora stylosa",1.8,2.7,18,""
"28/06/2015","12:47:50 PM","three","Seaward","0-20m","Point 2",19,-25.44679317,152.98815398,"quarter 2","Rhizophora stylosa",1.2,3,13,""
"28/06/2015","12:48:54 PM","three","Seaward","0-20m","Point 2",19,-25.44679317,152.98815398,"quarter 3","Rhizophora stylosa",2.1,3.9,16,""
"28/06/2015","12:50:27 PM","three","Seaward","0-20m","Point 2",19,-25.4468082,152.98815328,"quarter 4","Rhizophora stylosa",2.8,2.1,10,""
"28/06/2015","12:57:44 PM","three","Seaward","20-40m","Point 1",28,-25.44681718,152.98816126,"quarter 1","Rhizophora stylosa",1.5,2.8,10,""
"28/06/2015","12:59:07 PM","three","Seaward","20-40m","Point 1",28,-25.44681718,152.98816126,"quarter 2","Rhizophora stylosa",0.7,5,21,""
"28/06/2015","12:59:47 PM","three","Seaward","20-40m","Point 1",28,-25.44681718,152.98816126,"quarter 3","Rhizophora stylosa",0.8,4,11,""
"28/06/2015","1:00:51 PM","three","Seaward","20-40m","Point 1",28,-25.4468574,152.98820203,"quarter 4","Rhizophora stylosa",1.9,5,25,""
"28/06/2015","1:03:43 PM","three","Seaward","20-40m","Point 2",36,-25.4468574,152.98820203,"quarter 1","Rhizophora stylosa",1.3,2.4,10,""
"28/06/2015","1:04:51 PM","three","Seaward","20-40m","Point 2",36,-25.4468574,152.98820203,"quarter 2","Rhizophora stylosa",0.4,4,21,""
"28/06/2015","1:06:24 PM","three","Seaward","20-40m","Point 2",36,-25.4468574,152.98820203,"quarter 3","Rhizophora stylosa",1.9,4.2,26,""
"28/06/2015","1:07:08 PM","three","Seaward","20-40m","Point 2",36,-25.44692433,152.9882629,"quarter 4","Rhizophora stylosa",1.2,1.1,5,""
"28/06/2015","1:11:54 PM","three","Seaward","40-60m","Point 1",44,-25.44692433,152.9882629,"quarter 1","Rhizophora stylosa",1.9,1.9,9,""
"28/06/2015","1:15:12 PM","three","Seaward","40-60m","Point 1",44,-25.44692433,152.9882629,"quarter 2","Rhizophora stylosa",1.8,2.6,21,""
"28/06/2015","1:16:50 PM","three","Seaward","40-60m","Point 1",44,-25.44692433,152.9882629,"quarter 3","Rhizophora stylosa",1.3,3.2,15,""
"28/06/2015","1:17:53 PM","three","Seaward","40-60m","Point 1",44,-25.44699371,152.98831876,"quarter 4","Rhizophora stylosa",0.8,1.5,7,""
"28/06/2015","1:22:10 PM","three","Seaward","40-60m","Point 2",55,-25.44699371,152.98831876,"quarter 1","Avicennia marina",0.3,1.1,5,""
"28/06/2015","1:24:00 PM","three","Seaward","40-60m","Point 2",55,-25.44699371,152.98831876,"quarter 2","Rhizophora stylosa",1.3,2.4,13,""
"28/06/2015","1:24:53 PM","three","Seaward","40-60m","Point 2",55,-25.44699371,152.98831876,"quarter 3","Rhizophora stylosa",1.1,2.1,12,""
"28/06/2015","1:30:59 PM","three","Seaward","40-60m","Point 2",55,-25.44710909,152.98852538,"quarter 4","Rhizophora stylosa",1.2,1.7,12,""
"28/06/2015","1:34:29 PM","three","Seaward","60-80m","Point 1",71,-25.44710909,152.98852538,"quarter 1","Avicennia marina",0.4,0.4,4,""
"28/06/2015","1:35:05 PM","three","Seaward","60-80m","Point 1",71,-25.44710909,152.98852538,"quarter 2","Aegialitis annulata",0.6,0.4,14,""
"28/06/2015","1:35:41 PM","three","Seaward","60-80m","Point 1",71,-25.44710909,152.98852538,"quarter 3","Rhizophora stylosa",0.3,0.5,7,""
"28/06/2015","1:36:12 PM","three","Seaward","60-80m","Point 1",71,-25.44714946,152.98858496,"quarter 4","Aegialitis annulata",0.6,0.4,8,""
"28/06/2015","1:38:08 PM","three","Seaward","60-80m","Point 2",78,-25.44714946,152.98858496,"quarter 1","Aegialitis annulata",0.6,0.4,11,""
"28/06/2015","1:38:55 PM","three","Seaward","60-80m","Point 2",78,-25.44714946,152.98858496,"quarter 2","Avicennia marina",0.6,0.9,9,""
"28/06/2015","1:39:32 PM","three","Seaward","60-80m","Point 2",78,-25.44714946,152.98858496,"quarter 3","Avicennia marina",1.1,1.4,10,""
"28/06/2015","1:40:36 PM","three","Seaward","60-80m","Point 2",78,-25.44714946,152.98858496,"quarter 4","Avicennia marina",1.6,3.1,24,""
