"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"28/06/2015","12:45:31 PM","yellow blue 1","Seaward","0-20m","Point 1",7.8,-25.44726432,152.98781625,"quarter 1","Avicennia marina",2.5,8,3.5,""
"28/06/2015","12:49:13 PM","yellow blue 1","Seaward","0-20m","Point 1",7.8,-25.44726432,152.98781625,"quarter 2","Avicennia marina",3.2,8.5,102,""
"28/06/2015","12:50:07 PM","yellow blue 1","Seaward","0-20m","Point 1",7.8,-25.44726432,152.98781625,"quarter 3","Avicennia marina",0.3,1.5,3.5,""
"28/06/2015","12:50:37 PM","yellow blue 1","Seaward","0-20m","Point 1",7.8,-25.44731983,152.98793659,"quarter 4","Avicennia marina",2.5,144,5,""
"28/06/2015","12:56:17 PM","yellow blue 1","Seaward","20-40m","Point 1",25,-25.44731983,152.98793659,"quarter 1","Rhizophora stylosa",1.8,4,23.5,""
"28/06/2015","12:57:09 PM","yellow blue 1","Seaward","20-40m","Point 1",25,-25.44731983,152.98793659,"quarter 2","Rhizophora stylosa",1.7,3.5,17,""
"28/06/2015","12:59:43 PM","yellow blue 1","Seaward","20-40m","Point 1",25,-25.44731983,152.98793659,"quarter 3","Rhizophora stylosa",0.9,3.5,NA,""
"28/06/2015","1:00:24 PM","yellow blue 1","Seaward","20-40m","Point 1",25,-25.44736245,152.98811149,"quarter 4","Rhizophora stylosa",3.5,2.2,14,""
"28/06/2015","1:10:18 PM","yellow blue 1","Seaward","20-40m","Point 2",33,-25.44732561,152.98803754,"quarter 2","Rhizophora stylosa",74,1.3,11.5,""
"28/06/2015","1:11:10 PM","yellow blue 1","Seaward","20-40m","Point 2",33,-25.44732561,152.98803754,"quarter 3","Rhizophora stylosa",2,4.8,27,""
"28/06/2015","1:12:15 PM","yellow blue 1","Seaward","20-40m","Point 2",33,-25.44731468,152.98806423,"quarter 4","Avicennia marina",2.5,4,21,""
"28/06/2015","1:14:57 PM","yellow blue 1","Seaward","40-60m","Point 1",47.5,-25.44731468,152.98806423,"quarter 1","Rhizophora stylosa",0.7,1.5,11.5,""
"28/06/2015","1:15:28 PM","yellow blue 1","Seaward","40-60m","Point 1",47.5,-25.44731468,152.98806423,"quarter 2","Rhizophora stylosa",0.8,1.4,8.5,""
"28/06/2015","1:16:16 PM","yellow blue 1","Seaward","40-60m","Point 1",47.5,-25.44731468,152.98806423,"quarter 3","Rhizophora stylosa",0.5,1.3,9,""
"28/06/2015","1:16:42 PM","yellow blue 1","Seaward","40-60m","Point 1",47.5,-25.4473471,152.98817736,"quarter 4","Avicennia marina",1.1,3.5,14,""
"28/06/2015","1:18:56 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 1","Rhizophora stylosa",1.7,1.6,9,""
"28/06/2015","1:20:33 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 2","Avicennia marina",5,4.8,28,""
"28/06/2015","1:21:41 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 3","Avicennia marina",5,1.8,12,""
"28/06/2015","1:23:13 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 4","Avicennia marina",5,0.8,2,""
"28/06/2015","1:25:31 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 1","Avicennia marina",0.5,0.5,3,""
"28/06/2015","1:26:21 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 2","Avicennia marina",1.4,1.1,1,""
"28/06/2015","1:26:50 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 3","Avicennia marina",2.5,0.4,1,""
"28/06/2015","1:27:26 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4591463,153.01598675,"quarter 4","Avicennia marina",2.7,2,13,""
