"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"28/06/2015","12:45:31 PM","yellow blue 1","Seaward","0-20m","Point 1",7.8,-25.44726432,152.98781625,"quarter 1","Avicennia marina",2.5,8,3.5,""
"28/06/2015","12:49:13 PM","yellow blue 1","Seaward","0-20m","Point 1",7.8,-25.44726432,152.98781625,"quarter 2","Avicennia marina",3.2,8.5,102,""
"28/06/2015","12:50:07 PM","yellow blue 1","Seaward","0-20m","Point 1",7.8,-25.44726432,152.98781625,"quarter 3","Avicennia marina",0.3,1.5,3.5,""
"28/06/2015","12:50:37 PM","yellow blue 1","Seaward","0-20m","Point 1",7.8,-25.44731983,152.98793659,"quarter 4","Avicennia marina",2.5,1.44,5,""
"28/06/2015","12:56:17 PM","yellow blue 1","Seaward","20-40m","Point 1",25,-25.44731983,152.98793659,"quarter 1","Rhizophora stylosa",1.8,4,23.5,""
"28/06/2015","12:57:09 PM","yellow blue 1","Seaward","20-40m","Point 1",25,-25.44731983,152.98793659,"quarter 2","Rhizophora stylosa",1.7,3.5,17,""
"28/06/2015","12:59:43 PM","yellow blue 1","Seaward","20-40m","Point 1",25,-25.44731983,152.98793659,"quarter 3","Rhizophora stylosa",0.9,3.5,NA,""
"28/06/2015","1:00:24 PM","yellow blue 1","Seaward","20-40m","Point 1",25,-25.44736245,152.98811149,"quarter 4","Rhizophora stylosa",3.5,2.2,14,""
"28/06/2015","1:10:18 PM","yellow blue 1","Seaward","20-40m","Point 2",33,-25.44732561,152.98803754,"quarter 2","Rhizophora stylosa",7.4,1.3,11.5,""
"28/06/2015","1:11:10 PM","yellow blue 1","Seaward","20-40m","Point 2",33,-25.44732561,152.98803754,"quarter 3","Rhizophora stylosa",2,4.8,27,""
"28/06/2015","1:12:15 PM","yellow blue 1","Seaward","20-40m","Point 2",33,-25.44731468,152.98806423,"quarter 4","Avicennia marina",2.5,4,21,""
"28/06/2015","1:14:57 PM","yellow blue 1","Seaward","40-60m","Point 1",47.5,-25.44731468,152.98806423,"quarter 1","Rhizophora stylosa",0.7,1.5,11.5,""
"28/06/2015","1:15:28 PM","yellow blue 1","Seaward","40-60m","Point 1",47.5,-25.44731468,152.98806423,"quarter 2","Rhizophora stylosa",0.8,1.4,8.5,""
"28/06/2015","1:16:16 PM","yellow blue 1","Seaward","40-60m","Point 1",47.5,-25.44731468,152.98806423,"quarter 3","Rhizophora stylosa",0.5,1.3,9,""
"28/06/2015","1:16:42 PM","yellow blue 1","Seaward","40-60m","Point 1",47.5,-25.4473471,152.98817736,"quarter 4","Avicennia marina",1.1,3.5,14,""
"28/06/2015","1:18:56 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 1","Rhizophora stylosa",1.7,1.6,9,""
"28/06/2015","1:20:33 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 2","Avicennia marina",5,4.8,28,""
"28/06/2015","1:21:41 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 3","Avicennia marina",5,1.8,12,""
"28/06/2015","1:23:13 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 4","Avicennia marina",5,0.8,2,""
"28/06/2015","1:25:31 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 1","Avicennia marina",0.5,0.5,3,""
"28/06/2015","1:26:21 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 2","Avicennia marina",1.4,1.1,1,""
"28/06/2015","1:26:50 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4473471,152.98817736,"quarter 3","Avicennia marina",2.5,0.4,1,""
"28/06/2015","1:27:26 PM","yellow blue 1","Seaward","60-80m","Point 1",63,-25.4591463,153.01598675,"quarter 4","Avicennia marina",2.7,2,13,""
"28/06/2015","12:29:05 PM","blue yellow 1","Seaward","0-20m","Point 1",4,-25.44728726,152.98776317,"quarter 1","Rhizophora stylosa",1.2,3.5,44,""
"28/06/2015","12:30:31 PM","blue yellow 1","Seaward","0-20m","Point 1",4,-25.44728726,152.98776317,"quarter 2","Rhizophora stylosa",1.43,3.2,17,""
"28/06/2015","12:32:09 PM","blue yellow 1","Seaward","0-20m","Point 1",4,-25.44728726,152.98776317,"quarter 3","Rhizophora stylosa",1.8,3,18,""
"28/06/2015","12:33:46 PM","blue yellow 1","Seaward","0-20m","Point 1",4,-25.44729178,152.98782624,"quarter 4","Rhizophora stylosa",3.2,3.3,24,""
"28/06/2015","12:39:43 PM","blue yellow 1","Seaward","0-20m","Point 2",13,-25.44729178,152.98782624,"quarter 1","Avicennia marina",1.2,5.5,163,""
"28/06/2015","12:40:49 PM","blue yellow 1","Seaward","0-20m","Point 2",13,-25.44729178,152.98782624,"quarter 2","Rhizophora stylosa",1.5,3.6,27,""
"28/06/2015","12:42:02 PM","blue yellow 1","Seaward","0-20m","Point 2",13,-25.44729178,152.98782624,"quarter 3","Rhizophora stylosa",2.3,1.9,10,""
"28/06/2015","12:43:24 PM","blue yellow 1","Seaward","0-20m","Point 2",13,-25.44729852,152.98791358,"quarter 4","Rhizophora stylosa",5.1,2.3,6.9,""
"28/06/2015","12:47:43 PM","blue yellow 1","Seaward","20-40m","Point 1",26,-25.44729852,152.98791358,"quarter 1","Rhizophora stylosa",0.5,2.4,8.5,""
"28/06/2015","12:48:26 PM","blue yellow 1","Seaward","20-40m","Point 1",26,-25.44729852,152.98791358,"quarter 2","Rhizophora stylosa",1.2,3.2,16,""
"28/06/2015","12:49:24 PM","blue yellow 1","Seaward","20-40m","Point 1",26,-25.44729852,152.98791358,"quarter 3","Rhizophora stylosa",1.1,2.7,13,""
"28/06/2015","12:50:32 PM","blue yellow 1","Seaward","20-40m","Point 1",26,-25.44737157,152.98812658,"quarter 4","Rhizophora stylosa",1.2,3.4,32,""
"28/06/2015","12:54:12 PM","blue yellow 1","Seaward","40-60m","Point 1",44,-25.44737157,152.98812658,"quarter 1","Rhizophora stylosa",1.3,1.7,21,""
"28/06/2015","12:55:06 PM","blue yellow 1","Seaward","40-60m","Point 1",44,-25.44737157,152.98812658,"quarter 2","Rhizophora stylosa",2.1,3.3,21,""
"28/06/2015","12:56:18 PM","blue yellow 1","Seaward","40-60m","Point 1",44,-25.44737157,152.98812658,"quarter 3","Rhizophora stylosa",1.2,2.2,15,""
"28/06/2015","12:58:03 PM","blue yellow 1","Seaward","40-60m","Point 1",44,-25.44743001,152.98819354,"quarter 4","Avicennia marina",1.3,2.3,23,""
"28/06/2015","1:01:31 PM","blue yellow 1","Seaward","40-60m","Point 2",52,-25.44742394,152.98819707,"quarter 1","Rhizophora stylosa",1.3,2.6,11,""
"28/06/2015","1:02:07 PM","blue yellow 1","Seaward","40-60m","Point 2",52,-25.44742394,152.98819707,"quarter 2","Rhizophora stylosa",1.2,1.2,6,""
"28/06/2015","1:03:18 PM","blue yellow 1","Seaward","40-60m","Point 2",52,-25.44742394,152.98819707,"quarter 3","Rhizophora stylosa",1.8,1.8,11,""
"28/06/2015","1:04:22 PM","blue yellow 1","Seaward","40-60m","Point 2",52,-25.44744132,152.98831308,"quarter 4","Avicennia marina",2.8,2.4,38,""
"28/06/2015","1:07:58 PM","blue yellow 1","Seaward","60-80m","Point 1",66,-25.44744132,152.98831308,"quarter 1","Ceriops australis",3,2.1,7,""
"28/06/2015","1:09:06 PM","blue yellow 1","Seaward","60-80m","Point 1",66,-25.44744132,152.98831308,"quarter 2","Avicennia marina",2.5,2.8,23,""
"28/06/2015","1:10:21 PM","blue yellow 1","Seaward","60-80m","Point 1",66,-25.44744132,152.98831308,"quarter 3","Avicennia marina",2.8,1.3,8,""
"28/06/2015","1:10:53 PM","blue yellow 1","Seaward","60-80m","Point 1",66,-25.44867321,152.98966079,"quarter 4","Avicennia marina",2.5,1.2,9,""
