"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"4/07/2015","11:02:28 AM","cream","Landward-Creek","80-100m","Point 1",95,-25.44774818,152.98931404,"quarter 1","Lumnitzera racemosa",1.5,0.5,14,""
"4/07/2015","11:03:37 AM","cream","Landward-Creek","80-100m","Point 1",95,-25.44774818,152.98931404,"quarter 2","Ceriops australis",0.8,0.2,7,""
"4/07/2015","11:04:15 AM","cream","Landward-Creek","80-100m","Point 1",95,-25.44774818,152.98931404,"quarter 3","Ceriops australis",0.7,0.4,9,""
"4/07/2015","11:04:47 AM","cream","Landward-Creek","80-100m","Point 1",95,-25.44784459,152.98943024,"quarter 4","Ceriops australis",0.5,0.3,5,""
"4/07/2015","11:08:06 AM","cream","Landward-Creek","80-100m","Point 2",86.5,-25.44784459,152.98943024,"quarter 1","Ceriops australis",0.8,0.8,44,""
"4/07/2015","11:09:11 AM","cream","Landward-Creek","80-100m","Point 2",86.5,-25.44784459,152.98943024,"quarter 2","Osbornia octodonta",1.1,0.4,5,""
"4/07/2015","11:09:33 AM","cream","Landward-Creek","80-100m","Point 2",86.5,-25.44784459,152.98943024,"quarter 3","Osbornia octodonta",0.4,0.4,3,""
"4/07/2015","11:09:59 AM","cream","Landward-Creek","80-100m","Point 2",86.5,-25.44781125,152.98942832,"quarter 4","Osbornia octodonta",0.3,0.4,3,""
"4/07/2015","11:18:53 AM","cream","Landward-Creek","60-80m","Point 1",69.1,-25.44781125,152.98942832,"quarter 1","Ceriops australis",0.8,0.2,3,""
"4/07/2015","11:20:13 AM","cream","Landward-Creek","60-80m","Point 1",69.1,-25.44781125,152.98942832,"quarter 2","Avicennia marina",0.9,0.2,10,""
"4/07/2015","11:21:09 AM","cream","Landward-Creek","60-80m","Point 1",69.1,-25.44781125,152.98942832,"quarter 3","Avicennia marina",1.6,0.4,12,""
"4/07/2015","11:21:53 AM","cream","Landward-Creek","60-80m","Point 1",69.1,-25.44790639,152.98954798,"quarter 4","Ceriops australis",0.6,0.3,5,""
"4/07/2015","11:26:04 AM","cream","Landward-Creek","40-60m","Point 1",53.2,-25.44790639,152.98954798,"quarter 1","Ceriops australis",0.4,0.5,35,""
"4/07/2015","11:26:45 AM","cream","Landward-Creek","40-60m","Point 1",53.2,-25.44790639,152.98954798,"quarter 2","Ceriops australis",0.6,0.7,15,""
"4/07/2015","11:28:33 AM","cream","Landward-Creek","40-60m","Point 1",53.2,-25.44790639,152.98954798,"quarter 3","Aegialitis annulata",0.2,0.3,10,""
"4/07/2015","11:28:59 AM","cream","Landward-Creek","40-60m","Point 1",53.2,-25.4479184,152.98969945,"quarter 4","Ceriops australis",0.2,0.4,4,""
"4/07/2015","11:30:50 AM","cream","Landward-Creek","40-60m","Point 2",46.9,-25.4479184,152.98969945,"quarter 1","Ceriops australis",0.7,0.8,32,""
"4/07/2015","11:32:04 AM","cream","Landward-Creek","40-60m","Point 2",46.9,-25.4479184,152.98969945,"quarter 2","Avicennia marina",0.7,0.8,20,""
"4/07/2015","11:32:43 AM","cream","Landward-Creek","40-60m","Point 2",46.9,-25.44796978,152.98975127,"quarter 3","Ceriops australis",0.5,0.8,18,""
"4/07/2015","11:34:41 AM","cream","Landward-Creek","40-60m","Point 2",46.9,-25.44792865,152.98980556,"quarter 4","Aegialitis annulata",0.3,0.4,6,""
"4/07/2015","11:42:38 AM","cream","Landward-Creek","20-40m","Point 1",31,-25.44792865,152.98980556,"quarter 1","Avicennia marina",1.6,2,34,""
"4/07/2015","11:44:29 AM","cream","Landward-Creek","20-40m","Point 1",31,-25.44792865,152.98980556,"quarter 2","Avicennia marina",0.5,1.1,11,""
"4/07/2015","11:45:30 AM","cream","Landward-Creek","20-40m","Point 1",31,-25.44792865,152.98980556,"quarter 3","Lumnitzera racemosa",1.1,0.9,23,""
"4/07/2015","11:45:49 AM","cream","Landward-Creek","20-40m","Point 1",31,-25.44797093,152.98985623,"quarter 4","Rhizophora stylosa",0.6,1.4,18,""
"4/07/2015","11:53:49 AM","cream","Landward-Creek","0-20m","Point 1",16.5,-25.44797093,152.98985623,"quarter 1","Rhizophora stylosa",0.5,0.6,5,""
"4/07/2015","11:54:36 AM","cream","Landward-Creek","0-20m","Point 1",16.5,-25.44797093,152.98985623,"quarter 2","Avicennia marina",0.7,0.6,8,""
"4/07/2015","11:55:18 AM","cream","Landward-Creek","0-20m","Point 1",16.5,-25.44797093,152.98985623,"quarter 3","Osbornia octodonta",0.5,0.8,8,""
"4/07/2015","11:56:24 AM","cream","Landward-Creek","0-20m","Point 1",16.5,-25.44801335,152.99002764,"quarter 4","Avicennia marina",1,0.6,6,""
"4/07/2015","11:58:01 AM","cream","Landward-Creek","0-20m","Point 2",7.3,-25.44801335,152.99002764,"quarter 1","Osbornia octodonta",1.1,1.2,12,""
"4/07/2015","11:58:23 AM","cream","Landward-Creek","0-20m","Point 2",7.3,-25.44801335,152.99002764,"quarter 2","Osbornia octodonta",1,1.1,12,""
"4/07/2015","11:59:15 AM","cream","Landward-Creek","0-20m","Point 2",7.3,-25.44801335,152.99002764,"quarter 3","Aegialitis annulata",0.7,0.9,16,""
"4/07/2015","12:00:20 PM","cream","Landward-Creek","0-20m","Point 2",7.3,-25.44801335,152.99002764,"quarter 4","Avicennia marina",1.7,2.3,40,""
