"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"5/07/2015","1:21:27 PM","grove","Seaward","0-20m","Point 2",8,-25.44822443,152.98723596,"quarter 1","Rhizophora stylosa",5,4,24,""
"5/07/2015","1:23:01 PM","grove","Seaward","0-20m","Point 2",8,-25.44822443,152.98723596,"quarter 2","Rhizophora stylosa",2.7,1.8,16,""
"5/07/2015","1:24:08 PM","grove","Seaward","0-20m","Point 2",8,-25.44822443,152.98723596,"quarter 3","Rhizophora stylosa",1.8,3.2,23,""
"5/07/2015","1:24:46 PM","grove","Seaward","0-20m","Point 2",8,-25.44822908,152.98728355,"quarter 4","Rhizophora stylosa",1,1.8,18,""
"5/07/2015","1:29:35 PM","grove","Seaward","0-20m","Point 3",16,-25.44822908,152.98728355,"quarter 1","Avicennia marina",1.9,7.2,137,""
"5/07/2015","1:31:47 PM","grove","Seaward","0-20m","Point 3",16,-25.44822908,152.98728355,"quarter 2","Rhizophora stylosa",2.5,3.6,20,""
"5/07/2015","1:33:03 PM","grove","Seaward","0-20m","Point 3",16,-25.44822908,152.98728355,"quarter 3","Rhizophora stylosa",4.8,2.3,28,""
"5/07/2015","1:33:49 PM","grove","Seaward","0-20m","Point 3",16,-25.44833296,152.98737828,"quarter 4","Rhizophora stylosa",1,2,22,""
"5/07/2015","1:36:28 PM","grove","Seaward","20-40m","Point 1",31,-25.44833296,152.98737828,"quarter 1","Rhizophora stylosa",2.1,2.2,18,""
"5/07/2015","1:37:38 PM","grove","Seaward","20-40m","Point 1",31,-25.44833296,152.98737828,"quarter 2","Rhizophora stylosa",1.6,3.1,20,""
"5/07/2015","1:38:22 PM","grove","Seaward","20-40m","Point 1",31,-25.44833296,152.98737828,"quarter 3","Rhizophora stylosa",2.8,2.6,22,""
"5/07/2015","1:39:05 PM","grove","Seaward","20-40m","Point 1",31,-25.44839897,152.98745285,"quarter 4","Rhizophora stylosa",1.7,2,21,""
"5/07/2015","1:42:57 PM","grove","Seaward","40-60m","Point 2",42,-25.44839897,152.98745285,"quarter 1","Rhizophora stylosa",1,1,12,""
"5/07/2015","1:43:31 PM","grove","Seaward","40-60m","Point 2",42,-25.44839897,152.98745285,"quarter 2","Rhizophora stylosa",1,1,10,""
"5/07/2015","1:44:10 PM","grove","Seaward","40-60m","Point 2",42,-25.44839897,152.98745285,"quarter 3","Rhizophora stylosa",2.1,1.7,12,""
"5/07/2015","1:45:03 PM","grove","Seaward","40-60m","Point 2",42,-25.44843069,152.9875095,"quarter 4","Rhizophora stylosa",1,1.2,13,""
"5/07/2015","1:46:31 PM","grove","Seaward","40-60m","Point 3",44,-25.44843069,152.9875095,"quarter 1","Rhizophora stylosa",1.1,1,13,""
"5/07/2015","1:47:29 PM","grove","Seaward","40-60m","Point 3",44,-25.44843069,152.9875095,"quarter 2","Avicennia marina",2.2,2,32,""
"5/07/2015","1:48:13 PM","grove","Seaward","40-60m","Point 3",44,-25.44843069,152.9875095,"quarter 3","Rhizophora stylosa",1.8,1,11,""
"5/07/2015","1:49:00 PM","grove","Seaward","40-60m","Point 3",44,-25.44853211,152.98763315,"quarter 4","Avicennia marina",0.7,1.5,14,""
"5/07/2015","1:51:29 PM","grove","Seaward","60-80m","Point 1",62,-25.44853211,152.98763315,"quarter 1","Avicennia marina",1.8,1.2,23,""
"5/07/2015","1:52:19 PM","grove","Seaward","60-80m","Point 1",62,-25.44853211,152.98763315,"quarter 2","Rhizophora stylosa",1,1.4,13,""
"5/07/2015","1:52:33 PM","grove","Seaward","60-80m","Point 1",62,-25.44853211,152.98763315,"quarter 2","Rhizophora stylosa",2.6,1.1,10,""
"5/07/2015","1:53:08 PM","grove","Seaward","60-80m","Point 1",62,-25.44853211,152.98763315,"quarter 3","Rhizophora stylosa",2.8,1,10,""
"5/07/2015","1:54:10 PM","grove","Seaward","60-80m","Point 1",62,-25.44853211,152.98763315,"quarter 4","Avicennia marina",NA,2.7,62,""
