"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"5/07/2015","1:22:21 PM","man","Seaward","0-20m","Point 1",14,-25.44830813,152.98724318,"quarter 1","Rhizophora stylosa",1.4,1.6,12,""
"5/07/2015","1:23:09 PM","man","","","Point 1",14,-25.44830818,152.98724315,"quarter 1","Rhizophora stylosa",NA,NA,NA,""
"5/07/2015","1:23:22 PM","man","Seaward","0-20m","Point 1",14,-25.44828369,152.98724107,"quarter 1","Rhizophora stylosa",NA,NA,NA,""
"5/07/2015","1:25:31 PM","man","Seaward","0-20m","Point 1",14,-25.44828369,152.98724107,"quarter 2","Rhizophora stylosa",2.1,2.5,18,""
"5/07/2015","1:26:02 PM","man","Seaward","0-20m","Point 1",14,-25.44828369,152.98724107,"quarter 2","Rhizophora stylosa",14,2.5,18,""
"5/07/2015","1:27:01 PM","man","Seaward","0-20m","Point 1",14,-25.44828369,152.98724107,"quarter 3","Rhizophora stylosa",1.5,2.2,12,""
"5/07/2015","1:28:12 PM","man","Seaward","0-20m","Point 1",14,-25.44828369,152.98724107,"quarter 4","Rhizophora stylosa",1.8,1.4,12,""
"5/07/2015","1:28:36 PM","man","Seaward","0-20m","Point 1",14,-25.44828618,152.98726747,"quarter 3","Rhizophora stylosa",1.6,2.4,22,""
"5/07/2015","1:31:06 PM","man","Seaward","20-40m","Point 2",25,-25.44828618,152.98726747,"quarter 1","Rhizophora stylosa",1.7,2.2,13,""
"5/07/2015","1:31:48 PM","man","Seaward","20-40m","Point 2",25,-25.44828618,152.98726747,"quarter 2","Rhizophora stylosa",1.2,2.6,23,""
"5/07/2015","1:32:55 PM","man","Seaward","20-40m","Point 2",25,-25.44828618,152.98726747,"quarter 3","Rhizophora stylosa",0.5,1.2,9,""
"5/07/2015","1:33:45 PM","man","Seaward","20-40m","Point 2",25,-25.44835185,152.98734269,"quarter 4","Rhizophora stylosa",1.8,3.2,31,""
"5/07/2015","1:36:06 PM","man","Seaward","20-40m","Point 3",32,-25.44835185,152.98734269,"quarter 1","Rhizophora stylosa",1.2,2.1,12,""
"5/07/2015","1:37:10 PM","man","Seaward","20-40m","Point 3",32,-25.44835185,152.98734269,"quarter 2","Rhizophora stylosa",1.1,0.8,5,""
"5/07/2015","1:38:04 PM","man","Seaward","20-40m","Point 3",32,-25.44835185,152.98734269,"quarter 3","Rhizophora stylosa",1,1.3,11,""
"5/07/2015","1:39:04 PM","man","Seaward","20-40m","Point 3",32,-25.44846951,152.98748079,"quarter 4","Avicennia marina",1.5,2.6,42,""
"5/07/2015","1:41:41 PM","man","Seaward","40-60m","Point 1",50,-25.44846951,152.98748079,"quarter 1","Rhizophora stylosa",0.6,0.7,5,""
"5/07/2015","1:42:26 PM","man","Seaward","40-60m","Point 1",50,-25.44846951,152.98748079,"quarter 2","Avicennia marina",1.5,2.6,35,""
"5/07/2015","1:43:37 PM","man","Seaward","40-60m","Point 1",50,-25.44846951,152.98748079,"quarter 3","Avicennia marina",2.5,1.9,14,""
"5/07/2015","1:44:12 PM","man","Seaward","40-60m","Point 1",50,-25.44854265,152.98760667,"quarter 4","Rhizophora stylosa",1.4,1.5,10,""
"5/07/2015","1:45:53 PM","man","Seaward","60-80m","Point 2",61,-25.44854265,152.98760667,"quarter 1","Avicennia marina",0.3,1.5,14,""
"5/07/2015","1:46:51 PM","man","Seaward","60-80m","Point 2",61,-25.44854265,152.98760667,"quarter 2","Avicennia marina",0.7,2.1,18,""
"5/07/2015","1:47:25 PM","man","Seaward","60-80m","Point 2",61,-25.44854265,152.98760667,"quarter 3","Rhizophora stylosa",0.5,1.7,9,""
"5/07/2015","1:48:50 PM","man","Seaward","60-80m","Point 2",61,-25.44855214,152.98763082,"quarter 4","Rhizophora stylosa",3.2,0.7,7,""
"5/07/2015","1:50:06 PM","man","Seaward","60-80m","Point 3",63,-25.44855214,152.98763082,"quarter 1","Avicennia marina",0.3,0.5,17,""
"5/07/2015","1:51:41 PM","man","Seaward","60-80m","Point 3",63,-25.44855214,152.98763082,"quarter 2","Avicennia marina",0.7,0.5,10,""
"5/07/2015","1:52:26 PM","man","Seaward","60-80m","Point 3",63,-25.44855214,152.98763082,"quarter 3","Rhizophora stylosa",0.9,1.3,11,""
"5/07/2015","1:53:01 PM","man","Seaward","60-80m","Point 3",63,-25.44855214,152.98763082,"quarter 4","Avicennia marina",0.5,0.8,10,""
