"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"5/07/2015","1:23:10 PM","mud","Seaward","0-20m","Point 1",10,-25.44844728,152.98711682,"quarter 1","Rhizophora stylosa",1.5,2.6,25,""
"5/07/2015","1:25:00 PM","mud","Seaward","0-20m","Point 1",10,-25.44844728,152.98711682,"quarter 2","Avicennia marina",2.8,4.4,25,""
"5/07/2015","1:26:05 PM","mud","Seaward","0-20m","Point 1",10,-25.44844728,152.98711682,"quarter 3","Avicennia marina",2.7,5.2,91,""
"5/07/2015","1:26:56 PM","mud","Seaward","0-20m","Point 1",10,-25.4484794,152.98723394,"quarter 4","Avicennia marina",3.1,4.5,20,""
"5/07/2015","1:31:01 PM","mud","Seaward","20-40m","Point 1",23,-25.44847936,152.98723401,"quarter 1","Rhizophora stylosa",1.3,3.1,24,""
"5/07/2015","1:31:25 PM","mud","Seaward","20-40m","Point 1",23,-25.44847936,152.98723401,"quarter 2","Rhizophora stylosa",1.4,2.3,11,""
"5/07/2015","1:32:02 PM","mud","Seaward","20-40m","Point 1",23,-25.44847936,152.98723401,"quarter 3","Rhizophora stylosa",1.3,1.3,8,""
"5/07/2015","1:32:54 PM","mud","Seaward","20-40m","Point 1",23,-25.44851561,152.98731992,"quarter 4","Rhizophora stylosa",2.2,1.5,10,""
"5/07/2015","1:38:13 PM","mud","Seaward","20-40m","Point 2",35,-25.44852964,152.98732395,"quarter 1","Rhizophora stylosa",1.8,2.7,36,""
"5/07/2015","1:38:59 PM","mud","Seaward","20-40m","Point 2",35,-25.44852964,152.98732395,"quarter 2","Rhizophora stylosa",1.9,2.5,35,""
"5/07/2015","1:40:25 PM","mud","Seaward","20-40m","Point 2",35,-25.44852964,152.98732395,"quarter 3","Rhizophora stylosa",2.2,3.1,22,""
"5/07/2015","1:42:21 PM","mud","Seaward","20-40m","Point 2",35,-25.4485724,152.98740254,"quarter 4","Rhizophora stylosa",1.4,3.5,26,""
"5/07/2015","1:45:36 PM","mud","Seaward","40-60m","Point 1",45,-25.4485724,152.98740254,"quarter 1","Avicennia marina",0.7,2.1,9,""
"5/07/2015","1:46:14 PM","mud","Seaward","40-60m","Point 1",45,-25.4485724,152.98740254,"quarter 2","Rhizophora stylosa",0.9,1.9,9,""
"5/07/2015","1:46:43 PM","mud","Seaward","40-60m","Point 1",45,-25.4485724,152.98740254,"quarter 3","Rhizophora stylosa",0.7,1.6,8,""
"5/07/2015","1:47:13 PM","mud","Seaward","40-60m","Point 1",45,-25.4485724,152.98740254,"quarter 4","Rhizophora stylosa",1.1,2.4,13,""
