"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"5/07/2015","1:23:18 PM","shoe","Seaward","0-20m","Point 1",8,-25.44855032,152.98702376,"quarter 1","Rhizophora stylosa",3.6,2.5,23,""
"5/07/2015","1:25:45 PM","shoe","Seaward","0-20m","Point 1",8,-25.44855032,152.98702376,"quarter 2","Rhizophora stylosa",4.7,2.7,24,""
"5/07/2015","1:26:57 PM","shoe","Seaward","0-20m","Point 1",8,-25.44855032,152.98702376,"quarter 3","Rhizophora stylosa",8.4,2.1,13,""
"5/07/2015","1:28:57 PM","shoe","Seaward","0-20m","Point 1",8,-25.4486342,152.98707431,"quarter 4","Rhizophora stylosa",2.8,2.7,15.5,""
"5/07/2015","1:32:53 PM","shoe","Seaward","0-20m","Point 2",16,-25.4486342,152.98707431,"quarter 1","Rhizophora stylosa",1.6,2.4,19,""
"5/07/2015","1:34:25 PM","shoe","Seaward","0-20m","Point 2",16,-25.4486342,152.98707431,"quarter 2","Rhizophora stylosa",1.6,3.2,24,""
"5/07/2015","1:35:37 PM","shoe","Seaward","0-20m","Point 2",16,-25.4486342,152.98707431,"quarter 3","Rhizophora stylosa",2.6,2.5,13.5,""
"5/07/2015","1:37:18 PM","shoe","Seaward","0-20m","Point 2",16,-25.44860555,152.9872023,"quarter 4","Rhizophora stylosa",1.5,2.6,22,""
"5/07/2015","1:41:10 PM","shoe","Seaward","20-40m","Point 1",30,-25.44860555,152.9872023,"quarter 1","Rhizophora stylosa",1.9,2.5,17,""
"5/07/2015","1:44:26 PM","shoe","Seaward","20-40m","Point 1",30,-25.44860555,152.9872023,"quarter 2","Rhizophora stylosa",0.6,1.3,7,""
"5/07/2015","1:45:34 PM","shoe","Seaward","20-40m","Point 1",30,-25.44860555,152.9872023,"quarter 3","Aegialitis annulata",0.3,1.2,8,""
"5/07/2015","1:46:58 PM","shoe","Seaward","20-40m","Point 1",30,-25.44863019,152.98727139,"quarter 4","Aegialitis annulata",0.6,2.6,23,""
"5/07/2015","1:50:27 PM","shoe","Seaward","20-40m","Point 2",36,-25.44863019,152.98727139,"quarter 1","Aegialitis annulata",0.4,2.9,14.5,""
"5/07/2015","1:53:18 PM","shoe","Seaward","20-40m","Point 2",36,-25.44863019,152.98727139,"quarter 2","Aegialitis annulata",1.3,1.6,8,""
"5/07/2015","1:54:19 PM","shoe","Seaward","20-40m","Point 2",36,-25.44863019,152.98727139,"quarter 3","Aegialitis annulata",0.5,1.1,6,""
"5/07/2015","1:55:23 PM","shoe","Seaward","20-40m","Point 2",36,-25.44864151,152.98730079,"quarter 4","Rhizophora stylosa",1.2,2.8,21,""
"5/07/2015","1:59:33 PM","shoe","Seaward","40-60m","Point 1",46,-25.44864151,152.98730079,"quarter 1","Avicennia marina",1.8,1.5,21,""
"5/07/2015","2:02:14 PM","shoe","Seaward","40-60m","Point 1",46,-25.44864151,152.98730079,"quarter 2","Avicennia marina",1,0.8,10,""
"5/07/2015","2:02:48 PM","shoe","Seaward","40-60m","Point 1",46,-25.44864151,152.98730079,"quarter 3","Aegialitis annulata",0.8,1.5,8,""
"5/07/2015","2:03:26 PM","shoe","Seaward","40-60m","Point 1",46,-25.44873367,152.98735976,"quarter 4","Rhizophora stylosa",0.7,1.6,11,""
"5/07/2015","2:11:04 PM","shoe","Seaward","40-60m","Point 2",51.5,-25.44873367,152.98735976,"quarter 1","Avicennia marina",0.4,0.8,10.1,""
"5/07/2015","2:12:47 PM","shoe","Seaward","40-60m","Point 2",51.5,-25.44873367,152.98735976,"quarter 2","Avicennia marina",0.8,1.4,33,""
"5/07/2015","2:13:47 PM","shoe","Seaward","40-60m","Point 2",51.5,-25.44873367,152.98735976,"quarter 3","Avicennia marina",0.7,1.1,12,""
"5/07/2015","2:16:09 PM","shoe","Seaward","40-60m","Point 2",51.5,-25.44873367,152.98735976,"quarter 4","Avicennia marina",1.2,0.7,6.5,""
