"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"2/07/2015","9:54:01 AM","kelvn","Landward-Creek","0-20m","Point 1",12,-25.44835634,152.98979768,"quarter 1","Osbornia octodonta",0.3,NA,NA,""
"2/07/2015","9:55:25 AM","kelvn","Landward-Creek","0-20m","Point 1",12,-25.44835634,152.98979768,"quarter 1","Osbornia octodonta",0.3,0.3,2.5,""
"2/07/2015","9:56:09 AM","kelvn","Landward-Creek","0-20m","Point 1",12,-25.44835634,152.98979768,"quarter 2","Osbornia octodonta",0.6,0.4,3,""
"2/07/2015","9:57:10 AM","kelvn","Landward-Creek","0-20m","Point 1",12,-25.44835634,152.98979768,"quarter 3","Avicennia marina",0.7,0.7,13,""
"2/07/2015","9:58:05 AM","kelvn","Landward-Creek","0-20m","Point 1",12,-25.4482512,152.98975262,"quarter 4","Osbornia octodonta",0.4,0.6,4,""
"2/07/2015","10:00:05 AM","kelvn","Landward-Creek","20-40m","Point 1",25,-25.4482512,152.98975262,"quarter 1","Ceriops australis",0.8,0.6,6,""
"2/07/2015","10:00:57 AM","kelvn","Landward-Creek","20-40m","Point 1",25,-25.4482512,152.98975262,"quarter 2","Ceriops australis",0.3,0.6,6,""
"2/07/2015","10:01:59 AM","kelvn","Landward-Creek","20-40m","Point 1",25,-25.4482512,152.98975262,"quarter 3","Ceriops australis",0.6,0.6,9,""
"2/07/2015","10:02:27 AM","kelvn","Landward-Creek","20-40m","Point 1",25,-25.44818873,152.98963813,"quarter 4","Ceriops australis",0.3,0.5,9,""
"2/07/2015","10:04:44 AM","kelvn","Landward-Creek","20-40m","Point 2",37,-25.44818873,152.98963813,"quarter 1","Osbornia octodonta",0.8,0.7,9.5,""
"2/07/2015","10:06:05 AM","kelvn","Landward-Creek","20-40m","Point 2",37,-25.44818873,152.98963813,"quarter 2","Avicennia marina",0.8,0.7,6,""
"2/07/2015","10:07:10 AM","kelvn","Landward-Creek","20-40m","Point 2",37,-25.44818873,152.98963813,"quarter 3","Ceriops australis",0.6,1,12,""
"2/07/2015","10:08:07 AM","kelvn","Landward-Creek","20-40m","Point 2",37,-25.44813619,152.9895308,"quarter 4","Osbornia octodonta",0.4,0.4,5,""
"2/07/2015","10:10:33 AM","kelvn","Landward-Creek","40-60m","Point 1",49.2,-25.44813619,152.9895308,"quarter 1","Avicennia marina",1.1,0.3,13,""
"2/07/2015","10:12:25 AM","kelvn","Landward-Creek","40-60m","Point 1",49.2,-25.44813619,152.9895308,"quarter 2","Avicennia marina",1.6,0.4,12,""
"2/07/2015","10:13:31 AM","kelvn","Landward-Creek","40-60m","Point 1",49.2,-25.44813619,152.9895308,"quarter 3","Avicennia marina",2.1,0.2,5,""
"2/07/2015","10:14:31 AM","kelvn","Landward-Creek","40-60m","Point 1",49.2,-25.44805563,152.98940464,"quarter 4","Avicennia marina",2.4,0.3,4,""
"2/07/2015","10:16:51 AM","kelvn","Landward-Creek","60-80m","Point 1",66,-25.44805563,152.98940464,"quarter 1","Aegialitis annulata",1.1,0.3,6,""
"2/07/2015","10:17:25 AM","kelvn","Landward-Creek","60-80m","Point 1",66,-25.44805563,152.98940464,"quarter 2","Aegialitis annulata",0.8,0.4,10,""
"2/07/2015","10:18:21 AM","kelvn","Landward-Creek","60-80m","Point 1",66,-25.44805563,152.98940464,"quarter 3","Avicennia marina",0.8,0.5,13,""
"2/07/2015","10:19:06 AM","kelvn","Landward-Creek","60-80m","Point 1",66,-25.44801694,152.98930869,"quarter 4","Avicennia marina",1.3,0.2,9,""
"2/07/2015","10:20:23 AM","kelvn","Landward-Creek","60-80m","Point 2",74,-25.44801694,152.98930869,"quarter 1","Ceriops australis",0.7,0.3,4,""
"2/07/2015","10:21:15 AM","kelvn","Landward-Creek","60-80m","Point 2",74,-25.44801694,152.98930869,"quarter 2","Ceriops australis",1.1,1,7,""
"2/07/2015","10:22:32 AM","kelvn","Landward-Creek","60-80m","Point 2",74,-25.44801694,152.98930869,"quarter 3","Ceriops australis",0.8,1,20,""
"2/07/2015","10:23:08 AM","kelvn","Landward-Creek","60-80m","Point 2",74,-25.44795674,152.98918946,"quarter 4","Ceriops australis",0.7,0.4,5,""
"2/07/2015","10:24:22 AM","kelvn","Landward-Creek","80-100m","Point 1",87.5,-25.44795674,152.98918946,"quarter 1","Ceriops australis",0.5,0.5,7,""
"2/07/2015","10:25:03 AM","kelvn","Landward-Creek","80-100m","Point 1",87.5,-25.44795674,152.98918946,"quarter 2","Osbornia octodonta",0.6,0.5,4,""
"2/07/2015","10:25:55 AM","kelvn","Landward-Creek","80-100m","Point 1",87.5,-25.44795674,152.98918946,"quarter 3","Ceriops australis",0.7,0.3,3,""
"2/07/2015","10:26:23 AM","kelvn","Landward-Creek","80-100m","Point 1",87.5,-25.44795674,152.98918946,"quarter 4","Osbornia octodonta",0.3,0.3,4,""
