"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"3/07/2015","12:24:12 PM","one","Seaward","0-20m","Point 1",6,-25.4479515,152.98743481,"quarter 1","Rhizophora stylosa",1.2,1.5,12,""
"3/07/2015","12:25:17 PM","one","Seaward","0-20m","Point 1",6,-25.4479515,152.98743481,"quarter 2","Rhizophora stylosa",1.7,2.2,11,""
"3/07/2015","12:28:02 PM","one","Seaward","0-20m","Point 1",6,-25.4479515,152.98743481,"quarter 3","Rhizophora stylosa",2.8,1.1,14,""
"3/07/2015","12:29:13 PM","one","Seaward","0-20m","Point 1",6,-25.44798397,152.98751286,"quarter 4","Rhizophora stylosa",3.1,1.5,14,""
"3/07/2015","12:32:32 PM","one","Seaward","0-20m","Point 2",17,-25.44798397,152.98751286,"quarter 1","Rhizophora stylosa",1.4,2.2,16,""
"3/07/2015","12:35:25 PM","one","Seaward","0-20m","Point 2",17,-25.44798397,152.98751286,"quarter 2","Avicennia marina",5,5.5,135,""
"3/07/2015","12:36:18 PM","one","Seaward","0-20m","Point 2",17,-25.44798397,152.98751286,"quarter 3","Rhizophora stylosa",3.3,1.5,8.5,""
"3/07/2015","12:37:32 PM","one","Seaward","0-20m","Point 2",17,-25.44800134,152.98759546,"quarter 4","Avicennia marina",1.5,5.8,102,""
"3/07/2015","12:43:39 PM","one","Seaward","20-40m","Point 1",27,-25.44799876,152.98759843,"quarter 1","Rhizophora stylosa",1.9,2.5,21,""
"3/07/2015","12:44:25 PM","one","Seaward","20-40m","Point 1",27,-25.44799876,152.98759843,"quarter 2","Rhizophora stylosa",1.9,2,16,""
"3/07/2015","12:45:38 PM","one","Seaward","20-40m","Point 1",27,-25.44799876,152.98759843,"quarter 3","Avicennia marina",1.7,2.7,45,""
"3/07/2015","12:47:37 PM","one","Seaward","20-40m","Point 1",27,-25.44807754,152.98765111,"quarter 4","Avicennia marina",3.1,5.1,79,""
"3/07/2015","12:50:42 PM","one","Seaward","20-40m","Point 2",35.5,-25.44807751,152.98765131,"quarter 1","Rhizophora stylosa",3.2,1.4,10,""
"3/07/2015","12:51:33 PM","one","Seaward","20-40m","Point 2",35.5,-25.44807751,152.98765131,"quarter 2","Rhizophora stylosa",2.2,2.3,11,""
"3/07/2015","12:53:03 PM","one","Seaward","20-40m","Point 2",35.5,-25.44807751,152.98765131,"quarter 3","Avicennia marina",2.1,2,25,""
"3/07/2015","12:57:55 PM","one","Seaward","20-40m","Point 2",35.5,-25.44807751,152.98765131,"quarter 4","Rhizophora stylosa",2.9,1.3,9,""
"3/07/2015","1:02:25 PM","one","Seaward","40-60m","Point 1",47,-25.44807751,152.98765131,"quarter 1","Avicennia marina",1.5,0.3,4.5,""
"3/07/2015","1:04:36 PM","one","Seaward","40-60m","Point 1",47,-25.44807751,152.98765131,"quarter 2","Avicennia marina",1.6,0.5,4,""
"3/07/2015","1:04:53 PM","one","Seaward","40-60m","Point 1",47,-25.44807751,152.98765131,"quarter 3","Avicennia marina",2.3,0.5,7,""
"3/07/2015","1:05:44 PM","one","Seaward","40-60m","Point 1",47,-25.44807751,152.98765131,"quarter 4","Avicennia marina",1,0.8,6,""
"3/07/2015","1:08:17 PM","one","Seaward","40-60m","Point 2",50,-25.44807751,152.98765131,"quarter 1","Avicennia marina",1.2,0.8,10,""
"3/07/2015","1:10:26 PM","one","Seaward","40-60m","Point 2",50,-25.44807751,152.98765131,"quarter 2","Avicennia marina",1.5,0.4,5,""
"3/07/2015","1:12:09 PM","one","Seaward","40-60m","Point 2",50,-25.44807751,152.98765131,"quarter 3","Avicennia marina",2,2,24,""
"3/07/2015","1:12:39 PM","one","Seaward","40-60m","Point 2",50,-25.44807751,152.98765131,"quarter 4","Avicennia marina",1.6,0.5,6,""
