"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"3/07/2015","10:31:16 AM","spoon","Landward-Creek","80-100m","Point 1",91,-25.44813973,152.98914831,"quarter 1","Ceriops australis",0.9,0.4,4,""
"3/07/2015","10:34:17 AM","spoon","Landward-Creek","80-100m","Point 1",91,-25.44813973,152.98914831,"quarter 2","Avicennia marina",0.7,0.8,4.5,""
"3/07/2015","10:35:29 AM","spoon","Landward-Creek","80-100m","Point 1",91,-25.44813973,152.98914831,"quarter 3","Ceriops australis",1.1,0.9,8,""
"3/07/2015","10:36:42 AM","spoon","Landward-Creek","80-100m","Point 1",91,-25.44801162,152.98910477,"quarter 4","Ceriops australis",0.8,0.6,4,""
"3/07/2015","10:40:23 AM","spoon","Landward-Creek","80-100m","Point 2",96.3,-25.44801162,152.98910477,"quarter 1","Ceriops australis",0.9,0.3,2,""
"3/07/2015","10:42:05 AM","spoon","Landward-Creek","80-100m","Point 2",96.3,-25.44801162,152.98910477,"quarter 2","Ceriops australis",1.5,0.9,11,""
"3/07/2015","10:45:42 AM","spoon","Landward-Creek","80-100m","Point 2",96.3,-25.44801162,152.98910477,"quarter 3","Osbornia octodonta",2.3,0.7,10,""
"3/07/2015","10:47:18 AM","spoon","Landward-Creek","80-100m","Point 2",96.3,-25.44814485,152.98932245,"quarter 4","Ceriops australis",0.4,0.6,5,""
"3/07/2015","10:49:08 AM","spoon","Landward-Creek","60-80m","Point 3",69,-25.44814485,152.98932245,"quarter 1","Avicennia marina",1.7,0.2,6,""
"3/07/2015","10:50:02 AM","spoon","Landward-Creek","60-80m","Point 3",69,-25.44814485,152.98932245,"quarter 2","Avicennia marina",1.3,0.2,2,""
"3/07/2015","10:51:18 AM","spoon","Landward-Creek","60-80m","Point 3",69,-25.44814485,152.98932245,"quarter 3","Ceriops australis",1.7,0.4,4,""
"3/07/2015","10:52:15 AM","spoon","Landward-Creek","60-80m","Point 3",69,-25.44820603,152.98944646,"quarter 4","Avicennia marina",1.9,0.4,4,""
"3/07/2015","10:53:48 AM","spoon","Landward-Creek","40-60m","Point 1",52,-25.44820603,152.98944646,"quarter 1","Ceriops australis",0.8,0.3,4.5,""
"3/07/2015","10:54:46 AM","spoon","Landward-Creek","40-60m","Point 1",52,-25.44820603,152.98944646,"quarter 2","Osbornia octodonta",0.4,0.5,7,""
"3/07/2015","10:56:11 AM","spoon","Landward-Creek","40-60m","Point 1",52,-25.44820603,152.98944646,"quarter 3","Ceriops australis",0.4,1.1,8,""
"3/07/2015","10:56:51 AM","spoon","Landward-Creek","40-60m","Point 1",52,-25.44825831,152.9895434,"quarter 4","Osbornia octodonta",0.8,0.5,5,""
"3/07/2015","10:59:08 AM","spoon","Landward-Creek","40-60m","Point 2",43.3,-25.44825831,152.9895434,"quarter 1","Ceriops australis",0.9,1.1,8,""
"3/07/2015","11:00:35 AM","spoon","Landward-Creek","40-60m","Point 2",43.3,-25.44825831,152.9895434,"quarter 2","Ceriops australis",0.5,1.2,7,""
"3/07/2015","11:01:15 AM","spoon","Landward-Creek","40-60m","Point 2",43.3,-25.44825831,152.9895434,"quarter 3","Osbornia octodonta",0.5,0.3,1,""
"3/07/2015","11:02:17 AM","spoon","Landward-Creek","40-60m","Point 2",43.3,-25.44832524,152.98965508,"quarter 4","Ceriops australis",1,0.7,16,""
"3/07/2015","11:06:20 AM","spoon","Landward-Creek","20-40m","Point 3",30.8,-25.44832524,152.98965508,"quarter 1","Osbornia octodonta",0.5,0.4,1.5,""
"3/07/2015","11:09:30 AM","spoon","Landward-Creek","20-40m","Point 3",30.8,-25.44832524,152.98965508,"quarter 2","Avicennia marina",0.3,0.2,8,""
"3/07/2015","11:10:35 AM","spoon","Landward-Creek","20-40m","Point 3",30.8,-25.44832524,152.98965508,"quarter 3","Osbornia octodonta",0.5,0.4,3,""
"3/07/2015","11:11:56 AM","spoon","Landward-Creek","20-40m","Point 3",30.8,-25.44839208,152.9898095,"quarter 4","Ceriops australis",0.4,0.5,1.5,""
"3/07/2015","11:14:45 AM","spoon","Landward-Creek","0-20m","Point 1",11,-25.44839208,152.9898095,"quarter 1","Osbornia octodonta",0.6,0.7,3,""
"3/07/2015","11:16:35 AM","spoon","Landward-Creek","0-20m","Point 1",11,-25.44839208,152.9898095,"quarter 2","Avicennia marina",1,0.6,2.5,""
"3/07/2015","11:17:09 AM","spoon","Landward-Creek","0-20m","Point 1",11,-25.44839208,152.9898095,"quarter 3","Ceriops australis",0.5,0.6,2.5,""
"3/07/2015","11:18:44 AM","spoon","Landward-Creek","0-20m","Point 1",11,-25.44846243,152.98984514,"quarter 4","Osbornia octodonta",1,0.8,8,""
"3/07/2015","11:21:44 AM","spoon","Landward-Creek","0-20m","Point 2",3,-25.44846243,152.98984514,"quarter 1","Ceriops australis",0.4,0.6,2.5,""
"3/07/2015","11:23:10 AM","spoon","Landward-Creek","0-20m","Point 2",3,-25.44846243,152.98984514,"quarter 2","Ceriops australis",0.4,1.4,11,""
"3/07/2015","11:25:05 AM","spoon","Landward-Creek","0-20m","Point 2",3,-25.44846243,152.98984514,"quarter 3","Ceriops australis",0.9,0.9,12,""
"3/07/2015","11:26:38 AM","spoon","Landward-Creek","0-20m","Point 2",3,-25.44846243,152.98984514,"quarter 4","Ceriops australis",0.6,0.9,11,""
