"Date","Time","Group","Transect","Zone","Points within Zone","Distance on tape (m)","Latitude","Longitude","Quarter","Species","Distance from point (m)","Height (m)","Circumference (cm)","point location note"
"3/07/2015","12:29:01 PM","taco","Seaward","0-20m","Point 1",2,-25.44772732,152.98745451,"quarter 1","Rhizophora stylosa",1.4,2.3,12,""
"3/07/2015","12:31:04 PM","taco","Seaward","0-20m","Point 1",2,-25.44772732,152.98745451,"quarter 2","Rhizophora stylosa",2.3,2.8,10.5,""
"3/07/2015","12:31:41 PM","taco","Seaward","0-20m","Point 1",2,-25.44772732,152.98745451,"quarter 3","Rhizophora stylosa",1.1,2.3,13,""
"3/07/2015","12:32:39 PM","taco","Seaward","0-20m","Point 1",2,-25.44776577,152.98765457,"quarter 4","Rhizophora stylosa",1.1,2.1,15,""
"3/07/2015","12:36:08 PM","taco","Seaward","0-20m","Point 2",14.7,-25.44776577,152.98765457,"quarter 1","Rhizophora stylosa",1.7,3,26,""
"3/07/2015","12:36:57 PM","taco","Seaward","0-20m","Point 2",14.7,-25.44776577,152.98765457,"quarter 2","Avicennia marina",1.6,2.7,15.5,""
"3/07/2015","12:37:58 PM","taco","Seaward","0-20m","Point 2",14.7,-25.44776577,152.98765457,"quarter 3","Rhizophora stylosa",1.7,2.8,12.5,""
"3/07/2015","12:39:09 PM","taco","Seaward","0-20m","Point 2",14.7,-25.44781247,152.98758204,"quarter 4","Rhizophora stylosa",2.7,4.2,33,""
"3/07/2015","12:41:57 PM","taco","Seaward","20-40m","Point 1",29.5,-25.44781247,152.98758204,"quarter 1","Rhizophora stylosa",1.4,2.6,22,""
"3/07/2015","12:42:44 PM","taco","Seaward","20-40m","Point 1",29.5,-25.44781247,152.98758204,"quarter 2","Rhizophora stylosa",1.5,1.9,18,""
"3/07/2015","12:43:24 PM","taco","Seaward","20-40m","Point 1",29.5,-25.44781247,152.98758204,"quarter 3","Rhizophora stylosa",1.3,1,8.5,""
"3/07/2015","12:44:42 PM","taco","Seaward","20-40m","Point 1",29.5,-25.44794669,152.98787852,"quarter 4","Rhizophora stylosa",1.5,1.2,8.5,""
"3/07/2015","12:48:34 PM","taco","Seaward","40-60m","Point 1",45.5,-25.44794669,152.98787852,"quarter 1","Avicennia marina",3.2,1.2,17.5,""
"3/07/2015","12:49:48 PM","taco","Seaward","40-60m","Point 1",45.5,-25.44794669,152.98787852,"quarter 2","Rhizophora stylosa",0.7,1.1,7,""
"3/07/2015","12:50:47 PM","taco","Seaward","40-60m","Point 1",45.5,-25.44794669,152.98787852,"quarter 3","Rhizophora stylosa",2.4,1.2,8,""
"3/07/2015","12:51:40 PM","taco","Seaward","40-60m","Point 1",45.5,-25.44795774,152.98800094,"quarter 4","Rhizophora stylosa",1.5,1.2,7.5,""
"3/07/2015","12:53:34 PM","taco","Seaward","40-60m","Point 2",55.2,-25.44795774,152.98800094,"quarter 1","Avicennia marina",1.4,0.6,7.5,""
"3/07/2015","12:54:36 PM","taco","Seaward","40-60m","Point 2",55.2,-25.44795774,152.98800094,"quarter 2","Avicennia marina",1.2,1,10,""
"3/07/2015","12:55:40 PM","taco","Seaward","40-60m","Point 2",55.2,-25.44795774,152.98800094,"quarter 3","Avicennia marina",2.5,1,8,""
"3/07/2015","12:56:30 PM","taco","Seaward","40-60m","Point 2",55.2,-25.44795774,152.98800094,"quarter 4","Avicennia marina",1.1,0.7,6.5,""
