"Date","Time","Group","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"28/06/2014","12:14:02 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 1","Leaf 1",0,1,1,1,0.3,2,0,152.9878017,-25.44720932,""
"28/06/2014","12:14:52 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 1","Leaf 2",0,1,1,0,0.4,47,0,152.9878017,-25.44720932,""
"28/06/2014","12:15:09 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 1","Leaf 3",0,1,1,0,0,NA,NA,152.9878017,-25.44720932,""
"28/06/2014","12:16:10 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 1","Leaf 3",0,1,1,1,0.1,NA,NA,152.9878017,-25.44720932,""
"28/06/2014","12:16:49 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 1","Leaf 4",0,1,1,1,0.02,NA,NA,152.9878017,-25.44720932,""
"28/06/2014","12:18:43 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 1","Leaf 4",1,1,1,0,0.7,1,NA,152.9878017,-25.44720932,""
"28/06/2014","12:19:11 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 1","Leaf 5",1,1,1,1,0.05,NA,NA,152.9878017,-25.44720932,""
"28/06/2014","12:20:25 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 1","Leaf 6",1,1,1,1,0.1,NA,NA,152.9878017,-25.44720932,""
"28/06/2014","12:22:32 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 2","Leaf 1",0,1,1,1,0.05,3,30,152.9878017,-25.44720932,""
"28/06/2014","12:23:08 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 2","Leaf 2",0,1,1,0,NA,NA,20,152.9878017,-25.44720932,""
"28/06/2014","12:24:28 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 2","Leaf 3",0,1,1,0,0.03,3,30,152.9878017,-25.44720932,""
"28/06/2014","12:25:25 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 2","Leaf 4",0,1,1,1,0.2,1,29,152.9878017,-25.44720932,""
"28/06/2014","12:26:20 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 2","Leaf 5",0,1,1,1,0.02,0,7,152.9878017,-25.44720932,""
"28/06/2014","12:27:12 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 2","Leaf 6",0,1,1,1,0.2,1,30,152.9878017,-25.44720932,""
"28/06/2014","12:29:35 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 3","Leaf 1",1,0,1,0,0,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:30:06 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 3","Leaf 2",1,0,1,1,0,2,2,152.9878017,-25.44720932,""
"28/06/2014","12:30:42 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 3","Leaf 3",1,0,1,0,0.1,3,3,152.9878017,-25.44720932,""
"28/06/2014","12:31:05 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 3","Leaf 4",1,0,1,0,0,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:31:32 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 3","Leaf 5",1,0,1,0,0.07,1,0,152.9878017,-25.44720932,""
"28/06/2014","12:31:58 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 3","Leaf 6",1,0,1,1,0.3,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:32:30 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 4","Leaf 1",1,0,0,0,0,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:32:45 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 4","Leaf 2",1,0,0,1,0.05,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:33:24 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 4","Leaf 3",1,0,0,1,0,3,1,152.9878017,-25.44720932,""
"28/06/2014","12:34:02 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 4","Leaf 4",1,0,0,0,0,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:34:16 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 4","Leaf 5",1,0,0,1,0.05,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:34:23 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 4","Leaf 6",1,0,0,0,0,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:35:14 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 5","Leaf 1",1,1,1,0,0.1,3,0,152.9878017,-25.44720932,""
"28/06/2014","12:35:33 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 5","Leaf 2",1,1,1,1,0.5,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:35:49 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 5","Leaf 3",1,1,1,1,0.3,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:36:14 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 5","Leaf 4",1,1,1,1,0.3,1,1,152.9878017,-25.44720932,""
"28/06/2014","12:36:23 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 5","Leaf 5",1,1,1,0,0,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:36:44 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 5","Leaf 6",1,1,1,1,0.1,0,2,152.9878017,-25.44720932,""
"28/06/2014","12:37:35 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 6","Leaf 1",1,0,0,1,0.05,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:38:06 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 6","Leaf 2",1,0,0,0,0.9,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:38:36 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 6","Leaf 3",1,0,0,1,0.2,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:38:57 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 6","Leaf 4",1,0,0,1,0.2,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:39:18 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 6","Leaf 5",1,0,0,1,0.1,1,1,152.9878017,-25.44720932,""
"28/06/2014","12:39:37 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 6","Leaf 6",1,0,0,0,1,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:40:11 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 7","Leaf 1",0,0,0,1,0.3,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:40:27 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 7","Leaf 2",0,0,0,0,0.3,0,1,152.9878017,-25.44720932,""
"28/06/2014","12:40:56 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 7","Leaf 3",0,0,0,0,0.1,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:41:13 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 7","Leaf 4",0,0,0,0,0.05,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:41:31 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 7","Leaf 5",0,0,0,1,0.1,1,0,152.9878017,-25.44720932,""
"28/06/2014","12:42:01 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 7","Leaf 6",0,0,0,1,0.3,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:42:40 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 8","Leaf 1",1,1,1,0,0,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:42:47 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 8","Leaf 2",1,1,1,0,0,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:42:57 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 8","Leaf 3",1,1,1,1,0.1,0,0,152.9878017,-25.44720932,""
"28/06/2014","12:43:15 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 8","Leaf 4",1,1,1,1,0.1,0,1,152.9878017,-25.44720932,""
"28/06/2014","12:44:49 PM","hhhhhhhhhhhhhh","Seaward",7,"Quarter 1",2.6,5.4,0.6,"Stem 8","Leaf 6",1,1,1,1,0.6,0,1,152.9878017,-25.44720932,""
