"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"29/06/2015","11:46:35 AM","joshh","Seaward","Low",29,"Quarter 1",2.5,6.3,169,"Stem 1","Leaf 1",0,0,0,1,0,0,0,152.98786625,-25.44741564,""
"29/06/2015","11:47:55 AM","joshh","Seaward","Low",29,"Quarter 1",2.5,6.3,169,"Stem 1","Leaf 2",0,0,0,0,0,0,0,152.98786625,-25.44741564,""
"29/06/2015","11:48:15 AM","joshh","Seaward","Low",29,"Quarter 1",2.5,6.3,169,"Stem 1","Leaf 3",0,0,0,1,0,1,0,152.98786625,-25.44741564,""
"29/06/2015","11:48:38 AM","joshh","Seaward","Low",29,"Quarter 1",2.5,6.3,169,"Stem 1","Leaf 4",0,0,0,1,0,0,0,152.98786625,-25.44741564,""
"29/06/2015","11:49:47 AM","joshh","Seaward","Low",29,"Quarter 1",2.5,6.3,169,"Stem 1","Leaf 5",0,0,0,1,0.03,0,0,152.98786625,-25.44741564,""
"29/06/2015","11:50:13 AM","joshh","Seaward","Low",29,"Quarter 1",2.5,6.3,169,"Stem 1","Leaf 5",0,0,0,1,0,0,0,152.98786625,-25.44741564,""
"29/06/2015","11:50:40 AM","joshh","Seaward","Low",29,"Quarter 1",2.5,6.3,169,"Stem 1","Leaf 6",0,0,0,1,0.3,0,0,152.98786625,-25.44741564,""
"29/06/2015","11:51:14 AM","joshh","Seaward","Low",29,"Quarter 1",2.5,6.3,169,"Stem 2","Leaf 1",1,0,0,1,0,0,0,152.98786625,-25.44741564,""
"29/06/2015","11:51:41 AM","joshh","Seaward","Low",29,"Quarter 1",2.5,6.3,169,"Stem 2","Leaf 2",1,0,0,1,0,0,0,152.98786625,-25.44741564,""
"29/06/2015","11:51:52 AM","joshh","Seaward","Low",29,"Quarter 1",2.5,6.3,169,"Stem 2","Leaf 3",1,0,0,1,0.07,0,0,152.98786625,-25.44741564,""
