"Date","Time","Group","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"28/06/2014","10:00:50 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 1","Leaf 1",1,1,1,0,0,4,6,152.9901969,-25.44771283,""
"28/06/2014","10:01:09 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 1","Leaf 2",1,1,1,0,0.1,0,5,152.9901969,-25.44771283,""
"28/06/2014","10:01:24 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 1","Leaf 3",1,1,1,0,0.15,3,2,152.9901969,-25.44771283,""
"28/06/2014","10:01:47 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 1","Leaf 4",1,1,1,0,0.03,1,0,152.9901969,-25.44771283,""
"28/06/2014","10:02:14 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 1","Leaf 4",1,1,1,0,0,2,1,152.9901969,-25.44771283,""
"28/06/2014","10:02:25 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 1","Leaf 5",1,1,1,0,0,0,0,152.9901969,-25.44771283,""
"28/06/2014","10:02:36 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 1","Leaf 6",1,1,1,0,0,0,1,152.9901969,-25.44771283,""
"28/06/2014","10:03:11 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 2","Leaf 1",0,0,0,0,0,5,0,152.9901969,-25.44771283,""
"28/06/2014","10:03:28 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 2","Leaf 2",0,0,0,0,0,9,0,152.9901969,-25.44771283,""
"28/06/2014","10:03:52 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 2","Leaf 2",0,0,0,0,0,10,1,152.9901969,-25.44771283,""
"28/06/2014","10:04:08 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 2","Leaf 3",0,0,0,0,0,10,0,152.9901969,-25.44771283,""
"28/06/2014","10:04:30 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 2","Leaf 4",0,0,0,0,0.05,1,0,152.9901969,-25.44771283,""
"28/06/2014","10:04:50 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 2","Leaf 3",0,0,0,1,0,0,0,152.9901969,-25.44771283,""
"28/06/2014","10:05:18 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 2","Leaf 4",0,0,0,1,0,5,0,152.9901969,-25.44771283,""
"28/06/2014","10:05:36 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 2","Leaf 5",0,0,0,1,0.2,3,0,152.9901969,-25.44771283,""
"28/06/2014","10:06:01 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 2","Leaf 6",0,0,0,0,0.5,6,0,152.9901969,-25.44771283,""
"28/06/2014","10:06:50 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 3","Leaf 1",0,0,0,0,0.2,1,1,152.9901969,-25.44771283,""
"28/06/2014","10:07:05 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 3","Leaf 2",0,0,0,1,0.05,8,0,152.9901969,-25.44771283,""
"28/06/2014","10:07:19 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 3","Leaf 3",0,0,0,1,0.1,1,0,152.9901969,-25.44771283,""
"28/06/2014","10:07:57 AM","team 1","Landward - Creek",0,"Quarter 1",6.8,4.08,36,"Stem 3","Leaf 3",0,0,0,1,0,2,1,152.9901969,-25.44771283,""
