"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"30/06/2015","12:02:51 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 1","Leaf 1",1,1,0,1,0.15,0,0,152.98812126,-25.44772083,""
"30/06/2015","12:03:10 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 1","Leaf 2",1,1,0,1,0.05,0,0,152.98812126,-25.44772083,""
"30/06/2015","12:04:13 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 1","Leaf 3",1,1,0,0,0.5,0,0,152.98812126,-25.44772083,""
"30/06/2015","12:04:36 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 1","Leaf 4",1,1,0,0,NA,0,1,152.98812126,-25.44772083,""
"30/06/2015","12:04:53 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 1","Leaf 5",1,1,0,1,0.15,0,0,152.98812126,-25.44772083,""
"30/06/2015","12:05:33 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 1","Leaf 6",1,1,0,1,0.01,0,0,152.98812126,-25.44772083,""
"30/06/2015","12:06:08 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 2","Leaf 1",0,1,1,1,0.3,0,0,152.98812126,-25.44772083,""
"30/06/2015","12:06:19 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 2","Leaf 2",0,1,1,1,1,0,0,152.98812126,-25.44772083,""
"30/06/2015","12:06:35 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 2","Leaf 3",0,1,1,1,0.8,0,0,152.98812126,-25.44772083,""
"30/06/2015","12:06:47 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 2","Leaf 4",0,1,1,1,0.1,0,0,152.98812126,-25.44772083,""
"30/06/2015","12:06:59 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 2","Leaf 5",0,1,1,1,0.15,0,5,152.98812126,-25.44772083,""
"30/06/2015","12:07:10 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 2","Leaf 6",0,1,1,1,0.05,1,0,152.98812126,-25.44772083,""
"30/06/2015","12:07:56 PM","adidas","Seaward","Low",20,"Quarter 1",9.8,7,3.25,"Stem 3","Leaf 1",1,1,1,0,NA,0,0,152.98812126,-25.44772083,""
