"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"30/06/2015","10:14:54 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 1","Leaf 1",0,1,0,1,0.01,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:15:20 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 1","Leaf 2",0,1,0,1,0.03,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:15:42 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 1","Leaf 3",0,1,0,1,0.02,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:16:33 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 1","Leaf 4",0,1,0,0,0.08,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:16:48 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 1","Leaf 5",0,1,0,0,0.2,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:17:07 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 1","Leaf 6",0,1,0,1,0.35,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:18:08 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 2","Leaf 1",0,1,0,1,0.05,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:18:57 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 2","Leaf 2",0,1,0,1,0.02,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:19:29 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 2","Leaf 3",0,1,0,1,0.05,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:19:51 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 2","Leaf 4",0,1,0,0,0.03,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:20:16 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 2","Leaf 5",0,1,0,0,0,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:20:33 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 2","Leaf 6",0,1,0,1,0.01,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:21:26 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 3","Leaf 1",0,0,0,1,0.3,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:22:14 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 3","Leaf 2",0,0,0,1,0.1,0,12,152.98905358,-25.44817137,""
"30/06/2015","10:22:41 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 3","Leaf 2",0,0,0,1,0.03,0,15,152.98905358,-25.44817137,""
"30/06/2015","10:23:14 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 3","Leaf 4",0,0,0,1,0.02,0,4,152.98905358,-25.44817137,""
"30/06/2015","10:23:36 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 3","Leaf 5",0,0,0,1,0.15,0,15,152.98905358,-25.44817137,""
"30/06/2015","10:23:51 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 3","Leaf 6",0,0,0,0,0,0,2,152.98905358,-25.44817137,""
"30/06/2015","10:25:00 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 4","Leaf 1",1,0,1,1,0.05,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:25:24 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 4","Leaf 2",1,0,1,1,0.7,1,0,152.98905358,-25.44817137,""
"30/06/2015","10:25:38 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 4","Leaf 3",1,0,1,1,0.45,0,2,152.98905358,-25.44817137,""
"30/06/2015","10:26:10 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 4","Leaf 3",1,0,1,1,0.38,1,0,152.98905358,-25.44817137,""
"30/06/2015","10:26:26 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 4","Leaf 4",1,0,1,0,0,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:26:46 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 4","Leaf 5",1,0,1,0,0,1,0,152.98905358,-25.44817137,""
"30/06/2015","10:27:09 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 4","Leaf 6",1,0,1,0,0.02,3,0,152.98905358,-25.44817137,""
"30/06/2015","10:27:47 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 5","Leaf 1",0,0,0,0,0,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:28:00 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 5","Leaf 2",0,0,0,0,0,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:28:16 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 5","Leaf 3",0,0,0,0,0,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:28:25 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 5","Leaf 4",0,0,0,0,0,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:28:38 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 5","Leaf 5",0,0,0,0,0.04,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:28:54 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 5","Leaf 6",0,0,0,0,0,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:29:38 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 6","Leaf 1",0,0,1,1,0.6,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:29:49 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 6","Leaf 2",0,0,1,1,0.15,0,0,152.98905358,-25.44817137,""
"30/06/2015","10:30:07 AM","blob","Landward - Creek","Low",1,"Quarter 1",2,1.1,2.3,"Stem 6","Leaf 3",0,0,1,1,0.2,0,0,152.98905358,-25.44817137,""
