"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"30/06/2015","10:17:53 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 1","Leaf 1",0,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:18:33 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 1","Leaf 2",0,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:18:49 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 1","Leaf 3",0,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:19:03 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 1","Leaf 4",0,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:19:19 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 1","Leaf 5",0,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:19:49 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 1","Leaf 6",0,0,0,0,0.01,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:20:39 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 2","Leaf 1",1,1,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:21:11 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 2","Leaf 2",1,1,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:21:23 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 2","Leaf 3",1,1,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:22:05 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 2","Leaf 4",1,1,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:22:17 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 2","Leaf 5",1,1,0,0,NA,NA,NA,152.9896726,-25.44870062,NA
"30/06/2015","10:22:49 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 3","Leaf 1",1,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:23:00 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 3","Leaf 2",1,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:23:25 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 3","Leaf 3",1,0,0,1,0.05,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:23:52 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 3","Leaf 3",1,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:24:06 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 3","Leaf 4",1,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:24:42 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 4","Leaf 1",1,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:24:52 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 4","Leaf 2",1,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:25:11 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 4","Leaf 3",1,0,0,0,0.2,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:25:30 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 4","Leaf 4",1,0,0,1,0.05,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:25:54 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 4","Leaf 4",1,0,0,1,0.05,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:26:05 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 4","Leaf 5",1,0,0,1,0.05,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:26:30 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 4","Leaf 6",1,0,0,1,0.05,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:27:14 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 5","Leaf 1",0,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:27:22 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 5","Leaf 2",0,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:27:28 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 5","Leaf 3",0,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:27:39 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 5","Leaf 4",0,0,0,0,0.01,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:27:55 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 5","Leaf 5",0,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:28:08 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 5","Leaf 6",0,0,0,0,0.01,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:28:36 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 6","Leaf 1",1,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:28:50 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 6","Leaf 2",1,0,0,0,0.01,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:29:08 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 6","Leaf 3",1,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:29:43 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 6","Leaf 4",1,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:30:17 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 7","Leaf 1",1,0,0,0,0,0,0,152.9896726,-25.44870062,NA
"30/06/2015","10:30:39 AM","blob2","Landward - Creek","Low",0,"Quarter 1",93,0.5,4,"Stem 7","Leaf 2",1,0,0,0,0,0,1,152.9896726,-25.44870062,NA
