"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"30/06/2015","11:58:52 AM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 1","Leaf 1",0,0,0,0,0,0,0,152.98814637,-25.44767155,""
"30/06/2015","11:58:57 AM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 1","Leaf 2",0,0,0,0,0,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:00:18 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 1","Leaf 3",0,0,0,0,0.15,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:00:36 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 1","Leaf 4",0,0,0,0,1,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:00:54 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 1","Leaf 5",0,0,0,0,0.01,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:01:08 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 1","Leaf 6",0,0,0,0,0.01,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:02:12 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 2","Leaf 1",0,0,0,0,0,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:02:15 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 2","Leaf 2",0,0,0,0,0,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:02:52 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 2","Leaf 3",0,0,0,0,0,0,1,152.98814637,-25.44767155,""
"30/06/2015","12:03:00 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 2","Leaf 4",0,0,0,0,0,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:03:05 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 2","Leaf 5",0,0,0,0,0,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:03:10 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 2","Leaf 6",0,0,0,0,0,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:03:56 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 3","Leaf 1",1,0,0,0,0,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:04:00 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 3","Leaf 2",1,0,0,0,0,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:04:25 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 3","Leaf 3",1,0,0,0,0,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:04:46 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 3","Leaf 5",1,0,0,0,0.01,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:05:09 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 3","Leaf 6",1,0,0,0,0,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:06:03 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 4","Leaf 1",1,0,0,0,0.05,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:06:19 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 4","Leaf 2",1,0,0,0,0.05,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:06:42 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 4","Leaf 3",1,0,0,0,0.02,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:07:01 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 4","Leaf 4",1,0,0,0,0.01,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:07:32 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 4","Leaf 5",1,0,0,0,0.3,0,0,152.98814637,-25.44767155,""
"30/06/2015","12:07:39 PM","emu","Seaward","High",90,"Quarter 1",1.62,1,7.4,"Stem 4","Leaf 6",1,0,0,0,0.4,0,0,152.98814637,-25.44767155,""
