"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"30/06/2015","10:15:26 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 1","Leaf 1",1,0,0,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:15:52 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 1","Leaf 2",1,0,0,0,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:16:39 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 1","Leaf 3",1,0,0,0,0.02,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:17:42 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 1","Leaf 4",1,0,0,1,0.03,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:18:37 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 1","Leaf 5",1,0,0,1,0.02,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:18:53 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 1","Leaf 6",1,0,0,0,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:21:12 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 2","Leaf 1",0,0,1,1,0.01,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:21:32 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 2","Leaf 2",0,0,1,1,0.2,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:22:10 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 2","Leaf 2",0,0,1,1,0.2,3,0,152.9889443,-25.44829881,NA
"30/06/2015","10:22:57 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 2","Leaf 3",0,0,1,0,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:27:00 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 2","Leaf 4",0,0,1,1,0.02,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:27:26 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 2","Leaf 5",0,0,1,1,0.06,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:27:51 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 2","Leaf 6",0,0,1,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:28:58 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 3","Leaf 1",0,1,1,1,0.02,1,0,152.9889443,-25.44829881,NA
"30/06/2015","10:29:19 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 3","Leaf 2",0,1,1,1,0.2,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:29:35 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 3","Leaf 3",0,1,1,1,0.2,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:29:49 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 3","Leaf 4",0,1,1,1,0.05,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:30:05 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 3","Leaf 5",0,1,1,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:30:18 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 3","Leaf 6",0,1,1,1,0.18,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:30:59 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 4","Leaf 1",1,1,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:31:17 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 4","Leaf 2",1,1,0,0,0.03,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:31:32 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 4","Leaf 3",1,1,0,1,0.05,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:31:47 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 4","Leaf 4",1,1,0,0,0.01,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:32:02 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 4","Leaf 5",1,1,0,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:32:17 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 4","Leaf 6",1,1,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:33:10 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 5","Leaf 1",1,1,0,1,0.5,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:33:19 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 5","Leaf 2",1,1,0,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:33:31 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 5","Leaf 3",1,1,0,1,0.07,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:33:44 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 5","Leaf 4",1,1,0,0,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:33:54 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 5","Leaf 5",1,1,0,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:34:09 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 5","Leaf 6",1,1,0,1,0.05,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:34:46 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 6","Leaf 1",0,1,0,1,0.02,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:34:59 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 6","Leaf 2",0,1,0,1,0.02,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:35:30 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 6","Leaf 3",0,1,0,1,0.15,1,7,152.9889443,-25.44829881,NA
"30/06/2015","10:35:48 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 6","Leaf 4",0,1,0,1,0.05,1,16,152.9889443,-25.44829881,NA
"30/06/2015","10:36:05 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 6","Leaf 3",0,1,0,1,0.01,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:36:32 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 6","Leaf 4",0,1,0,1,0.02,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:37:18 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 6","Leaf 5",0,1,0,1,0.02,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:37:57 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 7","Leaf 1",1,0,0,1,0.5,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:38:04 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 7","Leaf 2",1,0,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:38:16 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 7","Leaf 3",1,0,0,1,0.03,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:38:30 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 7","Leaf 4",1,0,0,1,0.25,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:38:46 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 7","Leaf 5",1,0,0,1,0.2,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:39:08 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 7","Leaf 6",1,0,0,1,0.01,0,8,152.9889443,-25.44829881,NA
"30/06/2015","10:39:44 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 8","Leaf 1",1,0,0,1,0.01,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:39:59 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 8","Leaf 2",1,0,0,0,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:40:11 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 8","Leaf 3",1,0,0,1,0.01,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:40:30 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 8","Leaf 4",1,0,0,1,0.15,0,2,152.9889443,-25.44829881,NA
"30/06/2015","10:40:48 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 8","Leaf 5",1,0,0,0,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:41:38 AM","tues","Landward - Creek","Low",0,"Quarter 1",1,0.6,5.5,"Stem 8","Leaf 6",1,0,0,1,0.8,2,0,152.9889443,-25.44829881,NA
"30/06/2015","10:44:44 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 1","Leaf 1",1,0,0,1,0.03,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:44:56 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 1","Leaf 2",1,0,0,1,0.05,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:45:06 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 1","Leaf 3",1,0,0,1,0.3,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:45:20 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 1","Leaf 4",1,0,0,1,0.35,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:45:30 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 1","Leaf 5",1,0,0,1,0.08,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:45:47 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 1","Leaf 6",1,0,0,1,0.02,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:46:20 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 2","Leaf 1",1,0,0,1,0.5,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:46:33 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 2","Leaf 2",1,0,0,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:46:41 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 2","Leaf 3",1,0,0,1,0.08,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:46:50 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 2","Leaf 4",1,0,0,0,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:47:00 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 2","Leaf 5",1,0,0,0,0.02,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:47:11 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 2","Leaf 6",1,0,0,1,0.1,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:47:44 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 3","Leaf 1",0,0,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:47:53 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 3","Leaf 2",0,0,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:48:02 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 3","Leaf 3",0,0,0,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:48:09 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 3","Leaf 4",0,0,0,1,0.05,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:48:17 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 3","Leaf 6",0,0,0,0,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:48:44 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 3","Leaf 5",0,0,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:49:05 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 4","Leaf 1",0,0,0,1,0.4,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:49:12 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 4","Leaf 2",0,0,0,1,0.08,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:49:25 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 4","Leaf 3",0,0,0,1,0.03,0,1,152.9889443,-25.44829881,NA
"30/06/2015","10:49:40 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 4","Leaf 4",0,0,0,1,0.05,0,6,152.9889443,-25.44829881,NA
"30/06/2015","10:49:53 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 4","Leaf 5",0,0,0,1,0.03,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:50:01 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 4","Leaf 6",0,0,0,1,0.05,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:50:32 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 5","Leaf 1",1,1,0,1,0.1,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:50:38 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 5","Leaf 2",1,1,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:50:48 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 5","Leaf 3",1,1,0,1,0.03,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:50:57 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 5","Leaf 4",1,1,0,1,0.01,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:51:08 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 5","Leaf 5",1,1,0,1,0.35,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:51:18 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 5","Leaf 6",1,1,0,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:51:43 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 6","Leaf 1",1,0,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:51:53 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 6","Leaf 2",1,0,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:52:05 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 6","Leaf 3",1,0,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:52:31 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 6","Leaf 4",1,0,0,1,0,0,1,152.9889443,-25.44829881,NA
"30/06/2015","10:52:40 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 6","Leaf 5",1,0,0,1,0.08,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:52:54 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 6","Leaf 6",1,0,0,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:53:35 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 7","Leaf 1",0,0,0,1,0.25,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:53:44 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 7","Leaf 2",0,0,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:53:50 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 7","Leaf 3",0,0,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:53:59 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 7","Leaf 4",0,0,0,0,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:54:12 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 7","Leaf 5",0,0,0,1,0.2,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:54:21 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 7","Leaf 6",0,0,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:54:42 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 8","Leaf 1",1,0,0,1,0.25,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:54:56 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 8","Leaf 2",1,0,0,1,0.02,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:55:09 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 8","Leaf 3",1,0,0,1,0.2,0,1,152.9889443,-25.44829881,NA
"30/06/2015","10:55:19 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 8","Leaf 4",1,0,0,1,0.15,0,2,152.9889443,-25.44829881,NA
"30/06/2015","10:55:39 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 8","Leaf 5",1,0,0,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","10:55:53 AM","tues","Landward - Creek","Low",0,"Quarter 2",8.6,0.46,5,"Stem 8","Leaf 6",1,0,0,1,0.03,0,1,152.9889443,-25.44829881,NA
"30/06/2015","11:00:12 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 1","Leaf 1",1,0,0,1,0.8,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:00:20 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 1","Leaf 2",1,0,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:00:41 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 1","Leaf 3",1,0,0,1,0.65,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:00:52 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 1","Leaf 4",1,0,0,1,0.1,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:00:59 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 1","Leaf 5",1,0,0,1,0.02,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:01:12 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 1","Leaf 6",1,0,0,1,0.15,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:02:18 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 2","Leaf 1",0,1,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:02:22 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 2","Leaf 2",0,1,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:02:29 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 2","Leaf 3",0,1,0,1,0.03,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:02:38 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 2","Leaf 4",0,1,0,1,0,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:02:50 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 2","Leaf 5",0,1,0,1,0.03,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:03:06 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 2","Leaf 6",0,1,0,1,0.03,0,0,152.9889443,-25.44829881,NA
"30/06/2015","11:03:58 AM","tues","Landward - Creek","Low",0,"Quarter 3",6.4,0.72,10,"Stem 3","Leaf 1",1,1,0,1,0.3,0,0,152.9889443,-25.44829881,NA
