"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"27/06/2015","2:30:57 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 1","Leaf 1",0,1,0,1,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:31:03 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 1","Leaf 2",0,1,0,0,0,1,0,152.9888559,-25.44845609,NA
"27/06/2015","2:31:12 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 1","Leaf 3",0,1,0,0,0.2,NA,NA,152.9888559,-25.44845609,NA
"27/06/2015","2:31:24 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 1","Leaf 3",0,1,0,0,0.05,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:31:27 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 1","Leaf 4",0,1,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:31:37 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 1","Leaf 5",0,1,0,0,0,1,0,152.9888559,-25.44845609,NA
"27/06/2015","2:31:44 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 1","Leaf 6",0,1,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:32:04 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 2","Leaf 1",0,0,0,1,0.7,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:32:09 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 2","Leaf 2",0,0,0,1,0.7,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:32:12 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 2","Leaf 3",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:32:13 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 2","Leaf 4",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:32:22 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 2","Leaf 5",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:32:25 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 2","Leaf 6",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:32:44 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 3","Leaf 1",1,0,0,0,0,1,0,152.9888559,-25.44845609,NA
"27/06/2015","2:32:49 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 3","Leaf 2",1,0,0,0,0,0,1,152.9888559,-25.44845609,NA
"27/06/2015","2:32:52 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 3","Leaf 3",1,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:33:04 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 3","Leaf 4",1,0,0,1,0.25,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:33:17 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 3","Leaf 5",1,0,0,0,0,1,1,152.9888559,-25.44845609,NA
"27/06/2015","2:33:25 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 3","Leaf 6",1,0,0,0,0,1,2,152.9888559,-25.44845609,NA
"27/06/2015","2:33:42 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 4","Leaf 1",0,0,0,0,0,1,0,152.9888559,-25.44845609,NA
"27/06/2015","2:33:44 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 4","Leaf 2",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:33:50 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 4","Leaf 3",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:33:55 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 4","Leaf 4",0,0,0,0,0.05,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:33:57 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 4","Leaf 5",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:34:05 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 4","Leaf 6",0,0,0,0,0.1,1,3,152.9888559,-25.44845609,NA
"27/06/2015","2:34:20 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 5","Leaf 1",1,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:34:25 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 5","Leaf 2",1,0,0,0,0.9,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:34:33 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 5","Leaf 3",1,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:34:39 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 5","Leaf 4",1,0,0,0,0.6,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:34:44 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 5","Leaf 5",1,0,0,1,0,1,0,152.9888559,-25.44845609,NA
"27/06/2015","2:34:48 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 5","Leaf 6",1,0,0,1,0,1,0,152.9888559,-25.44845609,NA
"27/06/2015","2:35:17 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 6","Leaf 1",0,0,0,0,0,3,0,152.9888559,-25.44845609,NA
"27/06/2015","2:35:24 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 6","Leaf 2",0,0,0,0,0.1,3,0,152.9888559,-25.44845609,NA
"27/06/2015","2:35:37 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 6","Leaf 3",0,0,0,0,0.6,2,0,152.9888559,-25.44845609,NA
"27/06/2015","2:35:41 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 6","Leaf 4",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:35:45 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 6","Leaf 5",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:35:50 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 6","Leaf 6",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:36:34 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 7","Leaf 1",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:36:35 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 7","Leaf 2",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:36:43 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 7","Leaf 3",0,0,0,1,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:36:45 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 7","Leaf 4",0,0,0,1,NA,NA,NA,152.9888559,-25.44845609,NA
"27/06/2015","2:36:58 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 7","Leaf 3",0,0,0,1,0.7,1,0,152.9888559,-25.44845609,NA
"27/06/2015","2:37:03 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 7","Leaf 4",0,0,0,1,0.7,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:37:14 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 7","Leaf 5",0,0,0,0,0,2,0,152.9888559,-25.44845609,NA
"27/06/2015","2:37:17 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 7","Leaf 6",0,0,0,0,0,1,0,152.9888559,-25.44845609,NA
"27/06/2015","2:37:40 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 8","Leaf 1",0,0,0,0,0.1,3,0,152.9888559,-25.44845609,NA
"27/06/2015","2:38:01 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 8","Leaf 2",0,0,0,0,0,0,0,152.9888559,-25.44845609,NA
"27/06/2015","2:38:10 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 8","Leaf 3",0,0,0,0,0,0,4,152.9888559,-25.44845609,NA
"27/06/2015","2:38:16 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 8","Leaf 4",0,0,0,1,0,4,0,152.9888559,-25.44845609,NA
"27/06/2015","2:38:18 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 8","Leaf 5",0,0,0,0,NA,NA,NA,152.9888559,-25.44845609,NA
"27/06/2015","2:38:27 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 8","Leaf 4",0,0,0,1,0.2,4,NA,152.9888559,-25.44845609,NA
"27/06/2015","2:38:33 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 8","Leaf 5",0,0,0,1,0,2,0,152.9888559,-25.44845609,NA
"27/06/2015","2:38:40 PM","derek 3","Landward - Creek","High",88,"Quarter 4",7.2,1.6,31,"Stem 8","Leaf 6",0,0,0,1,0.3,0,0,153.0914375,-25.59911745,NA
