"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"27/06/2015","1:22:29 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 1","Leaf 1",1,0,0,0,0,0,5,152.9894918,-25.44887266,NA
"27/06/2015","1:24:02 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 1","Leaf 2",1,0,0,0,0,9,0,152.9894918,-25.44887266,NA
"27/06/2015","1:24:07 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 1","Leaf 3",1,0,0,0,0,0,0,152.9894918,-25.44887266,NA
"27/06/2015","1:24:53 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 1","Leaf 4",1,0,0,0,0,0,0,152.9894918,-25.44887266,NA
"27/06/2015","1:25:02 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 1","Leaf 5",1,0,0,0,0,2,0,152.9894918,-25.44887266,NA
"27/06/2015","1:25:20 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 1","Leaf 6",1,0,0,0,0.05,1,0,152.9894918,-25.44887266,NA
"27/06/2015","1:25:36 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 1","Leaf 5",1,0,0,1,0.1,0,2,152.9894918,-25.44887266,NA
"27/06/2015","1:25:47 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 1","Leaf 5",1,0,0,1,0,0,0,152.9894918,-25.44887266,NA
"27/06/2015","1:25:59 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 1","Leaf 5",1,0,0,1,0.1,0,2,152.9894918,-25.44887266,NA
"27/06/2015","1:26:16 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 1","Leaf 6",1,0,0,0,0,0,0,152.9894918,-25.44887266,NA
"27/06/2015","1:27:13 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 2","Leaf 1",1,1,1,0,0,4,0,152.9894918,-25.44887266,NA
"27/06/2015","1:27:33 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 2","Leaf 2",1,1,1,0,0,10,0,152.9894918,-25.44887266,NA
"27/06/2015","1:27:44 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 2","Leaf 3",1,1,1,0,0,0,0,152.9894918,-25.44887266,NA
"27/06/2015","1:27:59 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 2","Leaf 4",1,1,1,0,0.05,3,0,152.9894918,-25.44887266,NA
"27/06/2015","1:28:07 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 2","Leaf 5",1,1,1,0,0,0,0,152.9894918,-25.44887266,NA
"27/06/2015","1:28:21 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 2","Leaf 6",1,1,1,0,0,3,0,152.9894918,-25.44887266,NA
"27/06/2015","1:28:51 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 3","Leaf 1",0,1,0,0,0,2,0,152.9894918,-25.44887266,NA
"27/06/2015","1:29:02 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 3","Leaf 2",0,1,0,0,0,0,6,152.9894918,-25.44887266,NA
"27/06/2015","1:29:16 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 3","Leaf 3",0,1,0,0,0,2,1,152.9894918,-25.44887266,NA
"27/06/2015","1:29:40 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 3","Leaf 4",0,1,0,0,0,0,10,152.9894918,-25.44887266,NA
"27/06/2015","1:30:12 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 3","Leaf 5",0,1,0,0,0,0,12,152.9894918,-25.44887266,NA
"27/06/2015","1:30:26 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 3","Leaf 5",0,1,0,0,0,1,0,152.9894918,-25.44887266,NA
"27/06/2015","1:30:48 PM","derek","Landward - Creek","Low",7.2,"Quarter 1",0.1,1.2,20,"Stem 3","Leaf 6",0,1,0,1,0.15,2,5,152.9894809,-25.44887417,NA
"27/06/2015","1:34:36 PM","derek","Landward - Creek","Low",7,"Quarter 1",0.1,1.1,20,"Stem 4","Leaf 1",0,0,0,0,0,4,30,152.9894809,-25.44887441,NA
"27/06/2015","1:34:50 PM","derek","Landward - Creek","Low",7,"Quarter 1",0.1,1.1,20,"Stem 4","Leaf 2",0,0,0,1,0.4,1,7,152.9894809,-25.44887441,NA
"27/06/2015","1:35:07 PM","derek","Landward - Creek","Low",7,"Quarter 1",0.1,1.1,20,"Stem 4","Leaf 3",0,0,0,0,0.05,2,3,152.9894809,-25.44887441,NA
"27/06/2015","1:35:23 PM","derek","Landward - Creek","Low",7,"Quarter 1",0.1,1.1,20,"Stem 4","Leaf 4",0,0,0,0,0.05,2,0,152.9894809,-25.44887441,NA
"27/06/2015","1:36:13 PM","derek","Landward - Creek","Low",7,"Quarter 1",0.1,1.1,20,"Stem 4","Leaf 5",0,0,0,1,0.1,3,0,152.9894809,-25.44887441,NA
"27/06/2015","1:36:30 PM","derek","Landward - Creek","Low",7,"Quarter 1",0.1,1.1,20,"Stem 4","Leaf 6",0,0,0,1,0.1,1,0,152.9894809,-25.44887441,NA
