"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"27/06/2015","10:41:31 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 1","Leaf 1",1,1,0,0,0,1,0,152.98815296,-25.44715783,""
"27/06/2015","10:42:43 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 1","Leaf 2",1,1,0,0,0,1,0,152.98815296,-25.44715783,""
"27/06/2015","10:43:21 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 1","Leaf 3",1,1,0,0,0,0,1,152.98815296,-25.44715783,""
"27/06/2015","10:43:42 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 1","Leaf 4",1,1,0,0,0,1,0,152.98815296,-25.44715783,""
"27/06/2015","10:44:12 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 1","Leaf 5",1,1,0,1,0,0,0,152.98815296,-25.44715783,""
"27/06/2015","10:44:59 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 1","Leaf 6",1,1,0,0,0,4,0,152.98815296,-25.44715783,""
"27/06/2015","10:47:31 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 2","Leaf 1",1,1,1,0,0.1,23,0,152.98815296,-25.44715783,""
"27/06/2015","10:47:55 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 2","Leaf 2",1,1,1,1,0,4,0,152.98815296,-25.44715783,""
"27/06/2015","10:48:17 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 2","Leaf 3",1,1,1,0,0,2,0,152.98815296,-25.44715783,""
"27/06/2015","10:48:34 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 2","Leaf 4",1,1,1,0,0,0,0,152.98815296,-25.44715783,""
"27/06/2015","10:49:03 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 2","Leaf 5",1,1,1,0,0.1,0,0,152.98815296,-25.44715783,""
"27/06/2015","10:49:59 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 2","Leaf 6",1,1,1,0,0.3,7,0,152.98815296,-25.44715783,""
"27/06/2015","10:52:14 AM","red baron a","Seaward","Low",17,"Quarter 1",2,5,85,"Stem 3","Leaf 1",1,1,1,1,0,2,0,152.98815296,-25.44715783,""
