"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"28/06/2015","10:10:51 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 2","Leaf 1",1,0,0,0,0,0,0,152.98944148,-25.448839,""
"28/06/2015","10:11:09 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 2","Leaf 2",1,0,0,0,0,0,0,152.98944148,-25.448839,""
"28/06/2015","10:12:25 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 2","Leaf 3",1,0,0,1,0.05,0,35,152.98944148,-25.448839,""
"28/06/2015","10:13:09 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 2","Leaf 4",1,0,0,1,0.05,1,10,152.98944148,-25.448839,""
"28/06/2015","10:13:45 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 2","Leaf 5",1,0,0,1,0.2,0,17,152.98944148,-25.448839,""
"28/06/2015","10:14:23 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 2","Leaf 6",1,0,0,0,0,0,27,152.98944148,-25.448839,""
"28/06/2015","10:14:48 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 2","Leaf 1",1,0,0,0,0,0,0,152.98944148,-25.448839,""
"28/06/2015","10:15:53 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 1","Leaf 1",1,0,0,1,0.02,0,18,152.98944148,-25.448839,""
"28/06/2015","10:16:17 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 1","Leaf 2",1,0,0,0,0,0,19,152.98944148,-25.448839,""
"28/06/2015","10:16:46 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 1","Leaf 3",1,0,0,0,0,0,43,152.98944148,-25.448839,""
"28/06/2015","10:17:08 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 1","Leaf 4",1,0,0,0,0,0,17,152.98944148,-25.448839,""
"28/06/2015","10:17:16 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 1","Leaf 5",1,0,0,0,NA,NA,NA,152.98944148,-25.448839,""
"28/06/2015","10:17:18 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 1","Leaf 6",1,0,0,0,NA,NA,NA,152.98944148,-25.448839,""
"28/06/2015","10:18:22 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 3","Leaf 1",1,0,0,0,0,0,39,152.98944148,-25.448839,""
"28/06/2015","10:18:49 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 3","Leaf 2",1,0,0,0,0,0,55,152.98944148,-25.448839,""
"28/06/2015","10:19:08 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 3","Leaf 4",1,0,0,1,0.25,0,5,152.98944148,-25.448839,""
"28/06/2015","10:19:44 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 4","Leaf 1",0,0,0,1,0.15,0,16,152.98944148,-25.448839,""
"28/06/2015","10:20:05 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 4","Leaf 2",0,0,0,1,0.15,0,14,152.98944148,-25.448839,""
"28/06/2015","10:20:20 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 4","Leaf 3",0,0,0,0,0,0,9,152.98944148,-25.448839,""
"28/06/2015","10:20:44 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 4","Leaf 4",0,0,0,0,0,0,7,152.98944148,-25.448839,""
"28/06/2015","10:21:20 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 5","Leaf 1",0,0,0,0,0,0,0,152.98944148,-25.448839,""
"28/06/2015","10:21:29 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 5","Leaf 2",0,0,0,0,0,0,0,152.98944148,-25.448839,""
"28/06/2015","10:21:43 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 5","Leaf 3",0,0,0,1,0.15,0,3,152.98944148,-25.448839,""
"28/06/2015","10:21:55 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 5","Leaf 4",0,0,0,1,0.1,0,11,152.98944148,-25.448839,""
"28/06/2015","10:22:15 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 5","Leaf 5",0,0,0,1,0.05,0,14,152.98944148,-25.448839,""
"28/06/2015","10:22:34 AM","blue yellow 1","Landward - Creek","Low",9,"Quarter 1",0.7,0.5,17,"Stem 5","Leaf 6",0,0,0,0,0,0,15,152.98944148,-25.448839,""
