"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"28/06/2015","12:11:41 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 1","Leaf 1",1,1,0,1,0.5,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:11:57 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 1","Leaf 2",1,1,0,1,0.1,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:12:03 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 1","Leaf 3",1,1,0,1,0.1,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:12:12 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 1","Leaf 4",1,1,0,1,0.05,NA,NA,152.98794432,-25.44701724,""
"28/06/2015","12:12:21 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 1","Leaf 4",1,1,0,1,0.3,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:12:31 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 1","Leaf 5",1,1,0,0,0.1,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:12:46 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 1","Leaf 6",1,1,0,0,0.7,1,0,152.98794432,-25.44701724,""
"28/06/2015","12:14:57 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 2","Leaf 1",1,0,1,1,0.8,0,3,152.98794432,-25.44701724,""
"28/06/2015","12:15:23 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 2","Leaf 2",1,0,1,1,0.85,0,2,152.98794432,-25.44701724,""
"28/06/2015","12:15:46 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 2","Leaf 3",1,0,1,1,0.02,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:16:48 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 2","Leaf 4",1,0,1,0,0.1,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:17:06 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 2","Leaf 4",1,0,1,0,0.2,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:17:25 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 2","Leaf 5",1,0,1,0,0.6,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:18:13 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 2","Leaf 6",1,0,1,0,0.02,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:18:50 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 3","Leaf 1",0,1,1,1,0.3,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:19:02 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 3","Leaf 2",0,1,1,0,0.03,1,0,152.98794432,-25.44701724,""
"28/06/2015","12:19:16 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 3","Leaf 3",0,1,1,1,0.3,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:19:25 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 3","Leaf 4",0,1,1,0,0.15,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:19:37 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 3","Leaf 5",0,1,1,1,0.4,1,0,152.98794432,-25.44701724,""
"28/06/2015","12:19:51 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 3","Leaf 6",0,1,1,1,0.6,0,0,152.98794432,-25.44701724,""
"28/06/2015","12:20:03 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 3","Leaf 5",0,1,1,1,0.3,1,0,152.98794432,-25.44701724,""
"28/06/2015","12:21:39 PM","gary","Seaward","Low",15,"Quarter 1",8.8,7,165,"Stem 4","Leaf 1",1,0,0,0,0.7,0,0,152.98794432,-25.44701724,""
