"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"28/06/2015","9:52:36 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 1","Leaf 1",1,0,0,1,0.15,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:52:53 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 1","Leaf 2",1,0,0,1,0.1,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:53:28 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 1","Leaf 3",1,0,0,0,0,0,3,152.98894808,-25.44823919,""
"28/06/2015","9:54:03 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 1","Leaf 4",1,0,0,1,0.1,2,0,152.98894808,-25.44823919,""
"28/06/2015","9:54:20 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 1","Leaf 5",1,0,0,0,0,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:54:56 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 1","Leaf 6",1,0,0,0,1,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:56:12 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 2","Leaf 1",1,1,0,1,0.01,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:56:35 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 2","Leaf 2",1,1,0,1,0.01,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:56:57 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 2","Leaf 3",1,1,0,1,0,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:57:13 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 2","Leaf 3",1,1,0,1,0.01,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:57:55 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 2","Leaf 4",1,1,0,0,0,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:58:10 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 2","Leaf 5",1,1,0,0,0,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:58:27 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 2","Leaf 6",1,1,0,0,0,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:59:02 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 3","Leaf 1",0,0,0,1,0.25,1,0,152.98894808,-25.44823919,""
"28/06/2015","9:59:12 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 3","Leaf 2",0,0,0,0,0,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:59:32 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 3","Leaf 3",0,0,0,0,0.3,0,0,152.98894808,-25.44823919,""
"28/06/2015","9:59:41 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 3","Leaf 4",0,0,0,0,0,1,0,152.98894808,-25.44823919,""
"28/06/2015","10:00:52 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 3","Leaf 5",0,0,0,1,0.3,0,0,152.98894808,-25.44823919,""
"28/06/2015","10:01:13 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 3","Leaf 6",0,0,0,0,0,0,0,152.98894808,-25.44823919,""
"28/06/2015","10:01:52 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 4","Leaf 1",1,1,0,0,0,0,0,152.98894808,-25.44823919,""
"28/06/2015","10:02:19 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 4","Leaf 2",1,1,0,1,0.01,0,0,152.98894808,-25.44823919,""
"28/06/2015","10:02:36 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 4","Leaf 3",1,1,0,0,0,0,0,152.98894808,-25.44823919,""
"28/06/2015","10:02:45 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 4","Leaf 4",1,1,0,0,0,0,0,152.98894808,-25.44823919,""
"28/06/2015","10:03:37 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 4","Leaf 5",1,1,0,0,0,0,3,152.98894808,-25.44823919,""
"28/06/2015","10:03:52 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 4","Leaf 5",1,1,0,0,0,0,3,152.98894808,-25.44823919,""
"28/06/2015","10:04:02 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 4","Leaf 6",1,1,0,1,0.01,0,0,152.98894808,-25.44823919,""
"28/06/2015","10:04:42 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 5","Leaf 1",1,0,0,1,0.1,0,0,152.98894808,-25.44823919,""
"28/06/2015","10:04:55 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 5","Leaf 2",1,0,0,1,0.1,1,0,152.98894808,-25.44823919,""
"28/06/2015","10:05:07 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 5","Leaf 2",1,0,0,1,0.1,3,0,152.98894808,-25.44823919,""
"28/06/2015","10:05:21 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 5","Leaf 3",1,0,0,1,0.04,1,0,152.98894808,-25.44823919,""
"28/06/2015","10:05:39 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 5","Leaf 4",1,0,0,1,0.01,0,0,152.98894808,-25.44823919,""
"28/06/2015","10:06:01 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 5","Leaf 5",1,0,0,1,0.08,1,0,152.98894808,-25.44823919,""
"28/06/2015","10:06:08 AM","three","Landward - Creek","Low",1,"Quarter 1",2.6,0.22,16,"Stem 5","Leaf 6",1,0,0,1,0.01,0,0,152.98894808,-25.44823919,""
