"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"28/06/2015","10:25:39 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 1",0.35,0.17,15,"Stem 8","Apical Bud",0,0,0,0,0,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:26:06 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 1",0.35,0.17,15,"Stem 8","Apical Bud",0,0,0,0,NA,NA,NA,152.98945644,-25.44886863,""
"28/06/2015","10:27:03 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 1",0.2,0.17,15,"Stem 8","Leaf 1",0,0,0,0,0,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:27:30 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 1",0.2,0.17,15,"Stem 8","Leaf 2",0,0,0,0,0,0,1,152.98945644,-25.44886863,""
"28/06/2015","10:27:56 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 1",0.2,0.17,15,"Stem 8","Leaf 3",0,0,0,1,0.15,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:28:13 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 1",0.2,0.17,15,"Stem 8","Leaf 4",0,0,0,1,0.15,0,33,152.98945644,-25.44886863,""
"28/06/2015","10:28:56 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 1",0.2,0.17,15,"Stem 8","Leaf 5",0,0,0,0,0,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:29:23 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 1",0.2,0.17,15,"Stem 8","Leaf 6",0,0,0,0,0,0,1,152.98945644,-25.44886863,""
"28/06/2015","10:30:44 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 2",0.45,0.2,25,"Stem 1","Leaf 1",0,1,0,1,0.01,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:30:59 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 2",0.45,0.2,25,"Stem 1","Leaf 2",0,1,0,1,0.15,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:31:17 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 2",0.45,0.2,25,"Stem 1","Leaf 3",0,1,0,1,0.15,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:31:32 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 2",0.45,0.2,25,"Stem 1","Leaf 4",0,1,0,1,0.5,0,1,152.98945644,-25.44886863,""
"28/06/2015","10:31:46 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 2",0.45,0.2,25,"Stem 1","Leaf 5",0,1,0,1,0.1,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:31:54 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 2",0.45,0.2,25,"Stem 1","Leaf 6",0,1,0,1,0.5,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:32:34 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 2",0.45,0.2,25,"Stem 2","Leaf 1",1,0,0,0,0,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:32:43 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 2",0.45,0.2,25,"Stem 2","Leaf 2",1,0,0,1,0.02,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:32:51 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 2",0.45,0.2,25,"Stem 2","Leaf 3",1,0,0,1,0.05,0,0,152.98945644,-25.44886863,""
"28/06/2015","10:33:02 AM","yellow blue 1","Landward - Creek","Low",20,"Quarter 2",0.45,0.2,25,"Stem 2","Leaf 4",1,0,0,1,0.05,0,0,152.98945644,-25.44886863,""
