"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"4/07/2015","1:07:51 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 1","Leaf 1",0,1,0,1,0,0,0,152.98778385,-25.44816936,""
"4/07/2015","1:09:07 PM","pizza","Seaward","High",100,"Quarter 1",3.1,2,19,"Stem 1","Leaf 2",0,1,0,1,0.3,0,0,152.98778385,-25.44816936,""
"4/07/2015","1:10:54 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 1","Leaf 3",0,0,0,1,1,0,0,152.98780816,-25.44817035,""
"4/07/2015","1:11:04 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 1","Leaf 2",0,0,0,1,0.3,0,0,152.98780816,-25.44817035,""
"4/07/2015","1:11:44 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 1","Leaf 5",0,0,0,0,0.02,0,0,152.98780816,-25.44817035,""
"4/07/2015","1:12:10 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 1","Leaf 6",0,0,0,1,0.05,1,0,152.98780816,-25.44817035,""
"4/07/2015","1:12:22 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 1","Leaf 4",0,0,0,1,1,0,0,152.98780816,-25.44817035,""
"4/07/2015","1:13:55 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 2","Leaf 1",0,1,0,1,0.07,0,0,152.98780816,-25.44817035,""
"4/07/2015","1:14:06 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 2","Leaf 2",0,1,0,1,0.01,0,0,152.98780816,-25.44817035,""
"4/07/2015","1:14:34 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 2","Leaf 3",0,1,0,1,0,0,0,152.98780816,-25.44817035,""
"4/07/2015","1:15:09 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 2","Leaf 4",0,1,0,0,0.6,1,0,152.98780816,-25.44817035,""
"4/07/2015","1:15:20 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 2","Leaf 5",0,1,0,0,0.4,0,0,152.98780816,-25.44817035,""
"4/07/2015","1:15:32 PM","pizza","Seaward","High",100,"Quarter 1",2.9,2,19,"Stem 2","Leaf 6",0,1,0,0,0,0,0,152.98780816,-25.44817035,""
