"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"4/07/2015","1:43:15 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 1","Leaf 1",1,1,0,1,0,0,0,152.98759996,-25.44823634,""
"4/07/2015","1:43:24 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 1","Leaf 2",1,1,0,1,0.02,0,0,152.98759996,-25.44823634,""
"4/07/2015","1:43:33 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 1","Leaf 3",1,1,0,1,0.05,0,0,152.98759996,-25.44823634,""
"4/07/2015","1:44:07 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 1","Leaf 4",1,1,0,1,0,0,15,152.98759996,-25.44823634,""
"4/07/2015","1:44:35 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 1","Leaf 5",1,1,0,1,0,0,17,152.98759996,-25.44823634,""
"4/07/2015","1:44:54 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 1","Leaf 6",1,1,0,1,0.15,0,1,152.98759996,-25.44823634,""
"4/07/2015","1:45:43 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 2","Leaf 1",1,1,0,1,0.2,0,0,152.98759996,-25.44823634,""
"4/07/2015","1:45:55 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 2","Leaf 2",1,1,0,1,0.01,0,0,152.98759996,-25.44823634,""
"4/07/2015","1:46:12 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 2","Leaf 3",1,1,0,1,0.05,0,20,152.98759996,-25.44823634,""
"4/07/2015","1:46:28 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 2","Leaf 4",1,1,0,1,0.1,0,1,152.98759996,-25.44823634,""
"4/07/2015","1:46:38 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 2","Leaf 5",1,1,0,1,0.05,0,0,152.98759996,-25.44823634,""
"4/07/2015","1:46:45 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 2","Leaf 6",1,1,0,1,0.1,0,0,152.98759996,-25.44823634,""
"4/07/2015","1:47:25 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 3","Leaf 1",1,1,0,1,0,0,4,152.98759996,-25.44823634,""
"4/07/2015","1:47:32 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 3","Leaf 2",1,1,0,1,0,0,4,152.98759996,-25.44823634,""
"4/07/2015","1:47:43 PM","cream","Seaward","Low",0,"Quarter 2",2.6,2.7,45,"Stem 3","Leaf 3",1,1,0,1,0,0,2,152.98759996,-25.44823634,""
