"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"4/07/2015","1:08:19 PM","ice","Seaward","High",100,"Quarter 2",5,1,11,"Stem 1","Leaf 1",1,1,0,0,0,0,0,152.98774482,-25.44821909,""
"4/07/2015","1:08:37 PM","ice","Seaward","High",100,"Quarter 2",5,1,11,"Stem 1","Leaf 2",1,1,0,0,0,0,0,152.98774482,-25.44821909,""
"4/07/2015","1:08:53 PM","ice","Seaward","High",100,"Quarter 2",5,1,11,"Stem 1","Leaf 3",1,1,0,0,0,0,0,152.98774482,-25.44821909,""
"4/07/2015","1:09:01 PM","ice","Seaward","High",100,"Quarter 2",5,1,11,"Stem 1","Leaf 4",1,1,0,0,0,0,0,152.98774482,-25.44821909,""
"4/07/2015","1:09:50 PM","ice","Seaward","High",100,"Quarter 2",5,1,11,"Stem 1","Leaf 5",1,1,0,1,0.05,0,0,152.98774482,-25.44821909,""
"4/07/2015","1:10:19 PM","ice","Seaward","High",100,"Quarter 2",5,1,11,"Stem 1","Leaf 6",1,1,0,0,0.05,0,0,152.98774482,-25.44821909,""
"4/07/2015","1:11:30 PM","ice","Seaward","High",100,"Quarter 2",5,1,11,"Stem 2","Leaf 1",0,0,0,0,0,0,0,152.98774482,-25.44821909,""
"4/07/2015","1:11:38 PM","ice","Seaward","High",100,"Quarter 2",5,1,11,"Stem 2","Leaf 2",0,0,0,0,0,0,0,152.98774482,-25.44821909,""
"4/07/2015","1:12:03 PM","ice","Seaward","High",100,"Quarter 2",5,1,11,"Stem 2","Leaf 3",0,0,0,1,0,0,0,152.98774482,-25.44821909,""
"4/07/2015","1:12:17 PM","ice","Seaward","High",100,"Quarter 2",5,1,11,"Stem 2","Leaf 4",0,0,0,1,0,0,0,152.98774482,-25.44821909,""
