"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"4/07/2015","10:47:27 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 1","Leaf 1",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:47:33 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 1","Leaf 2",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:47:37 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 1","Leaf 3",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:47:49 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 1","Leaf 4",1,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:47:57 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 1","Leaf 5",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:48:00 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 1","Leaf 6",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:48:17 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 2","Leaf 1",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:48:19 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 2","Leaf 2",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:48:23 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 2","Leaf 3",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:48:27 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 2","Leaf 4",1,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:48:30 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 2","Leaf 5",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:48:33 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 2","Leaf 6",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:49:06 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 3","Leaf 1",0,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:49:27 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 3","Leaf 2",0,0,0,1,0,2,0,152.98933909,-25.44791795,""
"4/07/2015","10:49:32 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 3","Leaf 3",0,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:49:36 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 3","Leaf 4",0,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:49:38 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 3","Leaf 5",0,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:49:50 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 3","Leaf 6",0,0,0,1,0.1,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:50:10 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 4","Leaf 1",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:50:16 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 4","Leaf 2",1,0,0,1,0,1,0,152.98933909,-25.44791795,""
"4/07/2015","10:50:22 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 4","Leaf 3",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:50:27 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 4","Leaf 4",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:50:33 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 4","Leaf 5",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:50:36 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 4","Leaf 6",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:50:45 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 5","Leaf 1",0,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:50:47 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 5","Leaf 2",0,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:50:49 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 5","Leaf 3",0,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:50:53 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 5","Leaf 4",0,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:50:58 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 5","Leaf 5",0,0,0,0,0,1,0,152.98933909,-25.44791795,""
"4/07/2015","10:51:02 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 5","Leaf 6",0,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:51:51 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 6","Leaf 1",1,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:51:53 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 6","Leaf 2",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:52:05 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 6","Leaf 3",1,0,0,0,0.3,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:52:10 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 6","Leaf 4",1,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:52:26 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 6","Leaf 5",1,0,0,0,0.3,0,6,152.98933909,-25.44791795,""
"4/07/2015","10:52:29 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 6","Leaf 6",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:52:43 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 7","Leaf 1",1,0,0,0,0,1,0,152.98933909,-25.44791795,""
"4/07/2015","10:52:46 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 7","Leaf 2",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:52:56 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 7","Leaf 3",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:53:10 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 7","Leaf 4",1,0,0,1,0.02,2,0,152.98933909,-25.44791795,""
"4/07/2015","10:53:28 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 7","Leaf 5",1,0,0,1,0.05,2,5,152.98933909,-25.44791795,""
"4/07/2015","10:53:36 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 7","Leaf 6",1,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:53:52 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 8","Leaf 1",0,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:53:55 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 8","Leaf 2",0,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:54:11 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 8","Leaf 3",0,0,0,0,0,0,13,152.98933909,-25.44791795,""
"4/07/2015","10:54:29 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 8","Leaf 4",0,0,0,1,0,0,21,152.98933909,-25.44791795,""
"4/07/2015","10:54:45 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 8","Leaf 5",0,0,0,0,0,1,0,152.98933909,-25.44791795,""
"4/07/2015","10:54:53 AM","tea","Landward - Creek","High",100,"Quarter 1",0.8,0.3,7,"Stem 8","Leaf 6",0,0,0,0,0.02,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:56:32 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 1","Leaf 1",0,0,0,1,0,3,0,152.98933909,-25.44791795,""
"4/07/2015","10:56:55 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 1","Leaf 2",0,0,0,1,0,1,0,152.98933909,-25.44791795,""
"4/07/2015","10:57:04 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 1","Leaf 3",0,0,0,1,0,1,0,152.98933909,-25.44791795,""
"4/07/2015","10:57:18 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 1","Leaf 4",0,0,0,1,0.03,1,0,152.98933909,-25.44791795,""
"4/07/2015","10:57:24 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 1","Leaf 5",0,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:57:29 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 1","Leaf 6",0,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:57:43 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 2","Leaf 1",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:57:45 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 2","Leaf 2",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:57:52 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 2","Leaf 3",1,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:57:58 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 2","Leaf 4",1,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:58:04 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 2","Leaf 5",1,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:58:09 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 2","Leaf 6",1,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:58:33 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 3","Leaf 1",0,0,0,1,0.05,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:58:43 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 3","Leaf 2",0,0,0,1,0.4,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:58:46 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 3","Leaf 3",0,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:58:49 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 3","Leaf 4",0,0,0,0,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:59:00 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 3","Leaf 5",0,0,0,1,0.02,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:59:09 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 3","Leaf 6",0,0,0,1,0.3,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:59:31 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 4","Leaf 1",0,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:59:34 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 4","Leaf 2",0,0,0,1,0,0,0,152.98933909,-25.44791795,""
"4/07/2015","10:59:37 AM","tea","Landward - Creek","High",100,"Quarter 2",1.9,0.4,10,"Stem 4","Leaf 3",0,0,0,1,0,0,0,152.98933909,-25.44791795,""
