"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"5/07/2015","10:41:33 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 1","Leaf 1",1,0,0,0,0,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:41:53 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 1","Leaf 2",1,0,0,0,0.2,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:42:17 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 1","Leaf 3",1,0,0,0,0.05,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:42:38 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 1","Leaf 4",1,0,0,0,0.1,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:42:57 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 1","Leaf 5",1,0,0,0,0.4,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:43:23 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 1","Leaf 6",1,0,0,1,0.05,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:44:18 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 2","Leaf 1",0,0,0,0,0,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:44:29 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 2","Leaf 2",0,0,0,0,0,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:44:46 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 2","Leaf 3",0,0,0,1,0.1,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:45:01 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 2","Leaf 4",0,0,0,0,0.4,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:45:20 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 2","Leaf 5",0,0,0,1,0.03,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:45:30 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 2","Leaf 6",0,0,0,1,0.05,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:46:25 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 3","Leaf 1",1,0,0,1,0.1,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:46:33 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 3","Leaf 2",1,0,0,0,0,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:46:45 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 3","Leaf 3",1,0,0,0,0.1,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:47:03 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 3","Leaf 4",1,0,0,0,0.3,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:47:34 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 3","Leaf 5",1,0,0,1,0.15,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:47:44 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 3","Leaf 6",1,0,0,0,0.15,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:48:16 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 4","Leaf 1",0,0,0,0,0,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:48:31 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 4","Leaf 2",0,0,0,0,0,0,0,152.9897941,-25.44734598,""
"5/07/2015","10:48:39 AM","boots","Landward - Creek","High",100,"Quarter 1",0.8,0.8,8,"Stem 4","Leaf 3",0,0,0,1,0.05,0,0,152.9897941,-25.44734598,""
