"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"5/07/15","10:39:49 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 1","Leaf 1",0,0,0,1,0.1,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:39:57 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 1","Leaf 2",0,0,0,1,0.15,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:40:09 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 1","Leaf 3",0,0,0,0,0,1,0,152.9897451,-25.44747212,NA
"5/07/15","10:40:19 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 1","Leaf 4",0,0,0,0,0.02,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:40:27 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 1","Leaf 5",0,0,0,1,0.02,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:40:42 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 1","Leaf 6",0,0,0,1,0.15,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:41:21 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 2","Leaf 1",0,0,0,0,0.1,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:41:26 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 2","Leaf 2",0,0,0,1,0.2,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:41:33 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 2","Leaf 3",0,0,0,1,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:41:41 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 2","Leaf 4",0,0,0,0,0.02,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:41:47 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 2","Leaf 5",0,0,0,0,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:41:52 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 2","Leaf 6",0,0,0,0,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:42:12 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 3","Leaf 1",1,1,0,0,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:42:23 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 3","Leaf 2",1,1,0,0,0.02,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:42:32 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 3","Leaf 3",1,1,0,1,0.02,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:42:38 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 3","Leaf 4",1,1,0,1,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:42:44 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 3","Leaf 5",1,1,0,0,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:42:48 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 3","Leaf 6",1,1,0,0,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:43:15 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 4","Leaf 1",1,0,0,0,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:43:19 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 4","Leaf 2",1,0,0,0,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:43:22 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 4","Leaf 3",1,0,0,0,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:43:26 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 4","Leaf 4",1,0,0,1,0.1,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:43:32 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 4","Leaf 5",1,0,0,1,0.05,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:43:39 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 4","Leaf 6",1,0,0,1,0.03,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:43:59 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 5","Leaf 1",1,0,0,0,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:44:07 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 5","Leaf 2",1,0,0,0,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:44:12 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 5","Leaf 3",1,0,0,1,0.05,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:44:25 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 5","Leaf 4",1,0,0,0,0.02,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:44:31 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 5","Leaf 5",1,0,0,0,0,0,0,152.9897451,-25.44747212,NA
"5/07/15","10:44:36 am","eagle","Landward - Creek","High",100,"Quarter 1",0.6,0.7,13,"Stem 5","Leaf 6",1,0,0,0,0.02,0,0,152.9897451,-25.44747212,NA
