"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"5/07/2015","10:34:08 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 1","Leaf 1",1,1,0,1,0.05,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:36:37 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 1","Leaf 2",1,1,0,0,0.35,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:37:06 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 1","Leaf 3",1,1,0,1,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:37:23 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 1","Leaf 4",1,1,0,0,0.05,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:37:47 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 1","Leaf 5",1,1,0,1,0.05,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:38:06 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 1","Leaf 6",1,1,0,1,0,1,0,152.9897844,-25.44730195,""
"5/07/2015","10:39:10 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 2","Leaf 1",1,1,0,0,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:39:17 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 2","Leaf 2",1,1,0,0,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:39:56 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 2","Leaf 3",1,1,0,1,0.55,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:40:12 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 2","Leaf 4",1,1,0,1,0.35,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:40:44 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 2","Leaf 5",1,1,0,1,0.1,1,0,152.9897844,-25.44730195,""
"5/07/2015","10:41:16 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 2","Leaf 6",1,1,0,0,0.05,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:41:55 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 3","Leaf 1",1,1,0,0,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:42:00 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 3","Leaf 2",1,1,0,0,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:42:24 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 3","Leaf 3",1,1,0,1,0.4,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:42:41 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 3","Leaf 4",1,1,0,1,0.05,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:43:33 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 3","Leaf 5",1,1,0,1,0.05,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:44:04 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 3","Leaf 6",1,1,0,1,0.15,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:45:19 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 4","Leaf 1",0,0,0,1,0.9,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:45:44 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 4","Leaf 1",0,0,0,1,0.9,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:45:55 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 4","Leaf 1",0,0,0,0,NA,NA,NA,152.9897844,-25.44730195,""
"5/07/2015","10:46:22 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 4","Leaf 2",0,0,0,1,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:46:38 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 4","Leaf 3",0,0,0,1,0.1,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:46:55 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 4","Leaf 4",0,0,0,1,0.05,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:47:10 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 4","Leaf 5",0,0,0,1,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:47:30 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 4","Leaf 6",0,0,0,1,0.1,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:48:09 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 4","Leaf 6",0,0,0,1,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:49:18 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 5","Leaf 1",1,0,0,1,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:49:23 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 5","Leaf 2",1,0,0,0,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:49:35 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 5","Leaf 3",1,0,0,1,0.1,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:50:03 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 5","Leaf 4",1,0,0,1,0.02,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:50:13 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 5","Leaf 5",1,0,0,0,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:50:19 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 5","Leaf 6",1,0,0,0,0,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:51:14 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 6","Leaf 1",0,0,0,0,0.25,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:51:45 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 6","Leaf 2",0,0,0,1,0.45,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:52:06 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 6","Leaf 3",0,0,0,0,0.6,0,0,152.9897844,-25.44730195,""
"5/07/2015","10:52:17 AM","shoe","Landward - Creek","High",100,"Quarter 1",1.1,0.7,7.5,"Stem 6","Leaf 4",0,0,0,0,0.4,0,0,152.9897844,-25.44730195,""
