"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"2/07/2015","9:34:13 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 1","Leaf 1",1,0,0,0,0.05,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:34:59 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 1","Leaf 2",1,0,0,0,0.05,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:35:28 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 1","Leaf 3",1,0,0,0,0.02,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:35:41 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 1","Leaf 4",1,0,0,0,0.02,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:36:17 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 1","Leaf 5",1,0,0,0,0.05,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:36:39 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 1","Leaf 6",1,0,0,0,0.1,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:37:51 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 2","Leaf 1",0,1,1,1,0.01,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:38:15 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 2","Leaf 2",0,1,1,1,0.01,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:38:58 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 2","Leaf 3",0,1,1,1,0.1,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:39:09 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 2","Leaf 4",0,1,1,0,0,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:39:26 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 2","Leaf 5",0,1,1,1,0.01,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:39:42 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 2","Leaf 6",0,1,1,1,0.05,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:41:06 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 3","Leaf 1",0,0,0,0,0.1,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:41:19 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 3","Leaf 2",0,0,0,1,0.02,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:41:32 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 3","Leaf 3",0,0,0,0,0,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:41:40 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 3","Leaf 4",0,0,0,1,0.02,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:41:49 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 3","Leaf 5",0,0,0,1,0,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:41:59 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 3","Leaf 6",0,0,0,1,0.01,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:42:35 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 4","Leaf 1",0,0,0,0,0.2,0,0,152.98916339,-25.44811775,""
"2/07/2015","9:42:52 AM","atrio","Landward - Creek","High",100,"Quarter 1",2.2,1.6,10,"Stem 4","Leaf 2",0,0,0,1,0.02,0,0,152.98916339,-25.44811775,""
