"Date","Time","Group","Zonal point","Intertidal zone","Tape point","Quarter","Distance from point","Height","Circumference","Stem","Leaf","Bud 1 Live","Bud 2 Live","Bud 3 Live","Leaf distorted","Percent of leaf missing","Number of Mines","Number of Galls","Longitude","Latitude","Location notes"
"2/07/2015","11:17:41 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 1","Leaf 1",1,0,0,0,0.02,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:19:17 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 1","Leaf 2",1,0,0,1,0.02,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:19:41 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 1","Leaf 3",1,0,0,1,0,0,10,152.98815039,-25.44780394,""
"2/07/2015","11:20:03 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 1","Leaf 4",1,0,0,0,0,0,16,152.98815039,-25.44780394,""
"2/07/2015","11:20:23 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 1","Leaf 5",1,0,0,0,1,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:20:38 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 1","Leaf 6",1,0,0,1,0.05,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:21:39 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 2","Leaf 1",1,0,1,1,0.2,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:21:54 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 2","Leaf 2",1,0,1,1,0,0,1,152.98815039,-25.44780394,""
"2/07/2015","11:22:04 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 2","Leaf 3",1,0,1,0,1,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:22:24 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 2","Leaf 4",1,0,1,1,0.02,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:23:29 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 2","Leaf 5",1,0,1,1,0.3,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:24:28 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 2","Leaf 6",1,0,1,1,0.3,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:26:29 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 3","Leaf 1",1,1,0,1,0.4,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:27:03 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 3","Leaf 2",1,1,0,0,0.15,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:27:16 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 3","Leaf 3",1,1,0,1,0,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:27:25 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 3","Leaf 4",1,1,0,1,0,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:27:45 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 3","Leaf 5",1,1,0,1,0.17,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:28:00 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 3","Leaf 6",1,1,0,0,0.35,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:28:50 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 4","Leaf 1",1,1,1,1,0.25,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:29:03 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 4","Leaf 2",1,1,1,0,0.05,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:29:17 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 4","Leaf 3",1,1,1,1,0,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:29:24 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 4","Leaf 4",1,1,1,0,1,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:29:48 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 4","Leaf 5",1,1,1,1,0.06,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:29:57 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 4","Leaf 6",1,1,1,1,0.03,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:31:09 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 5","Leaf 1",0,0,1,1,0.01,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:31:17 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 5","Leaf 2",0,0,1,1,0.15,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:31:29 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 5","Leaf 3",0,0,1,1,0.1,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:31:46 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 5","Leaf 4",0,0,1,1,0.09,0,2,152.98815039,-25.44780394,""
"2/07/2015","11:32:10 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 5","Leaf 4",0,0,1,1,0.15,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:32:38 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 5","Leaf 5",0,0,1,1,0.02,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:33:28 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 6","Leaf 1",1,1,1,1,0.1,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:33:37 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 6","Leaf 2",1,1,1,1,0.06,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:33:47 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 6","Leaf 3",1,1,1,1,0.07,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:33:54 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 6","Leaf 4",1,1,1,0,0.1,0,0,152.98815039,-25.44780394,""
"2/07/2015","11:34:19 AM","kelvn","Seaward","Low",2,"Quarter 1",3.9,4.5,118,"Stem 6","Leaf 5",1,1,1,1,0.01,0,0,152.98815039,-25.44780394,""
